page	line	candidate text (inserted spaces visible in the 200-dpi strip)
37	32	Combine like terms, − 12 + 9
41	15	Distribute 3 through parenthesis
45	67	Combine like terms 8 − 14
54	14	− 4|2x + 3| = − 20
92	23	− 3y = 12
121	22	− 12 < 2x − 20
153	26	(A)− 13y + 8z = − 55
154	0	(A) − 13y + 8z = − 55
197	48	I − Inside terms (7y)(3x)
221	24	x(x + 6) − 4(x + 6)
223	5	x2 + 2x + 3x − 6
223	18	6 and − 1, split the middle term
276	57	(5 − 1)(5 − 2) = (4)(3) = 12
335	9	4x = 242 or 4x = − 244
360	1	y = − x + 26
360	25	y = − (14) + 26 = 12
24	24	Combine like terms 3x − 8x
34	18	4 − 2x = 10
39	4	9 = 9x − 27
39	16	2(x − 5) + 3x = x + 18
65	13	Now we have a two − step equation
102	37	y = mx + b
140	35	17y = − 17
153	9	− 8x − y + 3z = 23
154	10	− 13y + 8(1 − y) = − 55
198	9	− 14x2 + 6x − 20x2 + 35x − 15
224	23	− 24x + 45
238	11	x2 = 8x − 15
253	28	− x − 12
277	36	− 5x − 30
335	5	4x + 1 = ± 243
361	7	or − 12
60	46	Using the constant, use 4 for r, don′t forget the squared!
66	22	3x = 240
67	37	Second 2(55) = 110
75	10	x = 25
104	2	Graph 3x + 4y = 12
143	10	5x − 6y = − 14
160	55	1.5c + 2(41 − c) = 73.5
160	57	− 0.5c + 82 = 73.5
160	63	− 0.5c = − 8.5
163	3	0.03y = 30
163	6	y = 1000
163	7	x + 1000 = 4000
171	0	4(30 − n) + 2.5n = 105
327	16	x = 25
407	1	83x = 32
407	2	Rewrite 8 as 23 and 32 as 25
