case	page	line	markerSize	textSize	letters	words	corrected	text
arxiv-replay-clocks-2023	2	65	8.97	9.06	43	9	yes	•If 𝑒 and 𝑓 happened on the same process and 𝑒 occurred
arxiv-replay-clocks-2023	2	67	8.97	9.04	46	9	yes	•If 𝑒 was a send event and 𝑓 was the corresponding receive
arxiv-replay-clocks-2023	2	69	8.97	9.06	47	11	yes	•The hb relation is transitive, i.e., if there exist events 𝑒,𝑓,
cia-blue-book-14-1955	1	4	6.20	10.78	28	5	yes	• Authorizati6n Ac-e' for Fiscal Year 2024 
cia-blue-book-14-1955	22	16	10.50	11.82	35	6	yes	• identification as a common object or some
cia-blue-book-14-1955	36	11	21.60	35.16	1	0	no	•\n~
cia-blue-book-14-1955	36	12	21.60	35.16	1	0	no	•\n~
cia-blue-book-14-1955	36	13	21.60	35.16	1	0	no	•\n~
cia-blue-book-14-1955	80	12	10.80	11.60	5	1	no	• White 281 95 112 3.04
cia-blue-book-14-1955	109	43	6.90	7.14	1	0	no	• 154 I
cia-blue-book-14-1955	116	46	4.60	6.07	5	2	no	• I~ ,'/ 1'! ,,;;,; tJ.;} NI,;
cia-blue-book-14-1955	133	1	7.20	5.50	13	2	no	✓ANVA/?Y F.&B'RtlARY
cia-blue-book-14-1955	147	34	6.48	6.34	22	6	no	✓ CJ r/ JH (?.() 125.5 ? I? p ?/.0 /)() fl./J ,f t) 1 9./J ()I) ¥.P // /} ti /J'.I) tl. t? /~/}
cia-blue-book-14-1955	149	34	7.20	8.00	2	0	no	✓ ,I./ 6 ?.t/
cia-blue-book-14-1955	149	137	6.96	4.86	0	0	no	✓¥' 7 5./
cia-blue-book-14-1955	149	140	6.84	4.35	0	0	no	✓-..?
cia-blue-book-14-1955	149	150	6.84	4.36	0	0	no	✓41'
cia-blue-book-14-1955	154	259	6.72	4.68	4	1	no	✓.4' ✓. t:) S.tl
cia-blue-book-14-1955	157	143	2.22	2.64	1	0	no	✓✓?A
cia-blue-book-14-1955	158	147	7.44	6.12	10	3	no	✓ fl}.() 51).t) ltld 1' tJ\n~
cia-blue-book-14-1955	160	173	6.12	9.30	1	0	no	✓ < 9 1.t 2. '7' ,/.7
cia-blue-book-14-1955	161	18	6.60	5.52	1	0	no	✓o
cia-blue-book-14-1955	162	130	5.64	5.74	6	1	no	✓ t) t/ tfO.O 00 ! 1/00
cia-blue-book-14-1955	162	230	3.96	3.39	6	0	no	✓-'I· B ? ,o 0. 'I o. ~ /. I
cia-blue-book-14-1955	175	98	6.12	6.60	5	2	no	✓ / ff ?I. . .¢ fl
cia-blue-book-14-1955	178	100	6.36	5.28	1	0	no	✓t
cia-blue-book-14-1955	178	118	7.44	5.91	7	1	no	✓ /J ./ ?!..J ().0 21..7 ~ /J 6 11..I o.o ~-I
cia-blue-book-14-1955	179	142	2.64	2.49	2	1	no	✓A/J,
cia-blue-book-14-1955	183	43	7.08	7.62	3	0	no	✓ .? 7 f'½~ 3:1.s 77.l
cia-blue-book-14-1955	185	71	6.72	6.00	9	3	no	✓.a /J /7 0 ao tJ.O o.o
cia-blue-book-14-1955	189	3	5.60	4.99	11	1	no	• 1-Astmnomical
cia-blue-book-14-1955	192	173	7.44	7.50	6	2	no	✓ 5" 9 q'q.¢' 5£".t. IOt!.
cia-blue-book-14-1955	196	92	6.72	4.20	1	0	no	✓.r
cia-blue-book-14-1955	199	7	7.08	5.62	19	6	no	✓ /} ✓ L/? /]/] •h /J /) tJ /},? /JO t?.tJ /) /) t1 0,/) tJ_ tJ ,u, t? CJ
cia-blue-book-14-1955	200	105	6.72	5.04	3	1	no	✓1 :t,i ~/ /.!./ t: .. 2/?
cia-blue-book-14-1955	200	123	7.20	5.16	1	0	no	✓i' 2/,5
cia-blue-book-14-1955	200	161	6.84	7.42	4	1	no	✓ .J' ?' ~f.l 42.9 /,:J().
cia-blue-book-14-1955	200	184	6.60	4.44	4	2	no	✓.5" l£t di
cia-blue-book-14-1955	202	90	3.36	4.00	0	0	no	✓?.0
cia-blue-book-14-1955	202	108	6.84	6.40	15	4	no	✓ 0 ✓ /(J.f tltJ ltJ.f t,/ a ti 13 t).0 1,.1
cia-blue-book-14-1955	202	129	6.48	5.88	24	6	no	✓f ai 1.;:t, 0 0 /) t,/J /20 /JO I 0 / 11 I /JtJ q / C? /J C? /:J.(2 t:J.t:J 0.t:J
cia-blue-book-14-1955	203	59	7.20	7.08	11	3	no	✓ ✓ f' LM_/J d,?JJ 1.-;1;7 I 5" f, HI~ '11_,/ $5".7
cia-blue-book-14-1955	203	132	6.84	4.74	5	2	no	✓.1 o.c? efl
cia-blue-book-14-1955	206	108	7.44	8.50	3	1	no	✓ I 5' ¢; /. 2, ~tl
cia-blue-book-14-1955	206	135	7.20	7.72	6	2	no	✓ /9 :l.tl tJ.5 l?.5
cia-blue-book-14-1955	207	54	4.08	3.54	3	1	no	✓'< tJ J7.:7
cia-blue-book-14-1955	207	135	6.96	6.80	1	0	no	✓ 0 ,/ ~.; t20
cia-blue-book-14-1955	207	202	7.80	8.20	8	2	no	✓ 5 1/J.tJ RtJ.tJ
cia-blue-book-14-1955	208	105	7.20	6.50	3	1	no	✓ ? /4 /.['fl /..9 I<''!-?
cia-blue-book-14-1955	208	106	6.96	8.50	1	0	no	✓ I
