case	lines	multiRunLines	smallerFirstRun	bulletFirstRun	bulletLinesCorrected	trailingSpaceLines	wordSpaceCandidates
arxiv-replay-clocks-2023	1008	434	178	3	3	52	6
cdc-zombie-pandemic-2011	535	215	107	0	0	12	1
census-rrs2002-01	859	112	7	0	0	51	1
cia-blue-book-14-1955	31831	19574	9758	61	2	770	4
dga-2025-2030	388	110	4	0	0	0	0
faa-phak-8083-25c	32250	3376	512	32	0	56	3
fed-explained-2021	4399	265	8	21	0	154	0
gpo-911-2004	25984	1791	4	0	0	308	4
gpo-our-flag-2003	1530	163	4	0	0	7	3
gpo-warren-1964	48023	46161	21718	10	4	0	0
nbs-jres-geltman-1977	598	506	177	0	0	6	0
noaa-nca5-2023	77882	8453	58	0	0	9775	1
ntrs-20180003024-earthdata-slides-2018	259	19	9	0	0	16	0
ntrs-20190030725-dasc-2019	1181	299	117	12	12	20	3
ntrs-20200002975-gwl-2020	895	58	0	5	0	0	0
ntrs-20210020887-techport-thm-2021	233	9	0	0	0	1	0
scotus-loper-bright-2024	4389	213	29	5	5	39	1
uscourts-pro-se-1-2016	184	41	1	0	0	16	0
usda-ars-agresearch-2012-11	2156	166	3	0	0	5	0
usgs-mcs2025-copper	132	33	9	0	0	16	0
wallace-algebra-2010	27789	7739	1168	0	0	2210	21
