page	lines	invis	onlyInvis	unsup	regionFrac	nPaints	byKind(path/img/form/sh)	maxSingle	maxSingleKind	maxImg	maxPathFrame	imgUnion
1	19	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
2	15	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
3	43	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
4	29	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
5	83	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
6	79	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
7	49	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
8	58	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
9	46	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
10	48	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.996	1.000
11	53	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
12	47	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
13	46	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
14	47	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
15	52	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
16	48	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
17	51	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
18	50	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
19	49	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
20	48	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
21	47	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
22	51	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
23	48	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
24	46	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
25	56	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
26	45	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
27	34	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
28	26	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
29	29	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
30	25	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
31	39	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
32	80	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
33	40	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
34	87	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
35	93	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
36	48	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
37	67	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
38	100	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
39	31	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
40	205	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
41	39	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
42	17	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
43	123	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
44	18	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
45	36	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.996	1.000
46	24	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
47	22	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
48	20	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
49	56	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
50	21	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
51	26	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
52	24	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
53	24	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
54	21	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
55	21	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
56	231	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
57	20	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
58	21	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
59	12	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
60	12	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
61	27	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
62	17	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
63	12	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
64	29	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
65	47	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
66	25	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
