pages 33 of 42
page	lines	invis	onlyInvis	unsup	regionFrac	nPaints	byKind(path/img/form/sh)	maxSingle	maxSingleKind	maxImg	maxPathFrame	imgUnion
1	4	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
3	14	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
4	13	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
5	19	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
6	19	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
7	13	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
8	14	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
9	13	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
10	14	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
11	29	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
12	50	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
14	10	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
18	14	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
19	12	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
20	5	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
21	40	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
22	22	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
23	34	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
24	24	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
25	8	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
26	12	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
27	19	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
28	11	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
29	14	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
30	17	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
31	4	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
32	7	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
33	20	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
34	18	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
35	6	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.990
37	4	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
39	31	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
42	1	false	false	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	1.000
