pages 18 of 522
page	lines	invis	onlyInvis	unsup	regionFrac	nPaints	byKind(path/img/form/sh)	maxSingle	maxSingleKind	maxImg	maxPathFrame	imgUnion
1	2	false	false	false	1.000	2	0/2/0/0	1.000	1	1.000	0.000	1.000	1.850
16	20	false	false	false	1.000	7	3/1/3/0	1.000	1	1.000	0.128	0.994	1.000
40	11	false	false	false	1.000	7	3/1/3/0	1.000	1	1.000	0.060	0.994	1.000
72	24	false	false	false	1.000	7	3/1/3/0	1.000	1	1.000	0.148	0.994	1.000
88	23	false	false	false	1.000	7	3/1/3/0	1.000	1	1.000	0.168	0.994	1.000
98	30	false	false	false	1.000	8	4/1/3/0	1.000	1	1.000	0.201	0.994	1.000
149	15	false	false	false	1.000	7	3/1/3/0	1.000	1	1.000	0.106	0.994	1.000
161	15	false	false	false	1.000	7	3/1/3/0	1.000	1	1.000	0.111	0.994	1.000
203	20	false	false	false	1.000	7	3/1/3/0	1.000	1	1.000	0.138	0.994	1.000
231	19	false	false	false	1.000	7	3/1/3/0	1.000	1	1.000	0.124	0.994	1.000
245	25	false	false	false	1.000	7	3/1/3/0	1.000	1	1.000	0.192	0.994	1.000
257	18	false	false	false	1.000	7	3/1/3/0	1.000	1	1.000	0.184	0.994	1.000
285	21	false	false	false	1.000	7	3/1/3/0	1.000	1	1.000	0.159	0.994	1.000
311	21	false	false	false	1.000	7	3/1/3/0	1.000	1	1.000	0.143	0.994	1.000
335	19	false	false	false	1.000	7	3/1/3/0	1.000	1	1.000	0.134	0.994	1.000
376	14	false	false	false	1.000	7	3/1/3/0	1.000	1	1.000	0.142	0.994	1.000
388	18	false	false	false	1.000	7	3/1/3/0	1.000	1	1.000	0.130	0.994	1.000
423	9	false	false	false	1.000	7	3/1/3/0	1.000	1	1.000	0.048	0.994	1.000
