pages 63 of 1834
page	lines	invis	onlyInvis	unsup	regionFrac	nPaints	byKind(path/img/form/sh)	maxSingle	maxSingleKind	maxImg	maxPathFrame	imgUnion
1	2	false	false	false	1.000	2	0/2/0/0	1.000	1	1.000	0.000	1.000	1.008
3	2	false	false	false	0.871	5	1/3/1/0	0.419	2	0.406	0.331	0.662	0.739
5	26	false	false	false	0.778	13	11/1/1/0	0.419	2	0.406	0.018	0.405	0.406
23	5	false	false	false	0.916	4	1/2/1/0	0.557	1	0.557	0.047	0.779	0.963
25	80	false	false	false	0.939	49	47/1/1/0	0.419	2	0.406	0.110	0.405	0.406
26	55	false	false	false	0.949	41	34/1/6/0	0.419	2	0.406	0.111	0.405	0.406
33	2	false	false	false	0.861	4	0/1/0/3	0.832	1	0.832	0.000	0.830	0.832
34	39	false	false	false	0.877	9	6/2/1/0	0.419	2	0.406	0.143	0.525	0.540
40	50	false	false	false	0.918	13	10/2/1/0	0.419	2	0.406	0.129	0.453	0.527
41	22	false	false	false	1.000	6	1/3/2/0	0.419	2	0.406	0.003	0.822	0.944
43	25	false	false	false	0.946	4	1/2/1/0	0.421	1	0.421	0.093	0.670	0.827
45	38	false	false	false	0.940	8	5/2/1/0	0.419	2	0.406	0.257	0.601	0.652
47	23	false	false	false	0.864	6	3/2/1/0	0.488	0	0.471	0.488	0.609	0.682
49	40	false	false	false	1.000	9	4/3/2/0	0.419	2	0.406	0.120	0.751	0.759
52	42	false	false	false	1.000	11	6/3/2/0	0.419	2	0.406	0.120	0.648	0.681
57	36	false	false	false	0.858	7	4/2/1/0	0.223	2	0.221	0.102	0.401	0.432
62	15	false	false	false	1.000	11	6/3/2/0	0.479	0	0.406	0.479	0.744	0.837
66	43	false	false	false	0.750	8	5/2/1/0	0.241	1	0.241	0.084	0.361	0.452
68	31	false	false	false	1.000	10	5/3/2/0	0.419	2	0.406	0.076	0.721	0.861
76	49	false	false	false	0.812	41	39/1/1/0	0.223	2	0.211	0.129	0.210	0.211
