case	fallback sorts	pages reaching the sort	block step fires	pages
cdc-zombie-pandemic-2011	118	33	3	14 23 34
wallace-algebra-2010	1810	470	0	
fed-explained-2021	549	125	0	
faa-phak-8083-25c	4162	502	0	
gpo-911-2004	1085	577	0	
scotus-loper-bright-2024	130	114	0	
gpo-our-flag-2003	212	54	0	
dga-2025-2030	43	10	0	
arxiv-replay-clocks-2023	53	12	0	
nbs-jres-geltman-1977	3	1	0	
usgs-mcs2025-copper	2	2	0	
census-rrs2002-01	57	18	0	
cia-blue-book-14-1955	1299	312	0	
gpo-warren-1964	1965	887	0	
noaa-nca5-2023	3859	1817	0	
