# cia-blue-book-14-1955 pages 1-312; pages whose scan failed: 0
baseFont	subtype	FontWeight	StemV	Flags	ItalicAngle	ToUnicode	shows	PDFKit names	name rule bold	weight-aware bold	name slope	name rule italic	slope-aware italic
Helvetica-Oblique	Type1	-	-	-	-	yes	51554		-	no	italic	-	yes
Times-Roman	Type1	-	-	-	-	yes	46350		-	no	upright	-	no
Times-Italic	Type1	-	-	-	-	yes	37338		-	no	italic	-	yes
Helvetica	Type1	-	-	-	-	yes	17181	Helvetica×1	no	no	unstated	no	no
Times-Bold	Type1	-	-	-	-	yes	6605		-	yes	unstated	-	no
Helvetica-Bold	Type1	-	-	-	-	yes	6485		-	yes	unstated	-	no
Helvetica-BoldOblique	Type1	-	-	-	-	yes	2964		-	yes	italic	-	yes
HiddenHorzOCR	Type0	-	100	4	0	yes	2267		-	no	unstated	-	no
Times-BoldItalic	Type1	-	-	-	-	yes	2035		-	yes	italic	-	yes
# line runs 152722; bold by name rule 18020; bold with font resources 18020; changed 0 on 0 pages
# italic by name rule 86465; italic with font resources 86465; changed 0 on 0 pages
# unresolved mixed-style lines: 0 on 0 pages; by undecoded font kind: 
# pages with bold changes: 
# pages with italic changes: 
# bold examples
# italic examples
# unresolved examples
