# faa-phak-8083-25c pages 1-522; pages whose scan failed: 0
baseFont	subtype	FontWeight	StemV	Flags	ItalicAngle	ToUnicode	shows	PDFKit names	name rule bold	weight-aware bold	name slope	name rule italic	slope-aware italic
XGOTCU+Times-Roman	TrueType	400	84	34	0	yes	37806	Times-Roman×25893	no	no	upright	no	no
XGOTCU+Helvetica	TrueType	400	88	32	0	yes	5903	Helvetica×485	no	no	unstated	no	no
XGOTCU+Helvetica-Bold	TrueType	700	140	32	0	yes	3481	Helvetica-Bold×709	yes	yes	unstated	no	no
HIMBMA+Times-Bold	TrueType	700	140	34	0	yes	2147	Times-Bold×29	yes	yes	unstated	no	no
HIMBMA+Times-Italic	TrueType	400	80	98	-16	yes	1496	Times-Italic×264, Helvetica-Bold×1	no	no	italic	yes	yes
CGXSUK+FranklinGothic-Book	TrueType	400	76	32	0	no	438		-	no	unstated	-	no
XHCECU+LetterGothic-Bold	TrueType	700	84	34	0	no	398		-	yes	unstated	-	no
Helvetica	Type1	400	75	32	0	no	379	Helvetica×93	no	no	unstated	no	no
ArialNarrow	TrueType	400	72	32	0	no	301		-	no	unstated	-	no
SJZKKE+Times-BoldItalic	TrueType	700	116	98	-16	yes	291	Times-BoldItalic×276	yes	yes	italic	yes	yes
SJZKKE+Swiss721BT-Roman	TrueType	400	88	32	0	no	225		-	no	upright	-	no
SHTFKE+ArialMT	TrueType	400	88	32	0	no	205		-	no	unstated	-	no
WOKUCF+TimesNewRoman	Type0	400	80	6	0	yes	189	Helvetica×72	no	no	upright	no	no
Arial-BoldMT	TrueType	700	136	32	0	no	188	Arial-BoldMT×3	yes	yes	unstated	no	no
SJZKKE+TradeGothic-BoldCondTwenty	Type1	700	88	32	0	no	181		-	yes	unstated	-	no
TimesNewRomanPSMT	TrueType	400	80	34	0	yes	114	TimesNewRomanPSMT×50	no	no	upright	no	no
Times-Roman	TrueType	400	84	34	0	yes	111	Times-Roman×47	no	no	upright	no	no
HGGRMA+Helvetica	Type0	400	88	4	0	yes	81		-	no	unstated	-	no
Times-Italic	TrueType	400	80	98	-16	yes	80	Times-Italic×27	no	no	italic	yes	yes
Helvetica-Bold	Type1	700	75	32	0	no	76	Helvetica-Bold×35	yes	yes	unstated	no	no
XHCECU+Myriad-Roman	Type1	400	88	32	0	no	74		-	no	upright	-	no
INVEAY+Helvetica-Bold	Type0	700	140	4	0	yes	72		-	yes	unstated	-	no
JGURWV+TimesNewRomanPSMT	Type0	400	80	6	0	yes	68	Helvetica×5	no	no	upright	no	no
NJLLSO+AgencyFB-Reg	TrueType	400	64	32	0	yes	67	Helvetica×16	no	no	upright	no	no
SHTFKE+Helvetica-Narrow-Bold	TrueType	700	116	32	0	no	63		-	yes	unstated	-	no
NDPUAS+TimesNewRomanPSMT	Type0	400	80	6	0	yes	53		-	no	upright	-	no
QGWSPS+TimesNewRomanPSMT	Type0	400	80	6	0	yes	53	TimesNewRomanPSMT×33	no	no	upright	no	no
SJZKKE+Swiss721BT-Bold	TrueType	700	144	32	0	no	49		-	yes	unstated	-	no
UHHFUZ+TimesNewRomanPSMT	Type0	400	80	6	0	yes	47	TimesNewRomanPSMT×2	no	no	upright	no	no
