# usgs-mcs2025-copper pages 1-2; pages whose scan failed: 0
baseFont	subtype	FontWeight	StemV	Flags	ItalicAngle	ToUnicode	shows	PDFKit names	name rule bold	weight-aware bold	name slope	name rule italic	slope-aware italic
YBBHCW+ArialMT	TrueType	400	88	32	0	yes	1066	ArialMT×22	no	no	unstated	no	no
HWRUSA+Arial-BoldMT	TrueType	700	136	32	0	yes	81	Arial-BoldMT×6	yes	yes	unstated	no	no
BFRPMM+TimesNewRomanPSMT	TrueType	400	80	34	0	yes	24		-	no	upright	-	no
Arial	TrueType	400	88	32	0	no	2	ArialMT×1	no	no	unstated	no	no
# line runs 190; bold by name rule 26; bold with font resources 26; changed 0 on 0 pages
# italic by name rule 0; italic with font resources 0; changed 0 on 0 pages
# unresolved mixed-style lines: 0 on 0 pages; by undecoded font kind: 
# pages with bold changes: 
# pages with italic changes: 
# bold examples
# italic examples
# unresolved examples
