# arxiv-replay-clocks-2023 pages 1-12; pages whose scan failed: 0
baseFont	subtype	FontWeight	StemV	Flags	ToUnicode	shows	PDFKit names	name rule bold	weight-aware bold
ZMRZBV+LinLibertineT	Type1	-	79	4	yes	1713	Helvetica×403	no	no
RXIKPM+LibertineMathMI	Type1	-	82	4	yes	930		-	no
ZDZKHZ+txsys	Type1	-	52	4	yes	427		-	no
HCPGUR+LinLibertineTB	Type1	-	130	4	yes	239	Helvetica×29	no	no
LJUXHB+Inconsolatazi4-Regular	Type1	-	72	4	yes	90		-	no
ICKJDT+LibertineMathMI7	Type1	-	82	4	yes	83	Helvetica×1	no	no
ZMKHJD+NewTXMI	Type1	-	82	4	yes	56		-	no
MWZXMA+LinLibertineTI	Type1	-	76	4	yes	40	Helvetica×5	no	no
PPKSGE+txmiaX	Type1	-	65	4	yes	40		-	no
ZIZFHV+LinBiolinumT	Type1	-	80	4	yes	34	Helvetica×22	no	no
TAKWKO+LibertineMathMI5	Type1	-	82	4	yes	28		-	no
UMEVBP+txexs	Type1	-	1000	4	yes	8		-	no
TBSGGC+txsya	Type1	-	74	4	yes	6		-	no
OYHSJR+NewTXMI5	Type1	-	82	4	yes	3		-	no
AFQFLD+Inconsolatazi4-Bold	Type1	-	112	4	yes	1		-	yes
RFQEKA+LibertineMathRM	Type1	-	85	4	yes	1		-	no
TQCFPP+txsyb	Type1	-	74	4	yes	1		-	no
IVKDOT+LinBiolinumTB	Type1	-	132	4	yes	1	Helvetica×1	no	no
Times-Roman	Type1	-	-	-	no	0		-	no
# line runs 2310; bold by name rule 0; bold with font resources 1; changed 1 on 1 pages
# pages with changes: 4
  p4	Helvetica	epoch 
