# cia-blue-book-14-1955 pages 1-312; pages whose scan failed: 0
baseFont	subtype	FontWeight	StemV	Flags	ToUnicode	shows	PDFKit names	name rule bold	weight-aware bold
Helvetica-Oblique	Type1	-	-	-	yes	51554		-	no
Times-Roman	Type1	-	-	-	yes	46350		-	no
Times-Italic	Type1	-	-	-	yes	37338		-	no
Helvetica	Type1	-	-	-	yes	17181	Helvetica×1	no	no
Times-Bold	Type1	-	-	-	yes	6605		-	yes
Helvetica-Bold	Type1	-	-	-	yes	6485		-	yes
Helvetica-BoldOblique	Type1	-	-	-	yes	2964		-	yes
HiddenHorzOCR	Type0	-	100	4	yes	2267		-	no
Times-BoldItalic	Type1	-	-	-	yes	2035		-	yes
# line runs 152722; bold by name rule 18020; bold with font resources 18020; changed 0 on 0 pages
# pages with changes: 
