# faa-phak-8083-25c pages 1-522; pages whose scan failed: 0
baseFont	subtype	FontWeight	StemV	Flags	ToUnicode	shows	PDFKit names	name rule bold	weight-aware bold
XGOTCU+Times-Roman	TrueType	400	84	34	yes	37806	Times-Roman×25893	no	no
XGOTCU+Helvetica	TrueType	400	88	32	yes	5903	Helvetica×485	no	no
XGOTCU+Helvetica-Bold	TrueType	700	140	32	yes	3481	Helvetica-Bold×709	yes	yes
HIMBMA+Times-Bold	TrueType	700	140	34	yes	2147	Times-Bold×29	yes	yes
HIMBMA+Times-Italic	TrueType	400	80	98	yes	1496	Times-Italic×264, Helvetica-Bold×1	no	no
CGXSUK+FranklinGothic-Book	TrueType	400	76	32	no	438		-	no
XHCECU+LetterGothic-Bold	TrueType	700	84	34	no	398		-	yes
Helvetica	Type1	400	75	32	no	379	Helvetica×93	no	no
ArialNarrow	TrueType	400	72	32	no	301		-	no
SJZKKE+Times-BoldItalic	TrueType	700	116	98	yes	291	Times-BoldItalic×276	yes	yes
SJZKKE+Swiss721BT-Roman	TrueType	400	88	32	no	225		-	no
SHTFKE+ArialMT	TrueType	400	88	32	no	205		-	no
WOKUCF+TimesNewRoman	Type0	400	80	6	yes	189	Helvetica×72	no	no
Arial-BoldMT	TrueType	700	136	32	no	188	Arial-BoldMT×3	yes	yes
SJZKKE+TradeGothic-BoldCondTwenty	Type1	700	88	32	no	181		-	yes
TimesNewRomanPSMT	TrueType	400	80	34	yes	114	TimesNewRomanPSMT×50	no	no
Times-Roman	TrueType	400	84	34	yes	111	Times-Roman×47	no	no
HGGRMA+Helvetica	Type0	400	88	4	yes	81		-	no
Times-Italic	TrueType	400	80	98	yes	80	Times-Italic×27	no	no
Helvetica-Bold	Type1	700	75	32	no	76	Helvetica-Bold×35	yes	yes
XHCECU+Myriad-Roman	Type1	400	88	32	no	74		-	no
INVEAY+Helvetica-Bold	Type0	700	140	4	yes	72		-	yes
JGURWV+TimesNewRomanPSMT	Type0	400	80	6	yes	68	Helvetica×5	no	no
NJLLSO+AgencyFB-Reg	TrueType	400	64	32	yes	67	Helvetica×16	no	no
SHTFKE+Helvetica-Narrow-Bold	TrueType	700	116	32	no	63		-	yes
QGWSPS+TimesNewRomanPSMT	Type0	400	80	6	yes	53	TimesNewRomanPSMT×33	no	no
NDPUAS+TimesNewRomanPSMT	Type0	400	80	6	yes	53		-	no
SJZKKE+Swiss721BT-Bold	TrueType	700	144	32	no	49		-	yes
UHHFUZ+TimesNewRomanPSMT	Type0	400	80	6	yes	47	TimesNewRomanPSMT×2	no	no
SJZKKE+ArialRoundedMTBold	TrueType	700	132	32	no	43		-	yes
XJOACU+MyriadPro-Regular	Type1	400	88	32	no	42		-	no
NSPUSO+MyriadPro-Regular	Type1	400	88	32	no	36		-	no
XKBUCU+MSReferenceSansSerif	TrueType	400	92	32	yes	36		-	no
NNJDSO+CourierNewPSMT	TrueType	400	40	34	no	30		-	no
NQDYSO+Helvetica	Type0	400	88	4	yes	30		-	no
