# fed-explained-2021 pages 1-135; pages whose scan failed: 0
baseFont	subtype	FontWeight	StemV	Flags	ToUnicode	shows	PDFKit names	name rule bold	weight-aware bold
NSVCRT+FranklinGothicLTPro-Bk	Type1	400	80	32	yes	3729	Helvetica×3023	no	no
IBDJZD+FranklinGothicLTPro-Bk	Type1	400	80	4	no	528	Helvetica×47	no	no
PNWOTP+ITCFranklinGothicStd-Book	Type1	400	80	32	yes	527	Helvetica×208	no	no
JDMKNB+FranklinGothicLTPro-BkCm	Type1	400	68	32	yes	426	Helvetica×348	no	no
KGIFBZ+FranklinGothicLTPro-Dm	Type1	600	148	32	yes	391	Helvetica×251	no	yes
KECVBZ+FranklinGothicLTPro-BkCm	Type1	400	68	4	no	273	Helvetica×37	no	no
FZPRJJ+FranklinGothicLTPro-DmCm	Type1	600	128	4	no	163	Helvetica×26	no	yes
BIUDFR+ITCFranklinGothicStd-Demi	Type1	600	148	32	yes	153	Helvetica×40	no	yes
KECVBZ+FranklinGothicLTPro-Dm	Type1	600	148	4	no	134	Helvetica×11	no	yes
QNEFHN+FranklinGothicLTPro-Md	Type1	500	112	4	no	82		-	no
WODUNB+FranklinGothicLTPro-BkIt	Type1	400	76	96	yes	61	Helvetica×41	no	no
CSBZTP+FranklinGothicLTPro-DmIt	Type1	600	140	96	yes	56	Helvetica×53	no	yes
KZYQBZ+FranklinGothicLTPro-DmCm	Type1	600	128	32	yes	33	Helvetica×25	no	yes
ICWUZD+FrutigerLTStd-Cn	Type1	400	84	32	no	30		-	no
KECVBZ+FrutigerLTStd-BoldCn	Type1	700	124	32	no	14		-	yes
Impact	TrueType	400	204	32	no	12		-	no
GRUNXH+FrutigerLTStd-Roman	Type1	400	96	32	no	11		-	no
JYIFNB+SegoeUI	TrueType	400	80	32	yes	4		-	no
IBDJZD+HelveticaNeueLTPro-Lt	Type1	300	64	32	yes	3		-	no
FNKHJJ+MinionPro-BoldIt	Type1	700	120	98	yes	2	Helvetica×2	no	yes
POPZTP+MinionPro-Regular	Type1	400	80	34	yes	2		-	no
CSBZTP+FrutigerLTStd-LightCn	Type1	300	88	32	no	2		-	no
NBMIRT+BerlinSansFBDemi-Bold	TrueType	700	172	32	no	1		-	yes
GRUNXH+MinionPro-Semibold	Type1	600	112	34	no	1		-	yes
SJYHJJ+FrutigerLTStd-LightItalic	Type1	300	68	96	yes	1	Helvetica×1	no	no
# line runs 4770; bold by name rule 0; bold with font resources 530; changed 530 on 121 pages
# pages with changes: 5 6 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132
  p5	Helvetica	Contents
  p5	Helvetica	1 
  p5	Helvetica	Overview of the Federal Reserve System
  p5	Helvetica	2 
  p5	Helvetica	The Three Key System Entities
  p5	Helvetica	3 
  p5	Helvetica	Conducting Monetary Policy
  p5	Helvetica	4 
  p5	Helvetica	Promoting Financial System Stability
  p5	Helvetica	5 
  p5	Helvetica	Supervising and Regulating Financial Institutions and Activities
  p5	Helvetica	6 
  p5	Helvetica	Fostering Payment and Settlement System Safety and Efficiency
  p6	Helvetica	7 
  p6	Helvetica	Promoting Consumer Protection and Community Development
  p8	Helvetica	Overview of the Federal
  p8	Helvetica	Reserve System
  p9	Helvetica	• conducts the nation’s monetary policy 
  p9	Helvetica	• promotes the stability of the financial system 
  p9	Helvetica	• promotes the safety and soundness of individual financial institutio
  p9	Helvetica	• fosters payment and settlement system safety and efficiency 
  p9	Helvetica	• promotes consumer protection and community development 
  p9	Helvetica	Figure 1.1. The Federal Reserve System
  p10	Helvetica	The U.S. Approach to Central Banking
  p10	Helvetica	Figure 1.2. Three key entities, serving the public interest
  p11	Helvetica	The Decentralized System Structure and Its Philosophy
  p11	Helvetica	Figure 1.3. Twelve Federal Reserve Districts operate independently but
  p12	Helvetica	The Reserve Banks: A Blend of Private and Governmental
  p12	Helvetica	Characteristics
  p13	Helvetica	Figure 1.4. Federal Reserve net earnings are paid to the U.S. Treasury
  p14	Helvetica	The Three Key System
  p14	Helvetica	Entities
  p15	Helvetica	The Federal Reserve Board: Selection and Function
  p15	Helvetica	Figure 2.1. How the Federal Reserve operates within the U.S. governmen
  p16	Helvetica	The Federal Reserve Banks: Structure and Function
  p17	Helvetica	Reserve Bank Leadership
  p17	Helvetica	Figure 2.2. Serving on the Board of Governors
  p18	Helvetica	Reserve Bank Responsibilities
  p18	Helvetica	supervising and examining state member banks 
  p18	Helvetica	Figure 2.3. Composition of Federal Reserve Bank boards of directors an
  p18	Helvetica	Reserve Bank presidents
  p19	Helvetica	lending to depository institutions 
  p19	Helvetica	providing key financial services 
  p19	Helvetica	examining certain financial institutions 
  p19	Helvetica	Want to learn more about Reserve Bank directors?
  p20	Helvetica	The Federal Open Market Committee:
  p20	Helvetica	Selection and Function
  p20	Helvetica	FOMC Membership
  p20	Helvetica	Want to learn more about the FOMC?
  p20	Helvetica	Figure 2.4. Composition of the Federal Open Market Committee
  p21	Helvetica	FOMC Responsibilities
  p21	Helvetica	Other Significant Entities Contributing to Federal Reserve
  p21	Helvetica	Functions
  p21	Helvetica	Depository Institutions
  p21	Helvetica	Advisory Councils
  p21	Helvetica	Federal Advisory Council (FAC). 
  p22	Helvetica	Community Depository Institutions Advisory Council (CDIAC). 
  p22	Helvetica	Model Validation Council. 
  p22	Helvetica	Community Advisory Council (CAC). 
  p22	Helvetica	Insurance Policy Advisory Committee (IPAC). 
