# scotus-loper-bright-2024 pages 1-114; pages whose scan failed: 0
baseFont	subtype	FontWeight	StemV	Flags	ToUnicode	shows	PDFKit names	name rule bold	weight-aware bold
PGIBDE+CenturySchoolbook	TrueType	400	84	34	yes	10466	Helvetica×3393	no	no
PGIBGF+CenturySchoolbook-Italic	TrueType	400	76	98	yes	1773	Helvetica×2	no	no
Times-Roman	Type1	-	-	-	yes	10		-	no
ArialMT	TrueType	400	88	32	yes	5		-	no
BDGFGH+SymbolMT	Type0	400	0	4	yes	5		-	no
BBCOCF+CenturySchoolbook-Bold	TrueType	700	130	34	yes	5		-	yes
PGIBHG+TimesNewRomanPS-BoldMT	TrueType	700	136	34	yes	4	TimesNewRomanPS-BoldMT×4	yes	yes
TimesNewRomanPS-BoldMT	TrueType	700	136	34	yes	1	TimesNewRomanPS-BoldMT×1	yes	yes
CourierNewPSMT	TrueType	400	42	34	yes	1		-	no
# line runs 4756; bold by name rule 5; bold with font resources 5; changed 0 on 0 pages
# pages with changes: 
