book	page	lines	characters	blank	imageBacked	crops	darkFraction	inkThreshold	textRows	uncoveredRows	ruleTextRows	ruleUncoveredRows	text
algebra	175	1	3	0	0	0	0.000	144	0	0	0	0	175
algebra	309	7	55	0	0	2	0.001	151	3	0	3	0	37) 5 2 √ + 3 √\n5 + 5 2 √\n38) 3\n√ + 2 √\n√\n2 3 √ − 2\n30
algebra	437	1	3	0	0	0	0.000	142	0	0	0	0	437
algebra	439	169	667	0	0	28	0.010	150	39	0	39	0	7) 5\n4\n8) 4\n3\n9) 3\n2\n10) 8\n3\n11) 5\n2\n12) 8\n7\n13)
arabic	12	1	1	0	0	1	0.558	170	0	0	0	0	6
arabic	18	1	2	0	0	1	0.458	167	0	0	0	0	12
arabic	32	1	2	0	0	1	0.479	170	1	1	0	0	26
arabic	52	1	2	0	0	1	0.404	170	1	1	0	0	46
arabic	62	1	2	0	0	1	0.363	163	4	4	0	0	56
arabic	80	1	2	0	0	1	0.361	170	0	0	0	0	74
arabic	88	1	2	0	0	1	0.252	170	7	7	0	0	82
arabic	102	1	2	0	0	1	0.303	148	0	0	0	0	96
cdc	2	0	0	0	0	1	1.000	128	0	0	0	0	
cdc	13	0	0	0	0	1	0.717	96	9	9	0	0	
cdc	15	0	0	0	0	1	0.642	96	7	7	0	0	
cdc	16	0	0	0	0	1	0.723	96	0	0	0	0	
cdc	17	0	0	0	0	1	0.555	102	5	5	0	0	
cdc	36	0	0	0	0	1	0.849	96	3	3	0	0	
cdc	38	0	0	0	0	1	1.000	128	0	0	0	0	
cdc	40	0	0	0	0	1	1.000	128	0	0	0	0	
cdc	41	0	0	0	0	1	1.000	128	0	0	0	0	
faa	97	1	4	0	0	0	0.000	144	0	0	0	0	4-10
faa	244	1	4	0	0	0	0.000	144	0	0	0	0	9-14
faa	256	1	5	0	0	0	0.000	141	0	0	0	0	10-12
faa	310	1	5	0	0	0	0.000	141	0	0	0	0	12-26
faa	375	1	5	0	0	0	0.000	143	0	0	0	0	14-40
faa	387	1	5	0	0	0	0.000	140	0	0	0	0	15-12
faa	452	1	5	0	0	0	0.000	140	0	0	0	0	17-30
fed	7	0	0	0	0	1	0.275	170	1	1	0	0	
flag	1	0	0	0	0	1	0.830	168	1	1	0	0	
flag	55	0	0	0	0	0	1.000	128	0	0	0	0	
slides	5	1	1	0	0	2	0.976	158	3	3	2	2	5
warren	1	0	0	0	0	1	0.947	96	1	1	0	0	
warren	2	0	0	0	0	1	0.006	126	0	0	0	0	
warren	3	1	1	0	1	1	0.002	170	0	0	0	0	%
warren	4	0	0	0	0	1	0.000	170	0	0	0	0	
warren	10	0	0	0	0	1	0.004	128	0	0	0	0	
warren	12	0	0	0	0	1	0.012	135	0	0	0	0	
warren	20	0	0	0	0	1	0.004	128	0	0	0	0	
warren	498	0	0	0	0	1	0.000	170	0	0	0	0	
warren	917	0	0	0	0	1	0.000	170	0	0	0	0	
warren	918	0	0	0	0	1	0.001	170	0	0	0	0	
warren	920	0	0	0	0	1	0.978	96	0	0	0	0	
