case	page	plan	sparseLayerEnglishJudged	readingEnglishJudged	readingLanguage	readingLanguageFolded	judgment
gpo-warren-1964	1	replace	-	0/0	-	-	read nothing
gpo-warren-1964	2	replace	-	0/0	-	-	read nothing
gpo-warren-1964	3	verify	0/0	0/0	-	-	read nothing
gpo-warren-1964	4	replace	-	0/0	-	-	read nothing
gpo-warren-1964	5	verify	9/9	9/9	en 0.994	en 0.994	-
gpo-warren-1964	6	verify	6/7	6/7	en 0.983	en 0.983	-
gpo-warren-1964	7	verify	14/17	14/14	en 0.996	en 0.996	-
gpo-warren-1964	8	verify	19/19	18/20	en 0.957	en 0.957	-
gpo-warren-1964	10	replace	-	0/0	-	-	read nothing
gpo-warren-1964	12	replace	-	0/0	-	-	read nothing
gpo-warren-1964	20	replace	-	0/0	-	-	read nothing
gpo-warren-1964	62	verify	13/15	14/16	en 0.988	en 0.988	-
gpo-warren-1964	63	verify	31/33	31/31	en 0.990	en 0.990	-
gpo-warren-1964	64	verify	13/13	18/18	en 0.982	en 0.982	-
gpo-warren-1964	65	verify	13/13	20/21	en 0.995	en 0.995	-
gpo-warren-1964	66	verify	25/27	25/26	en 1.000	en 1.000	-
gpo-warren-1964	72	verify	9/9	9/9	en 0.998	en 0.998	-
gpo-warren-1964	75	verify	6/7	7/7	en 0.993	en 0.993	-
gpo-warren-1964	94	verify	7/8	8/8	en 0.994	en 0.994	-
gpo-warren-1964	95	verify	5/5	5/6	en 0.987	en 0.987	-
gpo-warren-1964	97	verify	12/12	10/11	en 0.999	en 0.999	-
gpo-warren-1964	101	verify	16/18	24/24	en 0.990	en 0.990	-
gpo-warren-1964	102	verify	8/9	16/16	en 0.995	en 0.995	-
gpo-warren-1964	103	replace	3/3	21/21	en 0.993	en 0.993	-
gpo-warren-1964	106	verify	8/8	7/7	en 0.788	en 0.788	-
gpo-warren-1964	108	verify	12/12	13/13	en 0.968	en 0.968	-
gpo-warren-1964	110	verify	3/3	3/3	en 0.917	en 0.917	-
gpo-warren-1964	111	verify	8/9	8/9	en 0.961	en 0.961	-
gpo-warren-1964	127	verify	12/12	12/12	en 1.000	en 1.000	-
gpo-warren-1964	129	verify	12/16	33/33	en 0.985	en 0.985	-
gpo-warren-1964	130	verify	30/32	33/33	en 0.967	en 0.967	-
gpo-warren-1964	131	verify	30/32	31/31	en 0.952	en 0.952	-
gpo-warren-1964	132	verify	10/10	9/9	en 0.996	en 0.996	-
gpo-warren-1964	141	verify	8/9	9/9	en 0.990	en 0.990	-
gpo-warren-1964	142	verify	31/36	33/33	en 0.975	en 0.975	-
gpo-warren-1964	154	verify	20/22	19/19	en 0.998	en 0.998	-
gpo-warren-1964	160	verify	16/17	17/17	en 0.994	en 0.994	-
gpo-warren-1964	166	verify	17/17	34/34	en 0.997	en 0.997	-
gpo-warren-1964	170	verify	19/20	41/41	en 0.991	en 0.991	-
gpo-warren-1964	176	verify	15/15	33/33	en 0.947	en 0.947	-
gpo-warren-1964	192	verify	16/16	24/24	en 0.942	en 0.942	-
gpo-warren-1964	198	verify	7/7	6/6	en 0.998	en 0.998	-
gpo-warren-1964	201	compare	-	112/168	en 0.988	en 0.988	-
gpo-warren-1964	205	verify	14/14	14/14	en 0.991	en 0.991	-
gpo-warren-1964	225	verify	25/25	102/102	en 0.993	en 0.993	-
gpo-warren-1964	231	verify	8/11	9/10	en 0.803	en 0.803	-
gpo-warren-1964	233	verify	8/9	8/9	en 0.960	en 0.960	-
gpo-warren-1964	235	verify	9/9	8/8	en 0.998	en 0.998	-
gpo-warren-1964	239	verify	15/15	7/10	en 0.850	en 0.850	-
gpo-warren-1964	242	verify	13/16	11/13	en 0.973	en 0.973	-
gpo-warren-1964	245	verify	13/14	23/23	en 0.995	en 0.995	-
gpo-warren-1964	246	verify	5/5	6/6	en 0.979	en 0.979	-
gpo-warren-1964	248	verify	12/12	11/11	en 0.995	en 0.995	-
gpo-warren-1964	251	verify	3/3	3/3	en 0.917	en 0.917	-
gpo-warren-1964	260	verify	12/12	13/13	en 0.983	en 0.983	-
gpo-warren-1964	289	verify	11/15	19/61	en 1.000	en 1.000	noise
gpo-warren-1964	291	verify	12/18	16/44	en 0.998	en 0.998	noise
gpo-warren-1964	292	compare	18/33	127/285	en 0.999	en 0.999	noise
gpo-warren-1964	296	verify	15/16	15/15	en 1.000	en 1.000	-
gpo-warren-1964	298	verify	25/25	24/24	en 0.987	en 0.987	-
gpo-warren-1964	299	verify	28/28	18/18	en 0.988	en 0.988	-
gpo-warren-1964	301	verify	22/23	68/215	en 1.000	en 1.000	noise
gpo-warren-1964	328	verify	18/25	22/56	en 0.569	en 0.569	noise
gpo-warren-1964	331	verify	30/35	32/45	en 0.998	en 0.998	-
