set	sheetRow	book	page	line	class	left	right	pair	verdict	inFinal
911-random-period-sample-125-seed-128	0	911	21	10	punct	.	T	suspicious. The	space	yes
911-random-period-sample-125-seed-128	1	911	22	1	punct	.	T	followed. The	space	yes
911-random-period-sample-125-seed-128	2	911	22	13	punct	.	T	administered. The	space	yes
911-random-period-sample-125-seed-128	3	911	25	37	punct	.	C	moves. Call	space	yes
911-random-period-sample-125-seed-128	4	911	25	41	punct	.	T	Policastro. The	space	yes
911-random-period-sample-125-seed-128	5	911	28	6	punct	.	T	Francisco. The	space	yes
911-random-period-sample-125-seed-128	6	911	29	31	punct	.	T	continuing. The	space	yes
911-random-period-sample-125-seed-128	7	911	35	15	punct	.	T	interceptors. The	space	yes
911-random-period-sample-125-seed-128	8	911	43	13	punct	.	T	tion. The	space	yes
911-random-period-sample-125-seed-128	9	911	44	29	punct	.	W	airborne. We	space	yes
911-random-period-sample-125-seed-128	10	911	47	5	punct	.	T	way. The	space	yes
911-random-period-sample-125-seed-128	11	911	47	21	punct	.	T	Pentagon. The	space	yes
911-random-period-sample-125-seed-128	12	911	48	2	punct	.	W	area. Within	space	yes
911-random-period-sample-125-seed-128	13	911	48	24	punct	.	T	ground. That’s	space	yes
911-random-period-sample-125-seed-128	14	911	52	3	punct	.	T	response. Those	space	yes
911-random-period-sample-125-seed-128	15	911	57	13	punct	.	T	Pentagon. The	space	yes
911-random-period-sample-125-seed-128	16	911	57	42	punct	.	T	back. This	space	yes
911-random-period-sample-125-seed-128	17	911	74	15	punct	.	T	dissolve. They	space	yes
911-random-period-sample-125-seed-128	18	911	78	7	punct	.	T	committee. These	space	yes
911-random-period-sample-125-seed-128	19	911	83	21	punct	.	W	ally. When	space	yes
911-random-period-sample-125-seed-128	20	911	92	31	punct	.	W	1930s. With	space	yes
911-random-period-sample-125-seed-128	21	911	96	33	punct	.	T	investigations. The	space	yes
911-random-period-sample-125-seed-128	22	911	100	18	punct	.	T	resource. The	space	yes
911-random-period-sample-125-seed-128	23	911	102	26	punct	.	T	them. The	space	yes
911-random-period-sample-125-seed-128	24	911	109	35	punct	.	T	CIA. Though	space	yes
911-random-period-sample-125-seed-128	25	911	110	32	punct	.	T	policymakers. The	space	yes
911-random-period-sample-125-seed-128	26	911	115	1	punct	.	T	abroad. They	space	yes
911-random-period-sample-125-seed-128	27	911	118	35	punct	.	T	thousands. The	space	yes
911-random-period-sample-125-seed-128	28	911	126	14	punct	.	T	issue. They	space	yes
911-random-period-sample-125-seed-128	29	911	130	22	punct	.	T	action. The	space	yes
911-random-period-sample-125-seed-128	30	911	133	21	punct	.	V	Faisal. Vice	space	yes
911-random-period-sample-125-seed-128	31	911	134	17	punct	.	T	Ladin. The	space	yes
911-random-period-sample-125-seed-128	32	911	134	43	punct	.	T	casualties. The	space	yes
911-random-period-sample-125-seed-128	33	911	137	41	punct	.	T	accordingly. The	space	yes
911-random-period-sample-125-seed-128	34	911	157	8	punct	.	T	Ladin. The	space	yes
911-random-period-sample-125-seed-128	35	911	166	8	punct	.	W	locations. While	space	yes
911-random-period-sample-125-seed-128	36	911	169	44	punct	.	T	recruits. Though	space	yes
911-random-period-sample-125-seed-128	37	911	175	29	punct	.	T	hijackings. To	space	yes
911-random-period-sample-125-seed-128	38	911	179	18	punct	.	T	Yemen. There	space	yes
