page	line	token	pieces	class	atRunBoundary	marked
14	78	Hypoxia..................................................17-3	Hypoxia. + .................................................17-3	punct	no	Hypemic Hypoxia..................................................17-3
15	51	605.............................................A-1	605............................................. + A-1	punct	no	and Challenger 605.............................................A-1
15	54	Contractions........................................................B-1	Contractions........................................................ + B-1	punct	no	Contractions........................................................B-1
15	56	Markings................................C-1	Markings................................ + C-1	punct	no	Airport Signs and Markings................................C-1
211	69	(VN0)—the	(V + N0)—the	word	yes	• Upper limit of green arc (V¦N0¦)—the maximum
401	5	30	3 + 0	word	no	30
401	8	21	2 + 1	word	no	21
401	11	12	1 + 2	word	no	12
416	74	*50	*5 + 0	word	no	*¦50
458	41	1,6852,599	1,685 + 2,599	word	no	0 771 1,6852,599 3,5123,701
458	41	3,5123,701	3,512 + 3,701	word	no	0 771 1,6852,599 3,5123,701
458	43	03,550	0 + 3,550	word	no	03,550 7,570 11,98016,820 18,105
458	43	11,98016,820	11,980 + 16,820	word	no	03,550 7,570 11,98016,820 18,105
458	46	1,5772,424	1,577 + 2,424	word	no	0 730 1,5772,424 3,2724,045
458	46	3,2724,045	3,272 + 4,045	word	no	0 730 1,5772,424 3,2724,045
458	48	03,190	0 + 3,190	word	no	03,190 6,570 10,230 14,200 18,105
459	31	M0.82M0.80	M0.82 + M0.80	word	no	M0.82M0.80 M0.74
459	32	290Speed	290 + Speed	word	no	290Speed
459	34	310Speed	310 + Speed	word	no	310Speed 481 469 434
459	35	0.1780.199	0.178 + 0.199	word	no	Spc Range 0.165 0.1780.199
459	38	350Speed	350 + Speed	word	no	350Speed 473 461 427
459	40	370Speed	370 + Speed	word	no	370Speed 470 459 424
459	42	390Speed	390 + Speed	word	no	390Speed 459 424
459	45	FL310FL330	FL310 + FL330	word	no	FL290 FL310FL330 FL350FL370 FL390
459	45	FL350FL370	FL350 + FL370	word	no	FL290 FL310FL330 FL350FL370 FL390
475	4	33-15	33 + -15	punct	no	33-15
475	6	33-15	33 + -15	punct	no	33-15
510	4	VNO.	V + NO.	word	yes	V¦NO¦.¦ ¦The maximum structural cruising speed. Do not
