page	line	token	pieces	class	atRunBoundary	marked
14	21	8and	8 + and	word	no	Find the LCD of 8and 12 
22	26	6and	6 + and	word	no	3 when x =− 6and z =− 2 Replace all x¦′¦s with 6 and z¦′¦s with 2
24	33	6into	6 + into	word	no	Distribute 2 into first parenthesis and− 6into second
24	41	4into	4 + into	word	no	Distribute 4into first parenthesis,− 1into second
24	41	1into	1 + into	word	no	Distribute 4into first parenthesis,− 1into second
25	13	1and	1 + and	word	no	2 ¦;use m = 1and n =2
33	28	4multiplied	4 + multiplied	word	no	Now we focus on the 4multiplied by x
39	23	2through	2 + through	word	no	Distribute the 2through parenthesis
41	15	3through	3 + through	word	no	Distribute 3through parenthesis
44	44	6with	6 + with	word	no	6 Reduce 6with each denominator
45	63	4with	4 + with	word	no	2 Reduce 4with each denominator
60	14	3for	3 + for	word	no	Using constant, substitute 220 for principle and 3for time
60	46	4for	4 + for	word	no	Using the constant, use 4for r, don¦′¦t forget the squared!
68	21	9by	9 + by	word	no	The dimensions of the rectangle are 9by 13.
109	50	2from	2 + from	word	no	5 Solve for y. Subtract 2from both sides
120	39	5from	5 + from	word	no	5− 2x 11 Subtract 5from both sides
125	18	3to	3 + to	word	no	8 3x− 7 and 2x− 3 > 1 Add 7 or 3to both sides
126	23	2from	2 + from	word	no	− 6− 4x +2 < 2 Subtract 2from all three parts
126	29	0and	0 + and	word	no	0 < x 2 Graph x between 0and 2
127	19	3or	3 + or	word	no	29) 1+5k 7k− 3or k− 10 > 2k + 10
127	20	1and	1 + and	word	no	31) ¦2x+ 9 10x+ 1and 3x− 2 < 7x+ 2
127	29	0and	0 + and	word	no	12)− 6+ v 0and 2v > 4
127	36	6or	6 + or	word	no	22)− 6− 8x− 6or 2+ 10x > 82
127	38	6or	6 + or	word	no	26) 4n + 8< 3n− 6or 10n− 8 9 +9n
129	29	4to	4 + to	word	no	− 4− 3|x| − 16 Add 4to both sides
139	31	3first	3 + first	word	no	Solve this equation, distributing− 3first
140	32	3first	3 + first	word	no	Solve this equation, distributing 3first
147	31	6and	6 + and	word	no	We can get opposites in front of x, find LCM of 6and 9,
153	15	4and	4 + and	word	no	Start with first two equations. LCM of 4and 6is 12.
153	15	6is	6 + is	word	no	Start with first two equations. LCM of 4and 6is 12.
153	31	8is	8 + is	word	no	The LCM of 6and− 8is 24.
161	59	3times	3 + times	word	no	3times as many 8cent stamples as 5cent stamps
161	59	8cent	8 + cent	word	no	3times as many 8cent stamples as 5cent stamps
161	59	5cent	5 + cent	word	no	3times as many 8cent stamples as 5cent stamps
186	13	3and	3 + and	word	no	2 Move 3and b to denominator because of negative exponents
189	8	3places	3 + places	word	no	is a small number. Move decimal left 3places
199	13	5by	5 + by	word	no	Multiply− 5by each term
224	14	6and	6 + and	word	no	1· 6and 2· 3 
244	9	5in	5 + in	word	no	x¦2 ¦+ 6x +8 when x =− 6 Substitute− 5in for each variable
253	11	8that	8 + that	word	no	24 is the first multiple of 8that is also divisible by 6
253	17	4and	4 + and	word	no	First find the LCD of coeﬃcients 4and 6
258	35	6by	6 + by	word	no	4 The LCD is 12. Build up, multiply 6by 2and 4 by 3
258	35	2and	2 + and	word	no	4 The LCD is 12. Build up, multiply 6by 2and 4 by 3
271	3	8feet,	8 + feet,	word	no	The flagpole has a shadow of 8feet, but we don¦′¦t know the height
271	26	6for	6 + for	word	no	7 Home team scored 6for every 7 the visitor scored
276	58	5in	5 + in	word	no	Check 5in (x− 1)(x− 2), it works
276	60	2in	2 + in	word	no	Check− 2in (x− 1)(x− 2), it works
280	42	1lbs	1 + lbs	word	no	1lbs
281	2	1lbs	1 + lbs	word	no	1lbs
281	39	1ft	1 + ft	word	no	factor would be squared, ¦1ft
281	45	8cubic	8 + cubic	word	no	Convert 8cubic feet to yd¦3 ¦Write 8ft¦3 ¦as fraction, put it over 1
