page	line	token	pieces	leftFont	rightFont	fontChange	gapEm	dy	spaceGlyph	native	found
14	11	6and	6 + and	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Reduce 21 and 28 by dividing by 7. Reduce 6and 16 by dividing by 2	yes
14	21	8and	8 + and	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Find the LCD of 8and 12 	yes
22	15	3and	3 + and	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Replace p with 3and q with 5	yes
22	26	6and	6 + and	-	-	-	-	-	-	3 when x =− 6and z =− 2 Replace all x′s with 6 and z′s with 2	no
24	33	6into	6 + into	-	-	-	-	-	-	Distribute 2 into first parenthesis and− 6into second	no
24	41	4into	4 + into	-	-	-	-	-	-	Distribute 4into first parenthesis,− 1into second	no
24	41	1into	1 + into	-	-	-	-	-	-	Distribute 4into first parenthesis,− 1into second	no
25	5	6and	6 + and	-	-	-	-	-	-	6 ; use p = 6and q =5	no
25	13	1and	1 + and	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	2 ;use m = 1and n =2	yes
25	32	y2	y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	2) y2 + y− z;use y =5, z =1	yes
26	12	4k2	4k + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.033	4.20	no	57)− 4k2	yes
26	24	4v2)	4v + 2)	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.039	4.32	no	77) (2− 4v2) +(3v2 +2v)	yes
26	25	2k2)	2k + 2)	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.033	4.32	no	79) (4− 2k2)+ (8− 2k2)	yes
29	6	7is	7 + is	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	The 7is added to the x	yes
29	7	7from	7 + from	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Subtract 7from both sides to get rid of it	yes
29	28	5is	5 + is	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	The 5is negative, or subtracted from x	yes
29	29	5to	5 + to	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Add 5to both sides	yes
33	28	4multiplied	4 + multiplied	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Now we focus on the 4multiplied by x	yes
34	21	4from	4 + from	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Subtract 4from both sides	yes
34	34	8from	8 + from	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Subtract 8from both sides	yes
37	35	3to	3 + to	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	+3 +3 Add 3to both sides	yes
38	23	6to	6 + to	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Add 6to both sides	yes
39	23	2through	2 + through	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Distribute the 2through parenthesis	yes
40	19	3through	3 + through	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Distribute 4 and 3through parenthesis	yes
40	33	2in	2 + in	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Plug 2in for each x. Multiply inside parenthesis	yes
41	15	3through	3 + through	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Distribute 3through parenthesis	yes
41	28	2through	2 + through	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Distribute 2through parenthesis	yes
44	44	6with	6 + with	-	-	-	-	-	-	6 Reduce 6with each denominator	no
44	52	1from	1 + from	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Subtract 1from both sides	yes
45	63	4with	4 + with	-	-	-	-	-	-	2 Reduce 4with each denominator	no
47	5	πr2	πr + 2	-	-	-	-	-	-	for one specific variable. For example, we may have a formula such as A= πr2 +	no
47	9	πr2	πr + 2	JJCYQV+CMMI8	QJAIEQ+CMR6	yes	0.033	2.88	no	A− πr2	yes
51	43	4for	4 + for	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	47) 5a− 7b = 4for b	yes
51	65	Eq	E + q	JJCYQV+CMMI8	RZZLOJ+CMMI6	yes	0.034	-1.20	no	Ea− Eq	yes
51	70	πr2	πr + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.031	4.20	no	28) S= πrh + πr2 for h	yes
51	89	8for	8 + for	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	48) 4x− 5y = 8for x	yes
52	27	5from	5 + from	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Subtract 5from both sides	yes
54	16	2from	2 + from	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Subtract 2from both sides	yes
55	5	7from	7 + from	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Subtract 7from both sides	yes
58	35	2and	2 + and	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	x is jointly proportional to y and z and x =48 when y = 2and z = 4	yes
60	14	3for	3 + for	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Using constant, substitute 220 for principle and 3for time	yes
60	46	4for	4 + for	-	-	-	-	-	-	Using the constant, use 4for r, don′t forget the squared!	no
66	9	2to	2 + to	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Even numbers, so we add 2to get the next	yes
66	21	6from	6 + from	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Subtract 6from both sides	yes
68	21	9by	9 + by	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	The dimensions of the rectangle are 9by 13.	yes
72	46	2to	2 + to	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	2to both Adam′s and Brian′s now column as shown	yes
73	39	5in	5 + in	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Five years ago is− 5in the change column.	yes
73	51	5from	5 + from	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Subtract 5from now column to get the change	yes
74	20	2from	2 + from	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Subtract 2from both sides	yes
75	7	2from	2 + from	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Subtract 2from both sides	yes
75	51	8added	8 + added	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Now we have an 8added to the t	yes
