page	line	token	pieces	class	atRunBoundary	marked
14	11	6and	6 + and	word	no	Reduce 21 and 28 by dividing by 7. Reduce 6and 16 by dividing by 2
14	21	8and	8 + and	word	no	Find the LCD of 8and 12 
22	15	3and	3 + and	word	no	Replace p with 3and q with 5
22	26	6and	6 + and	word	no	3 when x =− 6and z =− 2 Replace all x¦′¦s with 6 and z¦′¦s with 2
24	33	6into	6 + into	word	no	Distribute 2 into first parenthesis and− 6into second
24	41	4into	4 + into	word	no	Distribute 4into first parenthesis,− 1into second
24	41	1into	1 + into	word	no	Distribute 4into first parenthesis,− 1into second
25	5	6and	6 + and	word	no	6 ¦; use p = 6and q =5
25	13	1and	1 + and	word	no	2 ¦;use m = 1and n =2
25	32	y2	y + 2	word	yes	2) y¦2 ¦+ y− z;use y =5, z =1
26	12	4k2	4k + 2	word	yes	57)− 4k¦2
26	24	4v2)	4v + 2)	word	yes	77) (2− 4v¦2¦) +(3v¦2 ¦+2v)
26	25	2k2)	2k + 2)	word	yes	79) (4− 2k¦2¦)+ (8− 2k¦2¦)
29	6	7is	7 + is	word	no	The 7is added to the x
29	7	7from	7 + from	word	no	Subtract 7from both sides to get rid of it
29	28	5is	5 + is	word	no	The 5is negative, or subtracted from x
29	29	5to	5 + to	word	no	Add 5to both sides
33	28	4multiplied	4 + multiplied	word	no	Now we focus on the 4multiplied by x
34	21	4from	4 + from	word	no	Subtract 4from both sides
34	34	8from	8 + from	word	no	Subtract 8from both sides
37	35	3to	3 + to	word	no	+3 +3 Add 3to both sides
38	23	6to	6 + to	word	no	Add 6to both sides
39	23	2through	2 + through	word	no	Distribute the 2through parenthesis
40	19	3through	3 + through	word	no	Distribute 4 and 3through parenthesis
40	33	2in	2 + in	word	no	Plug 2in for each x. Multiply inside parenthesis
41	15	3through	3 + through	word	no	Distribute 3through parenthesis
41	28	2through	2 + through	word	no	Distribute 2through parenthesis
44	44	6with	6 + with	word	no	6 Reduce 6with each denominator
44	52	1from	1 + from	word	no	Subtract 1from both sides
45	63	4with	4 + with	word	no	2 Reduce 4with each denominator
47	5	πr2	πr + 2	word	yes	for one specific variable. For example, we may have a formula such as A= πr¦2 ¦+
47	9	πr2	πr + 2	word	yes	A− πr¦2
51	43	4for	4 + for	word	no	47) 5a− 7b = 4for b
51	65	Eq	E + q	word	yes	E¦a¦− E¦q
51	70	πr2	πr + 2	word	yes	28) S= πrh + πr¦2 ¦for h
51	89	8for	8 + for	word	no	48) 4x− 5y = 8for x
52	27	5from	5 + from	word	no	Subtract 5from both sides
54	16	2from	2 + from	word	no	Subtract 2from both sides
55	5	7from	7 + from	word	no	Subtract 7from both sides
58	35	2and	2 + and	word	no	x is jointly proportional to y and z and x =48 when y = 2and z = 4
60	14	3for	3 + for	word	no	Using constant, substitute 220 for principle and 3for time
60	46	4for	4 + for	word	no	Using the constant, use 4for r, don¦′¦t forget the squared!
66	9	2to	2 + to	word	no	Even numbers, so we add 2to get the next
66	21	6from	6 + from	word	no	Subtract 6from both sides
68	21	9by	9 + by	word	no	The dimensions of the rectangle are 9by 13.
72	46	2to	2 + to	word	no	2to both Adam¦′¦s and Brian¦′¦s now column as shown
73	39	5in	5 + in	word	no	Five years ago is− 5in the change column.
73	51	5from	5 + from	word	no	Subtract 5from now column to get the change
74	20	2from	2 + from	word	no	Subtract 2from both sides
75	7	2from	2 + from	word	no	Subtract 2from both sides
75	51	8added	8 + added	word	no	Now we have an 8added to the t
80	37	8miles,	8 + miles,	word	no	8 We have total distance, 8miles, under distance
81	7	2mph	2 + mph	word	no	Bob walks 2mph faster than Fred
81	9	2mph	2 + mph	word	no	Bob is r + 2, showing 2mph faster
81	38	4in	4 + in	word	no	To answer the question completely we plug 4in for
82	17	toboth	to + both	word	no	Add 4t toboth sides sovariableis onlyon one side
82	17	sovariableis	so + variable + is	word	no	Add 4t toboth sides sovariableis onlyon one side
82	17	onlyon	only + on	word	no	Add 4t toboth sides sovariableis onlyon one side
82	47	6showing	6 + showing	word	no	Mike¦′¦s time is t + 6showing his 6hour head start
82	47	6hour	6 + hour	word	no	Mike¦′¦s time is t + 6showing his 6hour head start
83	1	2hours	2 + hours	word	no	Our solution for t, she catches him after 2hours
83	58	2in	2 + in	word	no	To answer the question we plug 2in for t
92	21	6to	6 + to	word	no	+6 + 6 Add 6to both sides
98	42	1to	1 + to	word	no	Add 1to both sides
99	26	6from	6 + from	word	no	Subtract 6from both sides
109	20	4to	4 + to	word	no	+4 + 4 Add 4to both sides
109	50	2from	2 + from	word	no	5 Solve for y. Subtract 2from both sides
114	5	5x	5 + x	word	no	5x + 4 
114	24	9from	9 + from	word	no	Subtract 9from both sides
114	45	4to	4 + to	word	no	Add 4to each side
119	18	2and	2 + and	word	no	Start at 2and shade below
120	25	2from	2 + from	word	no	Subtract 2from both sides
120	28	1to	1 + to	word	no	Add− 1to both sides
120	29	4from	4 + from	word	no	Subtract− 4from both sides
120	39	5from	5 + from	word	no	5− 2x 11 Subtract 5from both sides
125	18	3to	3 + to	word	no	8 3x− 7 and 2x− 3 > 1 Add 7 or 3to both sides
126	23	2from	2 + from	word	no	− 6− 4x +2 < 2 Subtract 2from all three parts
126	29	0and	0 + and	word	no	0 < x 2 Graph x between 0and 2
127	19	3or	3 + or	word	no	29) 1+5k 7k− 3or k− 10 > 2k + 10
127	20	1and	1 + and	word	no	31) ¦2x+ 9 10x+ 1and 3x− 2 < 7x+ 2
127	23	0or	0 + or	word	no	4) 10r > 0or r− 5<− 12
127	29	0and	0 + and	word	no	12)− 6+ v 0and 2v > 4
127	36	6or	6 + or	word	no	22)− 6− 8x− 6or 2+ 10x > 82
127	38	6or	6 + or	word	no	26) 4n + 8< 3n− 6or 10n− 8 9 +9n
129	14	5to	5 + to	word	no	+ 5+5 +5 + 5 Add 5to both sides
129	29	4to	4 + to	word	no	− 4− 3|x| − 16 Add 4to both sides
130	10	9from	9 + from	word	no	Subtract 9from both sides
130	28	1from	1 + from	word	no	Subtract 1from all three parts
139	31	3first	3 + first	word	no	Solve this equation, distributing− 3first
140	32	3first	3 + first	word	no	Solve this equation, distributing 3first
141	41	5from	5 + from	word	no	Subtract 5from both sides
142	11	4from	4 + from	word	no	Solve for the lone variable, subtract 4from both sides
147	13	6from	6 + from	word	no	Subtract 6from both sides
147	31	6and	6 + and	word	no	We can get opposites in front of x, find LCM of 6and 9,
153	15	4and	4 + and	word	no	Start with first two equations. LCM of 4and 6is 12.
153	15	6is	6 + is	word	no	Start with first two equations. LCM of 4and 6is 12.
153	31	8is	8 + is	word	no	The LCM of 6and− 8is 24.
154	2	tousesubstitution	to + use + substitution	word	no	(B) 5y + 5z =5 Thesecondequationissolvedforz tousesubstitution
155	19	3is	3 + is	word	no	The LCM of 1 and− 3is 3
159	62	5from	5 + from	word	no	Subtract 5from both sides
160	0	5quarters	5 + quarters	word	no	5quarters and 6dimes Our Solution
160	0	6dimes	6 + dimes	word	no	5quarters and 6dimes Our Solution
161	59	3times	3 + times	word	no	3times as many 8cent stamples as 5cent stamps
161	59	8cent	8 + cent	word	no	3times as many 8cent stamples as 5cent stamps
161	59	5cent	5 + cent	word	no	3times as many 8cent stamples as 5cent stamps
171	37	1in	1 + in	word	no	is pure, 100% or 1in our table, written as a
177	28	5xy2z3	5xy + 2z + 3	word	yes	2x¦3¦y¦5¦z· 5xy¦2¦z¦3 
179	42	(x3yz2)4	(x3 + yz + 2)4	word	yes	(x¦3¦yz¦2¦)¦4 
179	43	x12y4z8	x12y + 4z + 8	word	yes	x¦12¦y¦4¦z¦8 ¦Our solution
179	44	4on	4 + on	word	no	Put the exponent of 4on each factor, multiplying powers
180	0	2on	2 + on	word	no	Put the exponent of 2on each factor, multiplying powers
180	12	(4x2y5)3	(4x2 + y + 5)3	word	yes	(4x¦2¦y¦5¦)¦3 
180	13	3on	3 + on	word	no	Put the exponent of 3on each factor, multiplying powers
180	14	43x6y15	43x6 + y + 15	word	yes	4¦3¦x¦6¦y¦15 ¦Evaluate 4¦3
180	15	64x6y15	64x6 + y + 15	word	yes	64x¦6¦y¦15 ¦Our Solution
180	29	5x4y2)3	5x4 + y + 2)3	word	yes	(4x¦3¦y· 5x¦4¦y¦2¦)¦3 
180	31	(20x7y3)3	(20x7 + y + 3)3	word	yes	(20x¦7¦y¦3¦)¦3 
180	33	203x21y9	203x21y + 9	word	yes	20¦3¦x¦21¦y¦9 ¦Evaluate 20¦3
180	34	8000x21y9	8000x21y + 9	word	yes	8000x¦21¦y¦9 ¦Our Solution
182	10	(2u3v2)2	(2u3v + 2)2	word	yes	13) (2u¦3¦v¦2¦)¦2
182	18	4x3y4	4x3 + y + 4	word	yes	23) ¦4x¦3¦y¦4
182	20	(x3y4	(x3 + y + 4	word	yes	25) (x¦3¦y¦4
182	21	2x2y3)2	2x2 + y + 3)2	word	yes	· 2x¦2¦y¦3¦)¦2
182	22	2x(x4y4)4	2x(x4 + y + 4)4	word	yes	27) 2x(x¦4¦y¦4¦)¦4
182	23	7y5	7 + y + 5	word	yes	29) ¦2x ¦7¦y¦5
182	24	4x2y3	4x2 + y3	word	yes	3x¦3¦y· 4x¦2¦y¦3
182	28	2y17	2y + 17	word	yes	33) ¦2y¦17
182	29	(2x2y4)4	(2x2 + y + 4)4	word	yes	(2x¦2¦y¦4¦)¦4
182	35	2xy5	2xy + 5	word	yes	37) ¦2xy¦5
182	36	2x2y3	2x2 + y + 3	word	yes	· 2x¦2¦y¦3
182	37	2xy4	2xy + 4	word	yes	2xy¦4 ¦· y¦3
182	38	q3r2	q + 3r + 2	word	yes	39) ¦q¦3¦r¦2
182	41	zy3	zy + 3	word	yes	41) ¦zy¦3
182	42	z3	z + 3	word	yes	· z¦3 ¦x¦4¦y¦4
182	42	x4y4	x4 + y + 4	word	yes	· z¦3 ¦x¦4¦y¦4
182	46	2zx2y2	2zx2 + y + 2	word	yes	· 2zx¦2¦y¦2
182	47	(x2z3)2	(x2z + 3)2	word	yes	(x¦2¦z¦3¦)¦2
182	54	xy2	xy + 2	word	yes	· xy¦2
182	65	xy3	xy + 3	word	yes	24) ¦xy¦3
182	67	(u2v2	(u2v + 2	word	yes	26) (u¦2¦v¦2
182	77	(y4)2	(y + 4)2	word	yes	· (y¦4¦)¦2
182	78	2y4	2y + 4	word	yes	2y¦4
182	82	2x2y4	2x2 + y4	word	yes	2x¦2¦y¦4 ¦· x¦2
182	83	2x4y5	2x4 + y + 5	word	yes	40) ¦2x¦4¦y¦5
182	84	2z10	2z + 10	word	yes	· 2z¦10 ¦x¦2¦y¦7
182	84	x2y7	x2 + y + 7	word	yes	· 2z¦10 ¦x¦2¦y¦7
182	85	(xy2z2)4	(xy + 2z + 2)4	word	yes	(xy¦2¦z¦2¦)¦4
182	86	2q3	2q + 3	word	yes	42) ¦2q¦3 ¦p¦3¦r¦4
182	86	p3r4	p3r + 4	word	yes	42) ¦2q¦3 ¦p¦3¦r¦4
184	47	e−4f2	e−4 + f + 2	word	yes	2d¦−1 ¦e¦−4¦f¦2 
184	49	2b2f2	2b2 + f + 2	word	yes	2b¦2¦f¦2 ¦Our Solution
185	41	6x−5y3	6x−5 + y + 3	word	yes	6x¦−5¦y¦3 
185	43	6x−5y3	6x−5 + y + 3	word	yes	6x¦−5¦y¦3 
186	13	3and	3 + and	word	no	2 Move 3and b to denominator because of negative exponents
186	31	9x−6y6	9x−6 + y + 6	word	yes	9x¦−6¦y¦6
186	38	2with	2 + with	word	no	Move 2with negative exponent down and z¦0 ¦=1
186	38	z0	z + 0	word	yes	Move 2with negative exponent down and z¦0 ¦=1
186	41	x6y9	x6 + y + 9	word	yes	x¦6¦y¦9
186	43	x6y9	x6 + y + 9	word	yes	x¦6¦y¦9
187	4	(2xy3)4	(2xy + 3)4	word	yes	· (2xy¦3¦)¦4
187	6	(2x2y2)4x−4	(2x2 + y + 2)4x−4	word	yes	5) (2x¦2¦y¦2¦)¦4¦x¦−4
187	7	(x3y4)3	(x3 + y + 4)3	word	yes	7) (x¦3¦y¦4¦)¦3
187	8	x−4y4	x−4 + y + 4	word	yes	· x¦−4¦y¦4
187	10	3y3	3y + 3	word	yes	3x ¦3¦y¦3 ¦· 3x¦0
187	19	(x0y2)4	(x0 + y2)4	word	yes	(x¦0¦y¦2¦)¦4
187	26	y3	y + 3	word	yes	25) ¦y¦3
187	28	(x4y2)3	(x4 + y + 2)3	word	yes	(x¦4¦y¦2¦)¦3
187	35	y(2x4y2)2	y(2x4 + y + 2)2	word	yes	31) ¦y(2x¦4¦y¦2¦)¦2
187	36	2x4y0	2x4 + y + 0	word	yes	2x¦4¦y¦0
187	38	2x4y4z	2x4 + y4z	word	yes	2x¦4¦y¦4¦z ¦2
187	39	(zy2)4	(zy + 2)4	word	yes	· (zy¦2¦)¦4
187	42	(2kj3)2	(2kj + 3)2	word	yes	(2kj¦3¦)¦2
187	47	z3	z + 3	word	yes	z¦3 ¦· x¦2¦y¦3¦z ¦1
187	47	x2y3z	x2 + y3z	word	yes	z¦3 ¦· x¦2¦y¦3¦z ¦1
187	50	2x3y2	2x3 + y + 2	word	yes	4) 2x¦3¦y¦2
187	56	3y3	3y + 3	word	yes	10) ¦3y¦3
187	57	2x4y	2x4 + y	word	yes	3yx¦3 ¦· 2x¦4¦y ¦3
187	58	3x3y2	3x3 + y + 2	word	yes	12) ¦3x¦3¦y¦2
187	61	2xy2	2xy + 2	word	yes	14) ¦2xy¦2
187	62	4x3y	4x3 + y	word	yes	· 4x¦3¦y ¦4
187	65	2y2	2y + 2	word	yes	16) ¦2x ¦2¦y¦2
187	71	2y2	2y + 2	word	yes	22) ¦2y¦2
187	74	(x4y	(x4 + y	word	yes	(x¦4¦y ¦3¦) ¦1
187	76	2xy4	2xy + 4	word	yes	· 2xy¦4
187	91	2q4	2q + 4	word	yes	38) ¦2q¦4
189	3	5places	5 + places	word	no	big number. Move decimal right 5places
189	8	3places	3 + places	word	no	is a small number. Move decimal left 3places
194	24	5when	5 + when	word	no	m¦4 ¦+ 8m¦3 ¦+ 14m¦2 ¦+13m + 5when m =− 6
194	32	(3v4	(3v + 4	word	yes	16) (3v¦4 ¦+ 1)+ (5− v¦4¦)
194	32	v4)	v + 4)	word	yes	16) (3v¦4 ¦+ 1)+ (5− v¦4¦)
195	1	(6r2	(6r + 2	word	yes	22) (1+ 6r¦2¦)+ (6r¦2
195	28	(8r4	(8r + 4	word	yes	35) (8r¦4
195	29	5r3	5r + 3	word	yes	− 5r¦3 ¦+5r¦2¦)+ (2r¦2 ¦+ 2r¦3
195	30	7r4	7r + 4	word	yes	− 7r¦4 ¦+1)
197	8	14y2	14y + 2	word	yes	12x¦2 ¦+ 21xy− 8xy− 14y¦2 
197	10	14y2	14y + 2	word	yes	12x¦2 ¦+13xy− 14y¦2 ¦Our Solution
197	49	14y2	14y + 2	word	yes	(7y)(− 2y)=− 14y¦2 
197	51	14y2	14y + 2	word	yes	− 8xy +21xy− 14y¦2 
197	53	14y2	14y + 2	word	yes	12x¦2 ¦+13xy− 14y¦2 ¦Our Solution
198	19	14y2	14y + 2	word	yes	− 8xy + 21xy− 14y¦2 ¦and
198	26	7by	7 + by	word	no	245 Multiply 7by 5then 3
198	26	5then	5 + then	word	no	245 Multiply 7by 5then 3
198	29	2by	2 + by	word	no	Use 0 for placeholder, multiply 2by 5then 3
198	29	5then	5 + then	word	no	Use 0 for placeholder, multiply 2by 5then 3
198	40	14y2	14y + 2	word	yes	− 8xy− 14y¦2 
198	42	14y2	14y + 2	word	yes	12x¦2 ¦+13xy− 14y¦2 
199	13	5by	5 + by	word	no	Multiply− 5by each term
199	28	5y2	5y + 2	word	yes	− 4xy− 10xy− 5y¦2 ¦8x¦2
199	31	5y2	5y + 2	word	yes	− 14xy− 5y¦2 ¦8x¦2
199	36	5y2	5y + 2	word	yes	− 10xy + 5y¦2
199	39	5y2	5y + 2	word	yes	− 14xy + 5y¦2
200	13	7)(6r2	7)(6r + 2	word	yes	23) (r− 7)(6r¦2
200	18	4y2)	4y + 2)	word	yes	− 7xy + 4y¦2¦)
200	21	(5k2	(5k + 2	word	yes	31) (5k¦2 ¦+3k +3)(3k¦2 ¦+ 3k + 6)
200	42	6v2)(6u2	6v + 2)(6u2	word	yes	32) (7u¦2 ¦+ 8uv− 6v¦2¦)(6u¦2 ¦+4uv + 3v¦2¦)
200	42	3v2)	3v + 2)	word	yes	32) (7u¦2 ¦+ 8uv− 6v¦2¦)(6u¦2 ¦+4uv + 3v¦2¦)
202	9	36y2	36y + 2	word	yes	− 36y¦2 
206	31	1573	157 + 3	word	no	1573
210	31	4r2	4r + 2	word	yes	21) ¦4r¦2
210	58	r2	r + 2	word	yes	− r¦2
210	64	4v3	4v + 3	word	yes	43) ¦4v¦3
210	65	21v2	21v + 2	word	yes	− 21v¦2 ¦+ 6v + 19
210	69	3k3	3k + 3	word	yes	3k¦3 ¦+ 4k¦2 ¦+ 2k
210	100	3v2	3v + 2	word	yes	26) ¦3v¦2
210	104	8k3	8k + 3	word	yes	30) ¦8k¦3
210	126	66k2	66k + 2	word	yes	− 66k¦2 ¦+ 12k + 37
213	3	24x4y2z,	24x4 + y + 2z,	word	yes	GCF of 24x¦4¦y¦2¦z, 18x¦2¦y¦4
213	4	12x3yz5	12x3 + yz + 5	word	yes	, and 12x¦3¦yz¦5
213	12	x2y	x2 + y	word	yes	x¦2¦y 
213	14	6x2y	6x2 + y	word	yes	GCF = 6x¦2¦y Our Solution
213	56	3x3y2z	3x3 + y + 2z	word	yes	3x¦3¦y¦2¦z + 5x¦4¦y¦3¦z¦5
213	57	4xy4	4xy + 4	word	yes	− 4xy¦4 ¦GCF is xy¦2
214	0	3x3y2z	3x3 + y2z	word	yes	3x¦3¦y¦2¦z
214	1	xy2	xy + 2	word	yes	xy¦2 ¦=3x¦2¦z,
214	2	4xy4	4xy + 4	word	yes	− 4xy¦4
