nav entries: 161
spine headings per level: h1 1, h2 1, h3 9, h4 28, h5 63, h6 59 (total 161)
headings starting lowercase: 0
---
p1	h1	The Fed Explained What the Central Bank Does
p3	h5	PUBLIC EDUCATION & OUTREACH
p3	h2	The Fed Explained
p3	h3	What the Central Bank Does
p5	h3	Contents
p8	h3	1 Overview of the Federal Reserve System
p10	h4	The U.S. Approach to Central Banking
p11	h4	The Decentralized System Structure and Its Philosophy
p12	h4	The Reserve Banks: A Blend of Private and Governmental Characteristics
p14	h3	2 The Three Key System Entities
p15	h4	The Federal Reserve Board: Selection and Function
p16	h4	The Federal Reserve Banks: Structure and Function
p17	h5	Reserve Bank Leadership
p18	h5	Reserve Bank Responsibilities
p20	h4	The Federal Open Market Committee: Selection and Function
p20	h5	FOMC Membership
p21	h5	FOMC Responsibilities
p21	h4	Other Significant Entities Contributing to Federal Reserve Functions
p21	h5	Depository Institutions
p21	h5	Advisory Councils
p24	h3	3 Conducting Monetary Policy
p25	h4	The Federal Reserve’s Monetary Policy Mandate and Strategy and Why It Matters
p26	h5	Understanding How the Fed Interprets and Achieves Its Maximum Employment and Price Stability Mandates
p28	h4	The Conduct of Monetary Policy
p30	h5	Factors Affecting the Stance of Monetary Policy
p30	h6	Anticipated Factors
p30	h6	Demand Shocks
p31	h6	Supply Shocks
p31	h5	How Monetary Policy Decisions Are Made: The Deliberative Process
p31	h6	FOMC Meetings: Assessing an Evolving U.S. and World Economy
p32	h5	Box 3.1. What Happens at an FOMC Meeting
p32	h6	How the FOMC Determines the Appropriate Stance of Monetary Policy
p33	h6	FOMC Statement and Chair’s Press Conference
p33	h5	Communicating Policy Regularly and Clearly
p35	h5	Monetary Policy Evolution in Recent Decades
p35	h6	Monetary Policy during and after the 2007–09 Financial Crisis
p37	h6	2015–19: Normalizing Monetary Policy in a Normalizing Economy
p38	h6	2020 and Beyond: Taking Aggressive Action Amid the Global Pandemic
p38	h4	Monetary Policy Tools
p39	h5	Box 3.2. The Fed’s Response to the COVID-19 Shock Is Reflected in Its Balance Sheet
p40	h5	Box 3.3. Interest on Reserve Balances as a Key Tool of Monetary Policy Implementation
p43	h4	How Monetary Policy Is Implemented
p43	h5	Limited-Reserves Regime
p43	h5	Ample-Reserves Regime
p44	h5	Box 3.4. Evolution of Reserves in the Banking System
p47	h5	Box 3.5. Gauging Monetary Policy through the Fed’s Balance Sheet
p50	h3	4 Promoting Financial System Stability
p51	h4	What Is Financial Stability?
