nav entries: 228
spine headings per level: h1 1, h2 7, h3 1, h4 11, h5 36, h6 172 (total 228)
headings starting lowercase: 21
---
p1	h1	The Fed Explained What the Central Bank Does
p3	h6	PUBLIC EDUCATION & OUTREACH
p3	h3	The Fed Explained
p3	h4	What the Central Bank Does
p5	h4	Contents
p5	h6	1 Overview of the Federal Reserve System  . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
p5	h6	2 The Three Key System Entities  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 6
p5	h6	3 Conducting Monetary Policy  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 16
p5	h6	4 Promoting Financial System Stability  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 46
p5	h6	5 Supervising and Regulating Financial Institutions and Activities  . . . . . . . . . 62
p5	h6	6 Fostering Payment and Settlement System Safety and Efficiency  . . . . . . . . 84
p6	h6	7 Promoting Consumer Protection and Community Development  . . . . . . . . . . 112
p8	h2	1Overview of the Federal
p8	h4	Reserve System
p8	h6	The Federal Reserve performs five key functions
p8	h6	in the public interest to promote the health of the
p8	h6	U.S. economy and the stability of the U.S. financial
p8	h6	system.
p10	h5	The U.S. Approach to Central Banking
p11	h5	The Decentralized System Structure and Its Philosophy
p12	h5	The Reserve Banks: A Blend of Private and Governmental
p12	h5	Characteristics
p14	h2	2 The Three Key System
p14	h4	Entities
p14	h6	The Board of Governors, the Federal Reserve
p14	h6	Banks, and the Federal Open Market Committee
p14	h6	work together to promote the health of the U.S.
p14	h6	economy and the stability of the U.S. financial
p14	h6	system.
p15	h5	The Federal Reserve Board: Selection and Function
p16	h5	The Federal Reserve Banks: Structure and Function
p17	h6	Reserve Bank Leadership
p18	h6	Reserve Bank Responsibilities
p20	h5	The Federal Open Market Committee:
p20	h5	Selection and Function
p20	h6	FOMC Membership
p21	h6	FOMC Responsibilities
p21	h5	Other Significant Entities Contributing to Federal Reserve
p21	h5	Functions
p21	h6	Depository Institutions
p21	h6	Advisory Councils
p24	h2	3 Conducting Monetary Policy
p24	h6	The Federal Reserve sets U.S. monetary policy to
p24	h6	promote maximum employment and stable prices
p24	h6	in the U.S. economy.
p25	h5	The Federal Reserve’s Monetary Policy Mandate and
p25	h5	Strategy and Why It Matters
p26	h6	Understanding How the Fed Interprets and Achieves Its Maximum
p26	h6	Employment and Price Stability Mandates
p28	h5	The Conduct of Monetary Policy
p30	h6	Factors Affecting the Stance of Monetary Policy
p30	h6	Anticipated Factors
p30	h6	Demand Shocks
p31	h6	Supply Shocks
p31	h6	How Monetary Policy Decisions Are Made: The Deliberative Process
p31	h6	FOMC Meetings: Assessing an Evolving U.S. and World Economy
p32	h6	Box 3.1. What Happens at an FOMC Meeting
p32	h6	How the FOMC Determines the Appropriate Stance of Monetary Policy
p33	h6	FOMC Statement and Chair’s Press Conference
p33	h6	Communicating Policy Regularly and Clearly
p35	h6	Monetary Policy Evolution in Recent Decades
p35	h6	Monetary Policy during and after the 2007–09 Financial Crisis
p37	h6	2015–19: Normalizing Monetary Policy in a Normalizing Economy
p38	h6	2020 and Beyond: Taking Aggressive Action Amid the Global Pandemic
p38	h5	Monetary Policy Tools
p39	h6	Box 3.2. The Fed’s Response to the COVID-19 Shock Is
p39	h6	Reflected in Its Balance Sheet
p40	h6	Box 3.3. Interest on Reserve Balances as a Key Tool of
p40	h6	Monetary Policy Implementation
p43	h5	How Monetary Policy Is Implemented
p43	h6	Limited-Reserves Regime
p43	h6	Ample-Reserves Regime
p44	h6	Box 3.4. Evolution of Reserves in the Banking System
p47	h6	Box 3.5. Gauging Monetary Policy through the Fed’s
p47	h6	Balance Sheet
p50	h2	4 Promoting Financial System
p50	h4	Stability
p50	h6	The Federal Reserve monitors financial system
p50	h6	risks and engages at home and abroad to help
p50	h6	ensure the system supports a healthy economy for
p50	h6	U.S. households, communities, and businesses.
p51	h5	What Is Financial Stability?
p52	h6	Effective Linking of Savers and Lenders with Borrowers and Spenders
p52	h6	Keeping Institutions and Market Structures Resilient
p52	h5	Monitoring Risk across the Financial System
p53	h6	Box 4.1. Financial Stability and the Founding of the Federal
p53	h6	Reserve
p53	h6	Types of Financial System Vulnerabilities and Risks
p54	h6	Asset Valuations and Risk Appetite
p55	h6	Leverage in the Financial System
p56	h6	Funding Risk and Maturity Transformation by the Financial System
p56	h6	Borrowing by Businesses and Households
p57	h6	Why Proactive Monitoring of Domestic and Foreign Markets Matters
p57	h6	Examining Causes, Effects, and Remedies for Financial Instability
p58	h6	Box 4.2. Responding to Financial System Emergencies
p59	h5	Macroprudential Supervision and Regulation of Large,
p59	h5	Complex Financial Institutions
p59	h6	Monitoring Systemically Important Financial Institutions
p60	h6	Stress Testing of Key Financial Institutions
p61	h6	Intersection of Financial Stability and Monetary Policy
p61	h5	Domestic and International Cooperation and Coordination
p61	h6	Domestic Engagement through the Financial Stability
p61	h6	Oversight Council
p62	h6	Figure 4.5. The framework for monitoring U.S. financial system stability
p63	h6	Engagement with Regulatory Authorities Abroad
p64	h6	Figure 4.6. Monitoring financial system stability requires global cooperation
p66	h2	5 Supervising and Regulating
p66	h4	Financial Institutions and
p66	h4	Activities
p66	h6	The Federal Reserve promotes the safety and
p66	h6	soundness of individual financial institutions and
p66	h6	monitors their impact on the financial system as a
p66	h6	whole.
p67	h5	Overview of the Federal Reserve’s Financial
p67	h5	Institution Oversight
p68	h6	Entities the Federal Reserve Oversees
p68	h6	Bank Holding Companies (Including Financial Holding Companies)
p69	h6	State Member Banks
p70	h6	U.S. Banks’ International Operations
p71	h6	Foreign Banks’ U.S. Operations
p72	h6	Edge Act and Agreement Corporations
p72	h6	Savings and Loan Holding Companies
p72	h6	Certain Insurance Holding Companies
p72	h6	Financial Market Utilities
p73	h6	Nonbank Financial Companies
p73	h6	Other Federal Authorities and Entities
p74	h5	How the Federal Reserve Supervises Financial Institutions
p74	h6	Examinations and Inspections
p74	h6	Supervision of Large, Complex Institutions
p74	h6	Supervision of Smaller Regional and Community Banks
p76	h6	Results of an Examination or Inspection
p77	h6	Examination Report
p78	h6	Enforcement
p78	h6	Risk-Focused Approach to Consolidated Supervision
p78	h6	Off-Site Monitoring
p79	h6	Participation in Supervisory Colleges
p79	h6	Crisis Management Groups
p79	h6	Box 5.1. Microprudential versus Macroprudential Supervision
p80	h5	How the Federal Reserve Regulates Financial Institutions
p80	h6	Box 5.2. A Further Evolution: Taking Corrective Action to
p80	h6	Address Troubled Institutions
p81	h6	Capital Adequacy and Planning
p81	h6	Risk-Based Capital and Leverage Requirements
p81	h6	Capital Planning and Stress Testing
p82	h6	Figure 5.7. Federal Reserve regulations by topic
p83	h6	Figure 5.7. Federal Reserve regulations by topic (continued)
p84	h6	Liquidity Standards
p84	h6	Supervisory Policy Statements and Guidance
p85	h6	Oversight of the Banking System Structure
p85	h6	Promotion of Market Discipline: Public Disclosure and Accounting
p85	h6	Policy Requirements
p86	h6	The Basel Accords: Global Prudential Standards for Banks
p88	h2	6 Fostering Payment and
p88	h4	Settlement System Safety
p88	h4	and Efficiency
p88	h6	The Federal Reserve works to promote a safe,
p88	h6	efficient, and accessible system for U.S. dollar
p88	h6	transactions.
p90	h5	Overview of Key Federal Reserve Payment
p90	h5	System Functions
p90	h5	Providing Services to Banks and the Federal Government
p91	h6	Box 6.1. Major Events in the History of the Federal Reserve’s
p91	h6	Role in the U.S. Payment System
p91	h6	Monetary Control Act of 1980
p92	h5	The U.S. Payment System Today and
p92	h5	Reserve Bank Services
p93	h6	Retail Payment Services
p93	h6	Check Service and Its Origins
p94	h6	Electronic Check Processing
p97	h6	Automated Clearinghouse Service
p99	h6	FedNow SM Service
p99	h6	Wholesale Payment Services
p99	h6	Fedwire Funds Service
p101	h6	Fedwire Securities Service
p101	h6	National Settlement Service
p102	h6	Cash Services
p103	h6	Establishing and Maintaining a Reliable U.S. Currency
p104	h6	Coin
p105	h6	Fiscal Agency Services: Acting as the U.S. Government Bank
p105	h6	Early History of Fiscal Agency and Depository Services
p106	h6	Collections, Payments, and Account Management
p107	h6	Treasury Security Auctions and Related Services
p107	h6	Using Technology to Modernize Federal Government Financial Services
p108	h6	Services to Foreign Central Banks and International Organizations
p108	h5	Regulating and Supervising the Payment System
p109	h6	Expedited Funds Availability Act
p110	h6	Electronic Check Processing
p110	h6	Financial Market Utilities
p112	h5	Providing Banking System Liquidity
p113	h5	Exploring and Implementing Payment System Improvements
p113	h6	Conducting Research and Analysis
p114	h6	Serving as a Catalyst for System Improvements
p116	h2	7 Promoting Consumer
p116	h4	Protection and Community
p116	h4	Development
p116	h6	The Federal Reserve advances supervision,
p116	h6	community reinvestment, and research to
p116	h6	improve understanding of the impacts of financial
p116	h6	services policies and practices on consumers and
p116	h6	communities.
p118	h5	Consumer Protection Supervision and Examination
p118	h6	Who the Federal Reserve Supervises for Consumer Protection Laws
p118	h6	and Regulations
p119	h6	How the Federal Reserve Supervises for Consumer Protection Laws
p119	h6	and Regulations
p119	h6	A Regional Approach to Supervision
p120	h6	Figure 7.2. Federal consumer financial protection laws and regulations applicable to banks
p121	h6	Figure 7.2. Federal consumer financial protection laws and regulations applicable to banks
p122	h6	Risk-Focused Consumer Compliance Supervision
p122	h6	Supervisory Policies and Guidance
p123	h6	Box 7.1. Supporting Compliance with Consumer Laws and
p123	h6	Regulations
p123	h6	Interagency Initiatives
p124	h6	How the Federal Reserve Enforces Consumer Protection
p124	h6	Laws and Rules
p124	h6	Evaluating Performance under the Community Reinvestment Act
p125	h6	Responding to Consumer Feedback
p125	h6	Handling Complaints
p126	h6	Box 7.2. Federal Reserve Consumer Help: Responding to
p126	h6	Consumer Complaints and Inquiries
p126	h6	Addressing Inquiries and Potential Financial Scams
p127	h5	Administering Consumer Laws and Drafting Regulations
p127	h5	Research and Analysis of Emerging Consumer Issues
p129	h5	Community Economic Development Activities
p131	h6	Working at the National Level
p132	h6	Box 7.3. Community Development: Targeting the Challenges and
p132	h6	Concerns on Main Street
p132	h6	Engaging at the Local Level
