fed-explained-2021 [dd4c326]: nav entries: 228; spine headings per level: h1 1, h2 7, h3 1, h4 11, h5 36, h6 172 (total 228); headings starting lowercase: 21
fed-explained-2021 [this tree]: nav entries: 161; spine headings per level: h1 1, h2 1, h3 9, h4 28, h5 63, h6 59 (total 161); headings starting lowercase: 0
arxiv-replay-clocks-2023 [dd4c326]: nav entries: 24; spine headings per level: h2 1, h3 2, h4 21 (total 24); headings starting lowercase: 0
arxiv-replay-clocks-2023 [this tree]: nav entries: 24; spine headings per level: h2 1, h3 2, h4 21 (total 24); headings starting lowercase: 0
gpo-our-flag-2003 [dd4c326]: nav entries: 54; spine headings per level: h1 1, h2 24, h3 7, h4 4, h5 18 (total 54); headings starting lowercase: 0
gpo-our-flag-2003 [this tree]: nav entries: 54; spine headings per level: h1 1, h2 24, h3 7, h4 4, h5 18 (total 54); headings starting lowercase: 0
gpo-911-2004 [dd4c326]: nav entries: 161; spine headings per level: h2 3, h3 54, h4 1, h5 67, h6 36 (total 161); headings starting lowercase: 1
gpo-911-2004 [this tree]: nav entries: 139; spine headings per level: h2 1, h3 39, h4 1, h5 64, h6 34 (total 139); headings starting lowercase: 1
wallace-algebra-2010 [dd4c326]: nav entries: 226; spine headings per level: h2 5, h3 168, h4 4, h5 48, h6 1 (total 226); headings starting lowercase: 1
wallace-algebra-2010 [this tree]: nav entries: 217; spine headings per level: h2 5, h3 168, h4 4, h5 39, h6 1 (total 217); headings starting lowercase: 1
faa-phak-8083-25c [dd4c326]: nav entries: 187; spine headings per level: h2 1, h3 24, h4 10, h5 145, h6 7 (total 187); headings starting lowercase: 0
faa-phak-8083-25c [this tree]: nav entries: 176; spine headings per level: h2 1, h3 18, h4 10, h5 140, h6 7 (total 176); headings starting lowercase: 0
fed-explained-2021 --repeated-headers-and-footers keep [dd4c326]: nav entries: 228; spine headings per level: h1 1, h2 7, h3 1, h4 11, h5 36, h6 172 (total 228); headings starting lowercase: 21
fed-explained-2021 --repeated-headers-and-footers keep [this tree]: nav entries: 161; spine headings per level: h1 1, h2 1, h3 9, h4 28, h5 63, h6 59 (total 161); headings starting lowercase: 0
