body pages differing beyond note-link markup: []
chapter | linked before | plain before | linked after | plain after | note ids before | after
1 | 241 | 0 | 241 | 0 | 241 | 241
2 | 93 | 0 | 93 | 0 | 93 | 93
3 | 94 | 20 | 94 | 20 | 94 | 94
4 | 174 | 20 | 174 | 20 | 174 | 174
5 | 108 | 1 | 108 | 1 | 108 | 108
6 | 206 | 4 | 206 | 4 | 206 | 206
7 | 155 | 10 | 162 | 3 | 155 | 162
8 | 98 | 0 | 98 | 0 | 98 | 98
9 | 159 | 14 | 173 | 0 | 159 | 173
10 | 63 | 23 | 82 | 4 | 63 | 82
11 | 27 | 13 | 39 | 1 | 27 | 39
12 | 12 | 30 | 39 | 3 | 12 | 39
13 | 11 | 11 | 15 | 7 | 11 | 15
total | 1441 | 146 | 1524 | 63 | 1441 | 1524
