gapEm	space	none	unfound
-0.20	0	1	0
-0.18	0	174	41
-0.17	0	45	7
-0.16	0	489	141
-0.15	0	830	161
-0.14	0	78	80
-0.13	0	1547	547
-0.12	0	2361	515
-0.11	0	695	309
-0.10	0	2605	469
-0.09	0	233	50
-0.08	0	909	191
-0.07	0	152	65
-0.06	0	827	227
-0.05	0	2880	520
-0.04	0	21886	3610
-0.03	0	25491	4303
-0.02	0	34339	5274
-0.01	0	2282	442
+0.00	0	15918	2871
+0.01	0	1136	173
+0.02	0	12748	2016
+0.03	0	5147	690
+0.04	0	13273	1811
+0.05	0	853	122
+0.06	0	438	55
+0.07	0	441	58
+0.08	0	714	56
+0.09	0	521	49
+0.10	0	1065	111
+0.11	1	2430	246
+0.12	1	1674	174
+0.13	15	1502	159
+0.14	461	356	72
+0.15	887	31	56
+0.16	618	3	76
+0.17	599	0	95
+0.18	1778	0	495
+0.19	507	0	88
+0.20	391	0	77
+0.21	196	0	45
+0.22	162	0	13
+0.23	52	0	4
+0.24	34	0	0
+0.25	3	1	1
+0.26	4	0	0
+0.27	3	0	0
+0.28	2	0	1
+0.31	2	0	0
