adj	Do	Dv	Dw	Oo	Ov	Ow	Po	Pq	Pv	Pw	Qo	Qq	Qv	Qw	Uo	Uq	Uv	Uw	lo	lq	lv	lw
-0.03	.	.	.	.	.	.	.	.	10/0	.	.	.	.	.	30/0	.	4/0	221/0	574/0	.	.	5353/0
-0.02	.	.	.	.	.	.	.	.	171/0	2/0	.	.	2/0	.	2/0	.	7/0	1794/0	.	.	.	32954/0
-0.01	2/0	.	1/0	.	1/0	1/0	1/0	.	69/0	24/0	1/0	.	.	.	1/0	.	38/0	27/0	9/0	.	.	623/0
+0.00	173/0	.	4/0	.	41/0	119/0	57/0	11/0	28/0	660/0	3/0	.	1/0	6/0	23/0	.	38/0	1810/0	305/0	.	.	12508/0
+0.01	.	.	.	.	.	.	.	72/0	145/0	.	.	1/0	3/0	.	.	.	.	1/0	2/0	.	4/0	863/0
+0.02	.	.	.	.	.	.	.	54/0	180/0	.	.	2/0	4/0	.	.	.	.	.	58/0	.	1/0	12655/0
+0.03	.	.	.	.	.	.	.	57/0	259/0	.	.	1/0	12/0	.	.	.	.	.	150/0	.	35/0	4513/0
+0.04	.	.	.	.	.	.	.	62/0	232/0	.	.	.	6/0	.	.	.	.	.	.	.	20/0	13076/0
+0.05	.	.	.	.	.	.	.	72/0	341/0	.	1/0	1/0	12/0	.	.	.	1/0	.	.	.	35/0	159/0
+0.06	.	.	.	.	.	.	.	79/0	265/0	.	.	.	12/0	.	.	.	.	.	.	.	35/0	.
+0.07	.	.	.	.	.	.	.	104/0	261/0	2/0	.	.	11/0	.	.	.	.	.	.	.	48/0	.
+0.08	.	.	.	.	.	.	.	184/0	291/0	15/0	.	1/0	10/0	.	.	.	5/0	.	.	1/0	199/0	.
+0.09	.	.	.	.	.	.	.	67/0	269/0	56/0	.	.	13/0	2/0	.	.	.	.	.	1/0	117/0	.
+0.10	.	.	.	.	.	1/0	.	62/0	334/0	499/0	.	.	39/0	15/0	.	.	.	.	.	6/0	82/0	1/0
+0.11	.	1/0	.	.	.	.	7/0	69/0	200/0	2082/1	.	1/0	7/0	91/0	.	.	.	.	1/0	9/0	19/0	.
+0.12	.	.	.	.	.	.	1/0	53/0	172/1	1320/0	.	2/0	9/0	65/0	.	.	.	.	51/0	.	4/0	.
+0.13	.	.	.	.	.	.	2/0	20/0	113/1	1253/13	.	2/0	5/0	65/1	.	.	.	.	4/0	.	11/0	.
+0.14	.	.	.	.	.	.	1/1	5/2	20/34	267/421	.	.	4/6	20/24	.	.	.	.	.	1/0	1/11	.
+0.15	.	.	.	.	.	.	0/5	1/6	4/28	16/758	0/1	.	.	0/53	.	.	0/17	.	.	0/2	0/6	.
+0.16	.	.	.	.	.	.	0/3	0/2	1/9	2/539	.	0/4	0/1	0/49	.	.	.	.	.	.	0/7	.
+0.17	.	.	.	.	.	.	.	.	0/8	0/552	.	0/2	0/1	0/39	.	.	.	.	.	.	0/5	.
+0.18	.	.	.	.	.	.	0/12	.	0/3	0/1573	.	.	.	0/173	.	.	.	.	.	.	0/9	.
+0.19	.	.	.	.	.	.	0/1	.	0/4	0/453	.	0/1	.	0/40	.	.	.	.	.	.	0/3	.
+0.20	.	.	.	.	.	.	.	0/1	0/2	0/352	.	.	0/1	0/34	.	.	.	.	.	.	0/3	.
+0.21	.	.	.	.	.	.	.	.	0/2	0/161	.	.	.	0/19	.	.	.	.	.	.	0/4	.
+0.22	.	.	.	.	.	.	.	.	0/2	0/134	.	.	.	0/20	.	.	.	.	.	.	0/1	.
+0.23	.	.	.	.	.	.	.	.	.	0/40	.	.	.	0/7	.	.	.	0/1	.	.	0/2	0/3
+0.24	.	.	.	.	.	.	.	.	.	0/27	.	.	.	0/4	.	.	.	.	.	.	.	.
+0.25	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0/1	0/1
