gapEm	space	none	unfound
+0.04	0	0	1
+0.05	1	0	1
+0.06	2	0	2
+0.07	3	0	2
+0.08	1	0	5
+0.09	37	0	5
+0.10	158	0	28
+0.11	203	0	19
+0.12	343	0	30
+0.13	807	0	84
+0.14	1677	0	188
+0.15	2311	0	387
+0.16	2238	0	251
+0.17	2668	0	344
+0.18	5713	0	1282
+0.19	2621	0	309
+0.20	6652	0	561
+0.21	14690	0	902
+0.22	10505	0	711
+0.23	11541	0	800
+0.24	12663	0	927
+0.25	13975	0	995
+0.26	14201	0	1029
+0.27	15223	0	1044
+0.28	31596	0	3856
+0.29	13520	0	968
+0.30	12685	0	987
+0.31	11892	0	1002
+0.32	10672	0	851
+0.33	8693	0	766
+0.34	7056	0	570
+0.35	4077	0	324
+0.36	2974	0	253
+0.37	2862	0	216
+0.38	2383	0	219
+0.39	1872	0	147
+0.40	1786	0	144
+0.41	1491	0	141
+0.42	1188	0	110
+0.43	1000	0	79
+0.44	879	0	68
+0.45	628	0	42
+0.46	557	0	39
+0.47	556	0	58
+0.48	372	0	26
+0.49	300	0	24
+0.50	321	0	40
+0.51	244	0	17
+0.52	311	0	37
+0.53	343	0	33
+0.54	301	0	16
+0.55	170	0	9
+0.56	154	0	14
+0.57	171	0	12
+0.58	114	0	9
+0.59	91	0	7
+0.60	45	0	8
+0.61	48	0	2
+0.62	67	0	6
+0.63	64	0	2
+0.64	49	0	6
+0.65	62	0	6
+0.66	30	0	10
+0.67	9	0	4
+0.68	19	0	3
+0.69	12	0	0
+0.70	20	0	1
+0.71	10	0	3
+0.72	31	0	4
+0.73	19	0	2
+0.74	23	0	3
+0.75	13	0	1
+0.76	15	0	0
+0.77	16	0	1
+0.78	5	0	1
+0.79	12	0	1
+0.80	3	0	1
+0.81	0	0	12
+0.82	5	0	162
+0.83	7	0	1
+0.84	10	0	1
+0.85	1	0	0
+0.86	6	0	3
+0.87	12	0	2
+0.88	2	0	1
+0.90	3	0	1
+0.91	0	0	21
+0.92	0	0	43
+0.93	3	0	1
+0.94	15	0	1
+0.95	0	0	1
+1.03	0	0	1
+1.22	1	0	0
+1.24	0	0	1
+1.27	1	0	1
+1.28	0	0	1
+1.34	0	0	1
+1.36	0	0	2
+1.37	1	0	0
+1.43	0	0	39
+1.59	0	0	1
+1.60	0	0	1
+1.66	0	0	2
+1.67	0	0	1
+1.68	0	0	1
+1.70	0	0	1
+1.81	0	0	3
+1.82	0	0	1
+1.87	0	0	1
+1.95	0	0	1
+2.08	0	0	1
+2.11	2	0	0
+2.17	0	0	1
+2.27	8	0	2
+2.29	0	0	1
+2.30	0	0	1
+2.31	0	0	1
+2.35	0	0	1
+2.36	0	0	1
+2.46	0	0	1
+2.53	0	0	1
+2.54	0	0	1
+2.59	1	0	0
+2.60	18	0	4
+2.61	0	0	1
+2.63	0	0	1
+2.66	0	0	1
+2.76	0	0	1
+2.80	0	0	1
+2.83	0	0	1
+2.85	0	0	2
+2.88	0	0	1
+2.90	0	0	1
+2.91	0	0	1
+2.94	0	0	1
+2.97	0	0	1
+2.98	0	0	2
+3.03	0	0	1
+3.13	0	0	1
+3.15	0	0	1
+3.20	0	0	1
+3.21	0	0	1
+3.24	0	0	1
+3.26	0	0	1
+3.28	0	0	1
+3.30	0	0	1
+3.32	0	0	1
+3.33	0	0	1
+3.34	1	0	5
+3.35	0	0	16
+3.36	0	0	1
+3.41	0	0	3
+3.42	0	0	1
+3.44	0	0	1
+3.45	0	0	2
+3.48	0	0	1
+3.50	1	0	0
+3.54	0	0	1
+3.55	0	0	1
+3.59	0	0	1
+3.60	0	0	1
+3.64	0	0	1
+3.65	0	0	1
+3.66	0	0	2
+3.73	0	0	1
+3.75	0	0	2
+3.78	0	0	2
+3.81	0	0	1
+3.83	2	0	2
+3.85	0	0	2
+3.86	0	0	1
+3.87	0	0	2
+3.90	0	0	1
+3.92	0	0	18
+3.98	0	0	1
+3.99	0	0	1
+4.01	0	0	1
+4.02	0	0	1
+4.03	0	0	1
+4.04	0	0	2
+4.05	0	0	1
+4.07	0	0	2
+4.08	0	0	1
+4.09	0	0	1
+4.14	0	0	1
+4.15	0	0	1
+4.20	0	0	2
+4.22	0	0	1
+4.24	0	0	1
+4.25	0	0	1
+4.27	0	0	1
+4.28	0	0	1
+4.30	0	0	2
+4.32	0	0	2
+4.34	0	0	1
+4.35	0	0	2
+4.37	0	0	1
+4.39	0	0	1
+4.40	0	0	2
+4.42	0	0	11
+4.43	0	0	1
+4.48	0	0	1
+4.50	0	0	1
+4.52	0	0	1
+4.58	0	0	1
+4.59	0	0	1
+4.60	0	0	3
+4.61	0	0	1
+4.65	0	0	1
+4.75	0	0	1
+4.79	0	0	1
+4.88	0	0	1
+4.89	0	0	1
+4.90	0	0	2
+4.91	0	0	1
+4.93	0	0	1
+4.95	0	0	1
+4.97	0	0	1
+5.01	0	0	1
+5.03	0	0	2
+5.06	0	0	1
+5.07	0	0	1
+5.17	0	0	2
+5.18	0	0	1
+5.19	1	0	0
+5.20	0	0	1
+5.23	0	0	2
+5.25	0	0	1
+5.26	0	0	3
+5.27	0	0	1
+5.35	0	0	2
+5.38	0	0	1
+5.45	1	0	1
+5.49	0	0	1
+5.53	0	0	1
+5.57	0	0	1
+5.59	1	0	0
+5.61	1	0	0
+5.64	0	0	1
+5.66	0	0	1
+5.70	0	0	1
+5.72	0	0	1
+5.77	0	0	2
+5.81	0	0	1
+5.83	1	0	0
+5.84	0	0	1
+5.86	0	0	19
+5.94	1	0	0
+5.97	0	0	1
+6.01	0	0	1
+6.06	1	0	0
+6.07	1	0	1
+6.10	0	0	2
+6.14	0	0	1
+6.15	1	0	1
+6.16	1	0	18
+6.23	0	0	1
+6.26	0	0	1
+6.30	1	0	0
+6.31	1	0	1
+6.36	1	0	0
+6.37	0	0	1
+6.40	0	0	2
+6.41	0	0	1
+6.43	0	0	12
+6.45	0	0	1
+6.46	0	0	1
+6.49	0	0	1
+6.59	1	0	0
+6.61	0	0	1
+6.63	1	0	0
+6.65	0	0	1
+6.67	0	0	1
+6.70	1	0	1
+6.75	1	0	1
+6.80	0	0	2
+6.82	0	0	2
+6.86	1	0	0
+6.87	0	0	1
+6.90	0	0	1
+6.94	0	0	2
+6.96	0	0	1
+6.97	0	0	1
+7.01	0	0	1
+7.04	0	0	5
+7.11	0	0	1
+7.12	0	0	127
+7.14	0	0	1
+7.15	0	0	1
+7.16	0	0	1
+7.18	0	0	2
+7.19	0	0	11
+7.26	0	0	1
+7.28	0	0	1
+7.37	0	0	1
+7.42	0	0	9
+7.53	0	0	14
+7.61	0	0	45
+7.95	0	0	1
+8.11	0	0	4
+8.15	0	0	1
+8.19	0	0	1
+8.25	0	0	1
+8.34	0	0	2
+8.36	0	0	21
+8.58	0	0	1
+8.89	0	0	23
+9.03	0	0	1
+9.16	0	0	18
+9.27	0	0	12
+9.51	0	0	52
+9.52	0	0	49
+9.56	0	0	1
+9.65	0	0	4
+9.90	0	0	18
+10.66	2	0	0
+11.12	0	0	13
+12.42	0	0	9
+12.45	0	0	7
+12.47	1	0	0
+12.55	0	0	6
+12.73	1	0	0
+12.99	0	0	1
+13.27	0	0	1
