page	styled	simpleFonts	strictRejected	oneByteAccepted	otherRejected	shows	decoded	measured	invalid
1	true	1	0	0	-	0	0	0	gs@460
3	true	4	0	0	-	0	0	0	gs@460
5	true	2	0	0	-	0	0	0	gs@460
6	true	2	0	0	-	0	0	0	gs@460
7	true	2	0	0	-	0	0	0	gs@460
9	true	1	0	0	-	0	0	0	gs@460
11	true	2	0	0	-	0	0	0	gs@460
13	true	2	0	0	-	0	0	0	gs@460
14	true	2	0	0	-	0	0	0	gs@460
15	true	2	0	0	-	0	0	0	gs@460
16	true	2	0	0	-	0	0	0	gs@460
17	true	1	0	0	-	0	0	0	gs@460
18	true	3	0	0	-	0	0	0	gs@460
19	true	3	0	0	-	0	0	0	gs@460
20	true	2	0	0	-	0	0	0	gs@460
21	true	1	0	0	-	0	0	0	gs@460
22	true	2	0	0	-	0	0	0	gs@460
23	true	1	0	0	-	0	0	0	gs@460
24	true	1	0	0	-	0	0	0	gs@460
25	true	2	0	0	-	0	0	0	gs@460
26	true	2	0	0	-	0	0	0	gs@460
27	true	1	0	0	-	0	0	0	gs@460
28	true	2	0	0	-	0	0	0	gs@460
29	true	1	0	0	-	0	0	0	gs@460
30	true	1	0	0	-	0	0	0	gs@460
31	true	1	0	0	-	0	0	0	gs@460
32	true	3	0	0	-	0	0	0	gs@460
33	true	3	0	0	-	0	0	0	gs@460
34	true	3	0	0	-	0	0	0	gs@460
35	true	2	0	0	-	0	0	0	gs@460
36	true	2	0	0	-	0	0	0	gs@460
37	true	2	0	0	-	0	0	0	gs@460
38	true	3	0	0	-	0	0	0	gs@460
39	true	3	0	0	-	0	0	0	gs@460
40	true	2	0	0	-	0	0	0	gs@460
41	true	4	0	0	-	0	0	0	gs@460
42	true	2	0	0	-	0	0	0	gs@460
43	true	1	0	0	-	0	0	0	gs@460
44	true	3	0	0	-	0	0	0	gs@460
45	true	1	0	0	-	0	0	0	gs@460
46	true	2	0	0	-	0	0	0	gs@460
47	true	2	0	0	-	0	0	0	gs@460
48	true	3	0	0	-	0	0	0	gs@460
49	true	3	0	0	-	0	0	0	gs@460
50	true	3	0	0	-	0	0	0	gs@460
51	true	3	0	0	-	0	0	0	gs@460
52	true	1	0	0	-	0	0	0	gs@460
53	true	2	0	0	-	0	0	0	gs@460
54	true	2	0	0	-	0	0	0	gs@460
55	true	2	0	0	-	0	0	0	gs@460
56	true	2	0	0	-	0	0	0	gs@460
57	true	1	0	0	-	0	0	0	gs@460
58	true	2	0	0	-	0	0	0	gs@460
59	true	1	0	0	-	0	0	0	gs@460
60	true	3	0	0	-	0	0	0	gs@460
61	true	2	0	0	-	0	0	0	gs@460
62	true	2	0	0	-	0	0	0	gs@460
63	true	1	0	0	-	0	0	0	gs@460
64	true	1	0	0	-	0	0	0	gs@460
65	true	2	0	0	-	0	0	0	gs@460
66	true	1	0	0	-	0	0	0	gs@460
67	true	3	0	0	-	0	0	0	gs@460
68	true	3	0	0	-	0	0	0	gs@460
69	true	2	0	0	-	0	0	0	gs@460
70	true	2	0	0	-	0	0	0	gs@460
71	true	2	0	0	-	0	0	0	gs@460
72	true	3	0	0	-	0	0	0	gs@460
73	true	2	0	0	-	0	0	0	gs@460
74	true	2	0	0	-	0	0	0	gs@460
75	true	2	0	0	-	0	0	0	gs@460
76	true	1	0	0	-	0	0	0	gs@460
77	true	2	0	0	-	0	0	0	gs@460
78	true	1	0	0	-	0	0	0	gs@460
79	true	1	0	0	-	0	0	0	gs@460
80	true	2	0	0	-	0	0	0	gs@460
81	true	1	0	0	-	0	0	0	gs@460
82	true	1	0	0	-	0	0	0	gs@460
83	true	1	0	0	-	0	0	0	gs@460
84	true	1	0	0	-	0	0	0	gs@460
85	true	2	0	0	-	0	0	0	gs@460
86	true	3	0	0	-	0	0	0	gs@460
87	true	2	0	0	-	0	0	0	gs@460
88	true	2	0	0	-	0	0	0	gs@460
89	true	2	0	0	-	0	0	0	gs@460
90	true	2	0	0	-	0	0	0	gs@460
91	true	1	0	0	-	0	0	0	gs@460
92	true	3	0	0	-	0	0	0	gs@460
93	true	1	0	0	-	0	0	0	gs@460
94	true	2	0	0	-	0	0	0	gs@460
95	true	1	0	0	-	0	0	0	gs@460
96	true	2	0	0	-	0	0	0	gs@460
97	true	2	0	0	-	0	0	0	gs@460
98	true	2	0	0	-	0	0	0	gs@460
99	true	1	0	0	-	0	0	0	gs@460
100	true	1	0	0	-	0	0	0	gs@460
101	true	1	0	0	-	0	0	0	gs@460
102	true	1	0	0	-	0	0	0	gs@460
103	true	1	0	0	-	0	0	0	gs@460
104	true	1	0	0	-	0	0	0	gs@460
105	true	2	0	0	-	0	0	0	gs@460
106	true	2	0	0	-	0	0	0	gs@460
107	true	2	0	0	-	0	0	0	gs@460
108	true	2	0	0	-	0	0	0	gs@460
109	true	2	0	0	-	0	0	0	gs@460
110	true	2	0	0	-	0	0	0	gs@460
111	true	3	0	0	-	0	0	0	gs@460
112	true	2	0	0	-	0	0	0	gs@460
113	true	2	0	0	-	0	0	0	gs@460
114	true	2	0	0	-	0	0	0	gs@460
115	true	1	0	0	-	0	0	0	gs@460
116	true	1	0	0	-	0	0	0	gs@460
117	true	1	0	0	-	0	0	0	gs@460
118	true	1	0	0	-	0	0	0	gs@460
119	true	1	0	0	-	0	0	0	gs@460
120	true	1	0	0	-	0	0	0	gs@460
121	true	2	0	0	-	0	0	0	gs@460
122	true	2	0	0	-	0	0	0	gs@460
123	true	1	0	0	-	0	0	0	gs@460
124	true	2	0	0	-	0	0	0	gs@460
125	true	1	0	0	-	0	0	0	gs@460
126	true	2	0	0	-	0	0	0	gs@460
127	true	1	0	0	-	0	0	0	gs@460
128	true	1	0	0	-	0	0	0	gs@460
129	true	2	0	0	-	0	0	0	gs@460
130	true	1	0	0	-	0	0	0	gs@460
131	true	1	0	0	-	0	0	0	gs@460
132	true	1	0	0	-	0	0	0	gs@460
133	true	2	0	0	-	0	0	0	gs@460
134	true	1	0	0	-	0	0	0	gs@460
135	true	2	0	0	-	0	0	0	gs@460
136	true	2	0	0	-	0	0	0	gs@460
137	true	2	0	0	-	0	0	0	gs@460
138	true	2	0	0	-	0	0	0	gs@460
139	true	1	0	0	-	0	0	0	gs@460
140	true	1	0	0	-	0	0	0	gs@460
141	true	1	0	0	-	0	0	0	gs@460
142	true	1	0	0	-	0	0	0	gs@460
143	true	1	0	0	-	0	0	0	gs@460
144	true	1	0	0	-	0	0	0	gs@460
145	true	2	0	0	-	0	0	0	gs@460
146	true	2	0	0	-	0	0	0	gs@460
147	true	1	0	0	-	0	0	0	gs@460
148	true	1	0	0	-	0	0	0	gs@460
149	true	1	0	0	-	0	0	0	gs@460
150	true	2	0	0	-	0	0	0	gs@460
151	true	1	0	0	-	0	0	0	gs@460
152	true	2	0	0	-	0	0	0	gs@460
153	true	1	0	0	-	0	0	0	gs@460
154	true	1	0	0	-	0	0	0	gs@460
155	true	2	0	0	-	0	0	0	gs@460
156	true	1	0	0	-	0	0	0	gs@460
157	true	2	0	0	-	0	0	0	gs@460
158	true	2	0	0	-	0	0	0	gs@460
159	true	1	0	0	-	0	0	0	gs@460
160	true	1	0	0	-	0	0	0	gs@460
161	true	1	0	0	-	0	0	0	gs@460
163	true	2	0	0	-	0	0	0	gs@460
164	true	3	0	0	-	0	0	0	gs@460
165	true	1	0	0	-	0	0	0	gs@460
166	true	2	0	0	-	0	0	0	gs@460
167	true	1	0	0	-	0	0	0	gs@460
168	true	2	0	0	-	0	0	0	gs@460
169	true	2	0	0	-	0	0	0	gs@460
170	true	3	0	0	-	0	0	0	gs@460
171	true	2	0	0	-	0	0	0	gs@460
172	true	1	0	0	-	0	0	0	gs@460
173	true	2	0	0	-	0	0	0	gs@460
174	true	3	0	0	-	0	0	0	gs@460
175	true	1	0	0	-	0	0	0	gs@460
176	true	1	0	0	-	0	0	0	gs@460
177	true	2	0	0	-	0	0	0	gs@460
178	true	2	0	0	-	0	0	0	gs@460
179	true	2	0	0	-	0	0	0	gs@460
180	true	2	0	0	-	0	0	0	gs@460
181	true	2	0	0	-	0	0	0	gs@460
182	true	1	0	0	-	0	0	0	gs@460
183	true	2	0	0	-	0	0	0	gs@460
184	true	1	0	0	-	0	0	0	gs@460
185	true	2	0	0	-	0	0	0	gs@460
186	true	2	0	0	-	0	0	0	gs@460
187	true	2	0	0	-	0	0	0	gs@460
188	true	2	0	0	-	0	0	0	gs@460
189	true	2	0	0	-	0	0	0	gs@460
190	true	2	0	0	-	0	0	0	gs@460
191	true	1	0	0	-	0	0	0	gs@460
192	true	3	0	0	-	0	0	0	gs@460
193	true	2	0	0	-	0	0	0	gs@460
194	true	2	0	0	-	0	0	0	gs@460
195	true	2	0	0	-	0	0	0	gs@460
196	true	1	0	0	-	0	0	0	gs@460
197	true	3	0	0	-	0	0	0	gs@460
198	true	2	0	0	-	0	0	0	gs@460
199	true	2	0	0	-	0	0	0	gs@460
200	true	3	0	0	-	0	0	0	gs@460
201	true	1	0	0	-	0	0	0	gs@460
202	true	3	0	0	-	0	0	0	gs@460
203	true	2	0	0	-	0	0	0	gs@460
204	true	2	0	0	-	0	0	0	gs@460
205	true	2	0	0	-	0	0	0	gs@460
206	true	1	0	0	-	0	0	0	gs@460
207	true	1	0	0	-	0	0	0	gs@460
208	true	2	0	0	-	0	0	0	gs@460
209	true	2	0	0	-	0	0	0	gs@460
210	true	3	0	0	-	0	0	0	gs@460
211	true	3	0	0	-	0	0	0	gs@460
212	true	1	0	0	-	0	0	0	gs@460
213	true	2	0	0	-	0	0	0	gs@460
214	true	2	0	0	-	0	0	0	gs@460
215	true	1	0	0	-	0	0	0	gs@460
216	true	2	0	0	-	0	0	0	gs@460
217	true	2	0	0	-	0	0	0	gs@460
218	true	1	0	0	-	0	0	0	gs@460
219	true	3	0	0	-	0	0	0	gs@460
220	true	3	0	0	-	0	0	0	gs@460
221	true	1	0	0	-	0	0	0	gs@460
222	true	2	0	0	-	0	0	0	gs@460
223	true	2	0	0	-	0	0	0	gs@460
224	true	3	0	0	-	0	0	0	gs@460
225	true	3	0	0	-	0	0	0	gs@460
226	true	1	0	0	-	0	0	0	gs@460
227	true	3	0	0	-	0	0	0	gs@460
228	true	2	0	0	-	0	0	0	gs@460
229	true	1	0	0	-	0	0	0	gs@460
230	true	3	0	0	-	0	0	0	gs@460
231	true	2	0	0	-	0	0	0	gs@460
232	true	1	0	0	-	0	0	0	gs@460
233	true	2	0	0	-	0	0	0	gs@460
234	true	1	0	0	-	0	0	0	gs@460
235	true	1	0	0	-	0	0	0	gs@460
236	true	2	0	0	-	0	0	0	gs@460
237	true	1	0	0	-	0	0	0	gs@460
238	true	1	0	0	-	0	0	0	gs@460
239	true	2	0	0	-	0	0	0	gs@460
240	true	1	0	0	-	0	0	0	gs@460
241	true	2	0	0	-	0	0	0	gs@460
242	true	1	0	0	-	0	0	0	gs@460
243	true	2	0	0	-	0	0	0	gs@460
244	true	1	0	0	-	0	0	0	gs@460
245	true	2	0	0	-	0	0	0	gs@460
246	true	2	0	0	-	0	0	0	gs@460
247	true	1	0	0	-	0	0	0	gs@460
248	true	1	0	0	-	0	0	0	gs@460
249	true	2	0	0	-	0	0	0	gs@460
250	true	1	0	0	-	0	0	0	gs@460
251	true	1	0	0	-	0	0	0	gs@460
252	true	1	0	0	-	0	0	0	gs@460
253	true	2	0	0	-	0	0	0	gs@460
254	true	1	0	0	-	0	0	0	gs@460
255	true	1	0	0	-	0	0	0	gs@460
256	true	3	0	0	-	0	0	0	gs@460
257	true	3	0	0	-	0	0	0	gs@460
258	true	3	0	0	-	0	0	0	gs@460
259	true	2	0	0	-	0	0	0	gs@460
260	true	1	0	0	-	0	0	0	gs@460
261	true	2	0	0	-	0	0	0	gs@460
262	true	1	0	0	-	0	0	0	gs@460
263	true	1	0	0	-	0	0	0	gs@460
264	true	1	0	0	-	0	0	0	gs@460
265	true	1	0	0	-	0	0	0	gs@460
266	true	2	0	0	-	0	0	0	gs@460
267	true	1	0	0	-	0	0	0	gs@460
268	true	3	0	0	-	0	0	0	gs@460
269	true	1	0	0	-	0	0	0	gs@460
270	true	2	0	0	-	0	0	0	gs@460
271	true	1	0	0	-	0	0	0	gs@460
272	true	1	0	0	-	0	0	0	gs@460
273	true	2	0	0	-	0	0	0	gs@460
274	true	2	0	0	-	0	0	0	gs@460
275	true	1	0	0	-	0	0	0	gs@460
276	true	1	0	0	-	0	0	0	gs@460
277	true	1	0	0	-	0	0	0	gs@460
278	true	2	0	0	-	0	0	0	gs@460
279	true	3	0	0	-	0	0	0	gs@460
280	true	2	0	0	-	0	0	0	gs@460
281	true	2	0	0	-	0	0	0	gs@460
282	true	1	0	0	-	0	0	0	gs@460
283	true	1	0	0	-	0	0	0	gs@460
