page	styled	simpleFonts	strictRejected	oneByteAccepted	otherRejected	shows	decoded	measured	invalid
1	true	1	0	0	-	0	0	0	Tc@452
3	true	4	0	0	-	0	0	0	Tw@452
5	true	2	0	0	-	0	0	0	Tc@452
6	true	2	0	0	-	0	0	0	Tc@452
7	true	2	0	0	-	0	0	0	Tc@452
9	true	1	0	0	-	0	0	0	Tc@452
11	true	2	0	0	-	0	0	0	Tc@452
13	true	2	0	0	-	0	0	0	Tc@452
14	true	2	0	0	-	0	0	0	Tc@452
15	true	2	0	0	-	0	0	0	Tc@452
16	true	2	0	0	-	0	0	0	Tc@452
17	true	1	0	0	-	0	0	0	Tc@452
18	true	3	0	0	-	0	0	0	Tc@452
19	true	3	0	0	-	0	0	0	Tc@452
20	true	2	0	0	-	0	0	0	Tc@452
21	true	1	0	0	-	0	0	0	Tc@452
22	true	2	0	0	-	0	0	0	Tc@452
23	true	1	0	0	-	0	0	0	Tc@452
24	true	1	0	0	-	0	0	0	Tc@452
25	true	2	0	0	-	0	0	0	Tc@452
26	true	2	0	0	-	0	0	0	Tc@452
27	true	1	0	0	-	0	0	0	Tc@452
28	true	2	0	0	-	0	0	0	Tc@452
29	true	1	0	0	-	0	0	0	Tc@452
30	true	1	0	0	-	0	0	0	Tc@452
31	true	1	0	0	-	0	0	0	Tc@452
32	true	3	0	0	-	0	0	0	Tc@452
33	true	3	0	0	-	0	0	0	Tc@452
34	true	3	0	0	-	0	0	0	Tc@452
35	true	2	0	0	-	0	0	0	Tc@452
36	true	2	0	0	-	0	0	0	Tc@452
37	true	2	0	0	-	0	0	0	Tc@452
38	true	3	0	0	-	0	0	0	Tc@452
39	true	3	0	0	-	0	0	0	Tc@452
40	true	2	0	0	-	0	0	0	Tc@452
41	true	4	0	0	-	0	0	0	Tc@452
42	true	2	0	0	-	0	0	0	Tc@452
43	true	1	0	0	-	0	0	0	Tc@452
44	true	3	0	0	-	0	0	0	Tc@452
45	true	1	0	0	-	0	0	0	Tc@452
46	true	2	0	0	-	0	0	0	Tc@452
47	true	2	0	0	-	0	0	0	Tc@452
48	true	3	0	0	-	0	0	0	Tc@452
49	true	3	0	0	-	0	0	0	Tc@452
50	true	3	0	0	-	0	0	0	Tc@452
51	true	3	0	0	-	0	0	0	Tc@452
52	true	1	0	0	-	0	0	0	Tc@452
53	true	2	0	0	-	0	0	0	Tc@452
54	true	2	0	0	-	0	0	0	Tc@452
55	true	2	0	0	-	0	0	0	Tc@452
56	true	2	0	0	-	0	0	0	Tc@452
57	true	1	0	0	-	0	0	0	Tc@452
58	true	2	0	0	-	0	0	0	Tc@452
59	true	1	0	0	-	0	0	0	Tc@452
60	true	3	0	0	-	0	0	0	Tc@452
61	true	2	0	0	-	0	0	0	Tc@452
62	true	2	0	0	-	0	0	0	Tc@452
63	true	1	0	0	-	0	0	0	Tc@452
64	true	1	0	0	-	0	0	0	Tc@452
65	true	2	0	0	-	0	0	0	Tc@452
66	true	1	0	0	-	0	0	0	Tc@452
67	true	3	0	0	-	0	0	0	Tc@452
68	true	3	0	0	-	0	0	0	Tc@452
69	true	2	0	0	-	0	0	0	Tc@452
70	true	2	0	0	-	0	0	0	Tc@452
71	true	2	0	0	-	0	0	0	Tc@452
72	true	3	0	0	-	0	0	0	Tc@452
73	true	2	0	0	-	0	0	0	Tc@452
74	true	2	0	0	-	0	0	0	Tc@452
75	true	2	0	0	-	0	0	0	Tc@452
76	true	1	0	0	-	0	0	0	Tc@452
77	true	2	0	0	-	0	0	0	Tc@452
78	true	1	0	0	-	0	0	0	Tc@452
79	true	1	0	0	-	0	0	0	Tc@452
80	true	2	0	0	-	0	0	0	Tc@452
81	true	1	0	0	-	0	0	0	Tc@452
82	true	1	0	0	-	0	0	0	Tc@452
83	true	1	0	0	-	0	0	0	Tc@452
84	true	1	0	0	-	0	0	0	Tc@452
85	true	2	0	0	-	0	0	0	Tc@452
86	true	3	0	0	-	0	0	0	Tc@452
87	true	2	0	0	-	0	0	0	Tc@452
88	true	2	0	0	-	0	0	0	Tc@452
89	true	2	0	0	-	0	0	0	Tc@452
90	true	2	0	0	-	0	0	0	Tc@452
91	true	1	0	0	-	0	0	0	Tc@452
92	true	3	0	0	-	0	0	0	Tc@452
93	true	1	0	0	-	0	0	0	Tc@452
94	true	2	0	0	-	0	0	0	Tc@452
95	true	1	0	0	-	0	0	0	Tc@452
96	true	2	0	0	-	0	0	0	Tc@452
97	true	2	0	0	-	0	0	0	Tc@452
98	true	2	0	0	-	0	0	0	Tc@452
99	true	1	0	0	-	0	0	0	Tc@452
100	true	1	0	0	-	0	0	0	Tc@452
101	true	1	0	0	-	0	0	0	Tc@452
102	true	1	0	0	-	0	0	0	Tc@452
103	true	1	0	0	-	0	0	0	Tc@452
104	true	1	0	0	-	0	0	0	Tc@452
105	true	2	0	0	-	0	0	0	Tc@452
106	true	2	0	0	-	0	0	0	Tc@452
107	true	2	0	0	-	0	0	0	Tc@452
108	true	2	0	0	-	0	0	0	Tc@452
109	true	2	0	0	-	0	0	0	Tc@452
110	true	2	0	0	-	0	0	0	Tc@452
111	true	3	0	0	-	0	0	0	Tc@452
112	true	2	0	0	-	0	0	0	Tc@452
113	true	2	0	0	-	0	0	0	Tc@452
114	true	2	0	0	-	0	0	0	Tc@452
115	true	1	0	0	-	0	0	0	Tc@452
116	true	1	0	0	-	0	0	0	Tc@452
117	true	1	0	0	-	0	0	0	Tc@452
118	true	1	0	0	-	0	0	0	Tc@452
119	true	1	0	0	-	0	0	0	Tc@452
120	true	1	0	0	-	0	0	0	Tc@452
121	true	2	0	0	-	0	0	0	Tc@452
122	true	2	0	0	-	0	0	0	Tc@452
123	true	1	0	0	-	0	0	0	Tc@452
124	true	2	0	0	-	0	0	0	Tc@452
125	true	1	0	0	-	0	0	0	Tc@452
126	true	2	0	0	-	0	0	0	Tc@452
127	true	1	0	0	-	0	0	0	Tc@452
128	true	1	0	0	-	0	0	0	Tc@452
129	true	2	0	0	-	0	0	0	Tc@452
130	true	1	0	0	-	0	0	0	Tc@452
131	true	1	0	0	-	0	0	0	Tc@452
132	true	1	0	0	-	0	0	0	Tc@452
133	true	2	0	0	-	0	0	0	Tc@452
134	true	1	0	0	-	0	0	0	Tc@452
135	true	2	0	0	-	0	0	0	Tc@452
136	true	2	0	0	-	0	0	0	Tc@452
137	true	2	0	0	-	0	0	0	Tc@452
138	true	2	0	0	-	0	0	0	Tc@452
139	true	1	0	0	-	0	0	0	Tc@452
140	true	1	0	0	-	0	0	0	Tc@452
141	true	1	0	0	-	0	0	0	Tc@452
142	true	1	0	0	-	0	0	0	Tc@452
143	true	1	0	0	-	0	0	0	Tc@452
144	true	1	0	0	-	0	0	0	Tc@452
145	true	2	0	0	-	0	0	0	Tc@452
146	true	2	0	0	-	0	0	0	Tc@452
147	true	1	0	0	-	0	0	0	Tc@452
148	true	1	0	0	-	0	0	0	Tc@452
149	true	1	0	0	-	0	0	0	Tc@452
150	true	2	0	0	-	0	0	0	Tc@452
151	true	1	0	0	-	0	0	0	Tc@452
152	true	2	0	0	-	0	0	0	Tc@452
153	true	1	0	0	-	0	0	0	Tc@452
154	true	1	0	0	-	0	0	0	Tc@452
155	true	2	0	0	-	0	0	0	Tc@452
156	true	1	0	0	-	0	0	0	Tc@452
157	true	2	0	0	-	0	0	0	Tc@452
158	true	2	0	0	-	0	0	0	Tc@452
159	true	1	0	0	-	0	0	0	Tc@452
160	true	1	0	0	-	0	0	0	Tc@452
161	true	1	0	0	-	0	0	0	Tc@452
163	true	2	0	0	-	0	0	0	Tc@452
164	true	3	0	0	-	0	0	0	Tc@452
165	true	1	0	0	-	0	0	0	Tc@452
166	true	2	0	0	-	0	0	0	Tc@452
167	true	1	0	0	-	0	0	0	Tc@452
168	true	2	0	0	-	0	0	0	Tc@452
169	true	2	0	0	-	0	0	0	Tc@452
170	true	3	0	0	-	0	0	0	Tc@452
171	true	2	0	0	-	0	0	0	Tc@452
172	true	1	0	0	-	0	0	0	Tc@452
173	true	2	0	0	-	0	0	0	Tc@452
174	true	3	0	0	-	0	0	0	Tc@452
175	true	1	0	0	-	0	0	0	Tc@452
176	true	1	0	0	-	0	0	0	Tc@452
177	true	2	0	0	-	0	0	0	Tc@452
178	true	2	0	0	-	0	0	0	Tc@452
179	true	2	0	0	-	0	0	0	Tc@452
180	true	2	0	0	-	0	0	0	Tc@452
181	true	2	0	0	-	0	0	0	Tc@452
182	true	1	0	0	-	0	0	0	Tc@452
183	true	2	0	0	-	0	0	0	Tc@452
184	true	1	0	0	-	0	0	0	Tc@452
185	true	2	0	0	-	0	0	0	Tc@452
186	true	2	0	0	-	0	0	0	Tc@452
187	true	2	0	0	-	0	0	0	Tc@452
188	true	2	0	0	-	0	0	0	Tc@452
189	true	2	0	0	-	0	0	0	Tc@452
190	true	2	0	0	-	0	0	0	Tc@452
191	true	1	0	0	-	0	0	0	Tc@452
192	true	3	0	0	-	0	0	0	Tc@452
193	true	2	0	0	-	0	0	0	Tc@452
194	true	2	0	0	-	0	0	0	Tc@452
195	true	2	0	0	-	0	0	0	Tc@452
196	true	1	0	0	-	0	0	0	Tc@452
197	true	3	0	0	-	0	0	0	Tc@452
198	true	2	0	0	-	0	0	0	Tc@452
199	true	2	0	0	-	0	0	0	Tc@452
200	true	3	0	0	-	0	0	0	Tc@452
201	true	1	0	0	-	0	0	0	Tc@452
202	true	3	0	0	-	0	0	0	Tc@452
203	true	2	0	0	-	0	0	0	Tc@452
204	true	2	0	0	-	0	0	0	Tc@452
205	true	2	0	0	-	0	0	0	Tc@452
206	true	1	0	0	-	0	0	0	Tc@452
207	true	1	0	0	-	0	0	0	Tc@452
208	true	2	0	0	-	0	0	0	Tc@452
209	true	2	0	0	-	0	0	0	Tc@452
210	true	3	0	0	-	0	0	0	Tc@452
211	true	3	0	0	-	0	0	0	Tc@452
212	true	1	0	0	-	0	0	0	Tc@452
213	true	2	0	0	-	0	0	0	Tc@452
214	true	2	0	0	-	0	0	0	Tc@452
215	true	1	0	0	-	0	0	0	Tc@452
216	true	2	0	0	-	0	0	0	Tc@452
217	true	2	0	0	-	0	0	0	Tc@452
218	true	1	0	0	-	0	0	0	Tc@452
219	true	3	0	0	-	0	0	0	Tc@452
220	true	3	0	0	-	0	0	0	Tc@452
221	true	1	0	0	-	0	0	0	Tc@452
222	true	2	0	0	-	0	0	0	Tc@452
223	true	2	0	0	-	0	0	0	Tc@452
224	true	3	0	0	-	0	0	0	Tc@452
225	true	3	0	0	-	0	0	0	Tc@452
226	true	1	0	0	-	0	0	0	Tc@452
227	true	3	0	0	-	0	0	0	Tc@452
228	true	2	0	0	-	0	0	0	Tc@452
229	true	1	0	0	-	0	0	0	Tc@452
230	true	3	0	0	-	0	0	0	Tc@452
231	true	2	0	0	-	0	0	0	Tc@452
232	true	1	0	0	-	0	0	0	Tc@452
233	true	2	0	0	-	0	0	0	Tc@452
234	true	1	0	0	-	0	0	0	Tc@452
235	true	1	0	0	-	0	0	0	Tc@452
236	true	2	0	0	-	0	0	0	Tc@452
237	true	1	0	0	-	0	0	0	Tc@452
238	true	1	0	0	-	0	0	0	Tc@452
239	true	2	0	0	-	0	0	0	Tc@452
240	true	1	0	0	-	0	0	0	Tc@452
241	true	2	0	0	-	0	0	0	Tc@452
242	true	1	0	0	-	0	0	0	Tc@452
243	true	2	0	0	-	0	0	0	Tc@452
244	true	1	0	0	-	0	0	0	Tc@452
245	true	2	0	0	-	0	0	0	Tc@452
246	true	2	0	0	-	0	0	0	Tc@452
247	true	1	0	0	-	0	0	0	Tc@452
248	true	1	0	0	-	0	0	0	Tc@452
249	true	2	0	0	-	0	0	0	Tc@452
250	true	1	0	0	-	0	0	0	Tc@452
251	true	1	0	0	-	0	0	0	Tc@452
