page	styled	simpleFonts	strictRejected	oneByteAccepted	otherRejected	shows	decoded	measured	invalid
2	true	3	3	3	-	0	0	0	gs@447
3	true	3	3	3	-	0	0	0	gs@447
4	true	1	1	1	-	0	0	0	gs@447
5	true	3	3	3	-	0	0	0	gs@447
6	true	4	4	3	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	gs@447
7	true	3	3	2	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	gs@447
8	true	3	3	2	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	gs@447
9	true	3	3	2	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	gs@447
10	true	3	3	2	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	gs@447
11	true	3	3	2	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	gs@447
12	true	3	3	2	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	gs@447
13	true	4	4	2	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=2	0	0	0	gs@447
14	true	3	3	2	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	gs@447
15	true	3	3	2	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	gs@447
16	true	4	4	3	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	gs@447
17	true	4	4	3	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	gs@447
18	true	4	4	3	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	gs@447
19	true	5	5	4	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	gs@447
20	true	4	4	3	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	gs@447
21	true	4	4	3	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	gs@447
22	true	4	4	3	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	gs@447
23	true	7	7	5	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=2	0	0	0	gs@447
24	true	5	5	4	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	gs@447
25	true	5	5	4	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	gs@447
26	true	5	5	4	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	gs@447
27	true	6	6	4	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=2	0	0	0	gs@447
28	true	6	6	4	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=2	0	0	0	gs@447
29	true	5	5	4	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	gs@447
30	true	2	2	1	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	gs@447
31	true	5	5	4	codespace(<0000> <FFFF>)+twoByteEntry(<0020> <0020>)=1	0	0	0	gs@447
