page	styled	simpleFonts	strictRejected	oneByteAccepted	otherRejected	shows	decoded	measured	invalid
1	true	1	1	1	-	0	0	0	Tc@452
3	true	1	1	1	-	0	0	0	Tc@452
4	true	1	1	1	-	0	0	0	show@239
5	true	3	3	3	-	0	0	0	Tc@452
6	true	3	3	3	-	0	0	0	Tc@452
8	true	4	4	4	-	0	0	0	show@239
9	true	3	3	3	-	0	0	0	show@239
10	true	5	5	5	-	0	0	0	show@239
11	true	4	4	4	-	0	0	0	show@239
12	true	3	3	3	-	0	0	0	show@239
13	true	3	3	3	-	0	0	0	show@239
14	true	4	4	4	-	0	0	0	show@239
15	true	4	4	4	-	0	0	0	show@239
16	true	3	3	3	-	0	0	0	show@239
17	true	4	4	4	-	0	0	0	show@239
18	true	3	3	3	-	0	0	0	show@239
19	true	5	5	5	-	0	0	0	show@239
20	true	4	4	4	-	0	0	0	show@239
21	true	5	5	5	-	0	0	0	show@239
22	true	4	4	4	-	0	0	0	show@239
24	true	4	4	4	-	0	0	0	show@239
25	true	4	4	4	-	0	0	0	show@239
26	true	5	5	5	-	0	0	0	show@239
27	true	4	4	4	-	0	0	0	show@239
28	true	4	4	4	-	0	0	0	show@239
29	true	3	3	3	-	0	0	0	show@239
30	true	4	4	4	-	0	0	0	show@239
31	true	4	4	4	-	0	0	0	show@239
32	true	4	4	4	-	0	0	0	show@239
33	true	4	4	4	-	0	0	0	show@239
34	true	4	4	4	-	0	0	0	show@239
35	true	6	6	6	-	0	0	0	show@239
36	true	3	3	3	-	0	0	0	show@239
37	true	4	4	4	-	0	0	0	show@239
38	true	4	4	4	-	0	0	0	show@239
39	true	4	4	4	-	0	0	0	show@239
40	true	3	3	3	-	0	0	0	show@239
41	true	4	4	4	-	0	0	0	show@239
42	true	3	3	3	-	0	0	0	show@239
43	true	4	4	4	-	0	0	0	show@239
44	true	4	4	4	-	0	0	0	show@239
45	true	3	3	3	-	0	0	0	show@239
46	true	3	3	3	-	0	0	0	show@239
47	true	3	3	3	-	0	0	0	show@239
48	true	2	2	2	-	0	0	0	show@239
50	true	4	4	4	-	0	0	0	show@239
51	true	5	5	5	-	0	0	0	show@239
52	true	5	5	5	-	0	0	0	show@239
53	true	5	5	5	-	0	0	0	show@239
54	true	5	5	5	-	0	0	0	show@239
55	true	4	4	4	-	0	0	0	show@239
56	true	5	5	5	-	0	0	0	show@239
57	true	3	3	3	-	0	0	0	show@239
58	true	4	4	4	-	0	0	0	show@239
59	true	4	4	4	-	0	0	0	show@239
60	true	4	4	4	-	0	0	0	show@239
61	true	4	4	4	-	0	0	0	show@239
62	true	3	3	3	-	0	0	0	show@239
63	true	3	3	3	-	0	0	0	show@239
64	true	5	5	5	-	0	0	0	show@239
66	true	4	4	4	-	0	0	0	show@239
67	true	4	4	4	-	0	0	0	show@239
68	true	5	5	5	-	0	0	0	show@239
69	true	4	4	4	-	0	0	0	show@239
70	true	6	6	6	-	0	0	0	show@239
71	true	4	4	4	-	0	0	0	show@239
72	true	4	4	4	-	0	0	0	show@239
73	true	4	4	4	-	0	0	0	show@239
74	true	5	5	5	-	0	0	0	show@239
75	true	3	3	3	-	0	0	0	show@239
76	true	5	5	5	-	0	0	0	show@239
77	true	6	6	6	-	0	0	0	show@239
78	true	4	4	4	-	0	0	0	show@239
79	true	4	4	4	-	0	0	0	show@239
80	true	4	4	4	-	0	0	0	show@239
81	true	5	5	5	-	0	0	0	show@239
82	true	6	6	6	-	0	0	0	show@239
83	true	5	5	5	-	0	0	0	show@239
84	true	4	4	4	-	0	0	0	show@239
85	true	3	3	3	-	0	0	0	show@239
86	true	6	6	6	-	0	0	0	show@239
88	true	4	4	4	-	0	0	0	show@239
89	true	3	3	3	-	0	0	0	Tw@452
90	true	3	3	3	-	0	0	0	show@239
91	true	4	4	4	-	0	0	0	Tw@452
92	true	5	5	5	-	0	0	0	show@239
93	true	4	4	4	-	0	0	0	Tw@452
94	true	4	4	4	-	0	0	0	show@239
95	true	3	3	3	-	0	0	0	Tw@452
96	true	3	3	3	-	0	0	0	show@239
97	true	7	7	7	-	0	0	0	Tw@452
98	true	4	4	4	-	0	0	0	show@239
99	true	5	5	5	-	0	0	0	Tw@452
100	true	3	3	3	-	0	0	0	show@239
101	true	3	3	3	-	0	0	0	Tw@452
102	true	3	3	3	-	0	0	0	show@239
103	true	5	5	5	-	0	0	0	Tw@452
104	true	3	3	3	-	0	0	0	show@239
105	true	4	4	4	-	0	0	0	Tw@452
106	true	3	3	3	-	0	0	0	show@239
107	true	3	3	3	-	0	0	0	Tw@452
108	true	4	4	4	-	0	0	0	show@239
109	true	6	6	6	-	0	0	0	Tw@452
110	true	3	3	3	-	0	0	0	show@239
111	true	3	3	3	-	0	0	0	Tw@452
112	true	3	3	3	-	0	0	0	show@239
113	true	4	4	4	-	0	0	0	Tw@452
114	true	4	4	4	-	0	0	0	show@239
115	true	1	1	1	-	0	0	0	show@239
116	true	4	4	4	-	0	0	0	show@239
117	true	4	4	4	-	0	0	0	Tw@452
118	true	4	4	4	-	0	0	0	show@239
119	true	4	4	4	-	0	0	0	Tw@452
120	true	7	7	7	-	0	0	0	show@239
121	true	6	6	6	-	0	0	0	Tw@452
122	true	4	4	4	-	0	0	0	show@239
123	true	6	6	6	-	0	0	0	Tw@452
124	true	4	4	4	-	0	0	0	show@239
125	true	4	4	4	-	0	0	0	Tw@452
126	true	4	4	4	-	0	0	0	show@239
127	true	3	3	3	-	0	0	0	Tw@452
128	true	5	5	5	-	0	0	0	show@239
129	true	3	3	3	-	0	0	0	Tw@452
130	true	4	4	4	-	0	0	0	show@239
131	true	3	3	0	codespace(<00> <EF> <F000> <FFFF>)=3	0	0	0	Tr@452
132	true	4	4	4	-	0	0	0	show@239
133	true	2	2	2	-	0	0	0	Tw@452
135	true	2	2	2	-	0	0	0	show@239
