page	styled	simpleFonts	strictRejected	oneByteAccepted	otherRejected	shows	decoded	measured	invalid
1	true	3	3	0	codespace(<00> <EF> <F000> <FFFF>)=3	0	0	0	Tc@452
2	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
3	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
4	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
5	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
6	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
7	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
8	true	3	3	0	codespace(<00> <EF> <F000> <FFFF>)=3	0	0	0	Tc@452
9	true	3	3	0	codespace(<00> <EF> <F000> <FFFF>)=3	0	0	0	Tc@452
10	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
11	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
12	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
13	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
14	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
15	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
16	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
17	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
18	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
19	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
20	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
21	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
22	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
23	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
24	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
25	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
26	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
27	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
28	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
29	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
30	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
31	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
32	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
33	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
34	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
35	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
36	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
37	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
38	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
39	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
40	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
41	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
42	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
43	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
44	true	3	3	0	codespace(<00> <EF> <F000> <FFFF>)=3	0	0	0	Tc@452
45	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
46	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
47	true	2	2	0	codespace(<00> <EF> <F000> <FFFF>)=2	0	0	0	Tc@452
