page	styled	simpleFonts	strictRejected	oneByteAccepted	otherRejected	shows	decoded	measured	invalid
3	true	1	0	0	-	0	0	0	gs@447
4	true	2	0	0	-	0	0	0	gs@447
5	true	3	0	0	-	0	0	0	gs@447
6	true	4	0	0	-	0	0	0	gs@447
7	true	4	0	0	-	0	0	0	gs@447
8	true	4	0	0	-	0	0	0	gs@447
9	true	3	0	0	-	0	0	0	gs@447
10	true	3	0	0	-	0	0	0	gs@447
11	true	2	0	0	-	0	0	0	gs@447
12	true	3	0	0	-	0	0	0	gs@447
13	true	3	0	0	-	0	0	0	gs@447
14	true	3	0	0	-	0	0	0	gs@447
15	true	4	0	0	-	0	0	0	gs@447
16	true	3	0	0	-	0	0	0	gs@447
17	true	4	0	0	-	0	0	0	gs@447
18	true	3	0	0	-	0	0	0	gs@447
19	true	2	0	0	-	0	0	0	gs@447
20	true	3	0	0	-	0	0	0	gs@447
21	true	3	0	0	-	0	0	0	gs@447
22	true	2	0	0	-	0	0	0	gs@447
23	true	2	0	0	-	0	0	0	gs@447
24	true	3	0	0	-	0	0	0	gs@447
25	true	3	0	0	-	0	0	0	gs@447
26	true	3	0	0	-	0	0	0	gs@447
27	true	3	0	0	-	0	0	0	gs@447
28	true	3	0	0	-	0	0	0	gs@447
29	true	3	0	0	-	0	0	0	gs@447
30	true	3	0	0	-	0	0	0	gs@447
31	true	3	0	0	-	0	0	0	gs@447
32	true	4	0	0	-	0	0	0	gs@447
33	true	4	0	0	-	0	0	0	gs@447
34	true	3	0	0	-	0	0	0	gs@447
35	true	3	0	0	-	0	0	0	gs@447
36	true	3	0	0	-	0	0	0	gs@447
37	true	3	0	0	-	0	0	0	gs@447
38	true	3	0	0	-	0	0	0	gs@447
39	true	3	0	0	-	0	0	0	gs@447
40	true	3	0	0	-	0	0	0	gs@447
41	true	3	0	0	-	0	0	0	gs@447
42	true	3	0	0	-	0	0	0	gs@447
43	true	3	0	0	-	0	0	0	gs@447
44	true	3	0	0	-	0	0	0	gs@447
45	true	3	0	0	-	0	0	0	gs@447
46	true	3	0	0	-	0	0	0	gs@447
47	true	4	0	0	-	0	0	0	gs@447
48	true	4	0	0	-	0	0	0	gs@447
49	true	3	0	0	-	0	0	0	gs@447
50	true	4	0	0	-	0	0	0	gs@447
51	true	5	0	0	-	0	0	0	gs@447
52	true	4	0	0	-	0	0	0	gs@447
53	true	5	0	0	-	0	0	0	gs@447
54	true	3	0	0	-	0	0	0	gs@447
