page	styled	simpleFonts	strictRejected	oneByteAccepted	otherRejected	shows	decoded	measured	invalid
3	true	1	0	0	-	0	0	0	gs@460
4	true	2	0	0	-	0	0	0	gs@460
5	true	3	0	0	-	0	0	0	gs@460
6	true	4	0	0	-	0	0	0	gs@460
7	true	4	0	0	-	0	0	0	gs@460
8	true	4	0	0	-	0	0	0	gs@460
9	true	3	0	0	-	0	0	0	gs@460
10	true	3	0	0	-	0	0	0	gs@460
11	true	2	0	0	-	0	0	0	gs@460
12	true	3	0	0	-	0	0	0	gs@460
13	true	3	0	0	-	0	0	0	gs@460
14	true	3	0	0	-	0	0	0	gs@460
15	true	4	0	0	-	0	0	0	gs@460
16	true	3	0	0	-	0	0	0	gs@460
17	true	4	0	0	-	0	0	0	gs@460
18	true	3	0	0	-	0	0	0	gs@460
19	true	2	0	0	-	0	0	0	gs@460
20	true	3	0	0	-	0	0	0	gs@460
21	true	3	0	0	-	0	0	0	gs@460
22	true	2	0	0	-	0	0	0	gs@460
23	true	2	0	0	-	0	0	0	gs@460
24	true	3	0	0	-	0	0	0	gs@460
25	true	3	0	0	-	0	0	0	gs@460
26	true	3	0	0	-	0	0	0	gs@460
27	true	3	0	0	-	0	0	0	gs@460
28	true	3	0	0	-	0	0	0	gs@460
29	true	3	0	0	-	0	0	0	gs@460
30	true	3	0	0	-	0	0	0	gs@460
31	true	3	0	0	-	0	0	0	gs@460
32	true	4	0	0	-	0	0	0	gs@460
33	true	4	0	0	-	0	0	0	gs@460
34	true	3	0	0	-	0	0	0	gs@460
35	true	3	0	0	-	0	0	0	gs@460
36	true	3	0	0	-	0	0	0	gs@460
37	true	3	0	0	-	0	0	0	gs@460
38	true	3	0	0	-	0	0	0	gs@460
39	true	3	0	0	-	0	0	0	gs@460
40	true	3	0	0	-	0	0	0	gs@460
41	true	3	0	0	-	0	0	0	gs@460
42	true	3	0	0	-	0	0	0	gs@460
43	true	3	0	0	-	0	0	0	gs@460
44	true	3	0	0	-	0	0	0	gs@460
45	true	3	0	0	-	0	0	0	gs@460
46	true	3	0	0	-	0	0	0	gs@460
47	true	4	0	0	-	0	0	0	gs@460
48	true	4	0	0	-	0	0	0	gs@460
49	true	3	0	0	-	0	0	0	gs@460
50	true	4	0	0	-	0	0	0	gs@460
51	true	5	0	0	-	0	0	0	gs@460
52	true	4	0	0	-	0	0	0	gs@460
53	true	5	0	0	-	0	0	0	gs@460
54	true	3	0	0	-	0	0	0	gs@460
