page	styled	simpleFonts	strictRejected	oneByteAccepted	otherRejected	shows	decoded	measured	invalid
3	true	1	0	0	-	0	0	0	Tc@452
4	true	2	0	0	-	0	0	0	Tc@452
5	true	3	0	0	-	0	0	0	Tc@452
6	true	4	0	0	-	0	0	0	Tc@452
7	true	4	0	0	-	0	0	0	Tc@452
8	true	4	0	0	-	0	0	0	Tc@452
9	true	3	0	0	-	0	0	0	Tc@452
10	true	3	0	0	-	0	0	0	Tc@452
11	true	2	0	0	-	0	0	0	Tc@452
12	true	3	0	0	-	0	0	0	Tc@452
13	true	3	0	0	-	0	0	0	Tc@452
14	true	3	0	0	-	0	0	0	Tc@452
15	true	4	0	0	-	0	0	0	Tc@452
16	true	3	0	0	-	0	0	0	Tc@452
17	true	4	0	0	-	0	0	0	Tc@452
18	true	3	0	0	-	0	0	0	Tc@452
19	true	2	0	0	-	0	0	0	Tc@452
20	true	3	0	0	-	0	0	0	Tc@452
21	true	3	0	0	-	0	0	0	Tc@452
22	true	2	0	0	-	0	0	0	Tc@452
23	true	2	0	0	-	0	0	0	Tc@452
24	true	3	0	0	-	0	0	0	Tc@452
25	true	3	0	0	-	0	0	0	Tc@452
26	true	3	0	0	-	0	0	0	Tc@452
27	true	3	0	0	-	0	0	0	Tc@452
28	true	3	0	0	-	0	0	0	Tc@452
29	true	3	0	0	-	0	0	0	Tc@452
30	true	3	0	0	-	0	0	0	Tc@452
31	true	3	0	0	-	0	0	0	Tc@452
32	true	4	0	0	-	0	0	0	Tc@452
33	true	4	0	0	-	0	0	0	Tc@452
34	true	3	0	0	-	0	0	0	Tc@452
35	true	3	0	0	-	0	0	0	Tc@452
36	true	3	0	0	-	0	0	0	Tc@452
37	true	3	0	0	-	0	0	0	Tc@452
38	true	3	0	0	-	0	0	0	Tc@452
39	true	3	0	0	-	0	0	0	Tc@452
40	true	3	0	0	-	0	0	0	Tc@452
41	true	3	0	0	-	0	0	0	Tc@452
42	true	3	0	0	-	0	0	0	Tc@452
43	true	3	0	0	-	0	0	0	Tc@452
44	true	3	0	0	-	0	0	0	Tc@452
45	true	3	0	0	-	0	0	0	Tc@452
46	true	3	0	0	-	0	0	0	Tc@452
47	true	4	0	0	-	0	0	0	Tc@452
48	true	4	0	0	-	0	0	0	Tc@452
49	true	3	0	0	-	0	0	0	Tc@452
50	true	4	0	0	-	0	0	0	Tc@452
51	true	5	0	0	-	0	0	0	Tc@452
52	true	4	0	0	-	0	0	0	Tc@452
53	true	5	0	0	-	0	0	0	Tc@452
54	true	3	0	0	-	0	0	0	Tc@452
