page	styled	simpleFonts	strictRejected	oneByteAccepted	otherRejected	shows	decoded	measured	invalid
2	true	1	0	0	-	54	10	54	-
7	true	1	0	0	-	93	11	93	-
8	true	1	0	0	-	125	23	125	-
9	true	1	0	0	-	92	19	92	-
10	true	1	0	0	-	233	71	233	-
11	true	2	0	0	-	66	16	66	-
12	true	1	0	0	-	36	2	36	-
13	true	1	0	0	-	68	2	68	-
14	true	2	0	0	-	94	2	94	-
15	true	1	0	0	-	110	6	110	-
16	true	1	0	0	-	186	15	186	-
17	true	2	0	0	-	333	70	333	-
18	true	1	0	0	-	80	0	80	-
19	true	1	0	0	-	178	40	178	-
20	true	1	0	0	-	153	30	153	-
21	true	3	0	0	-	368	117	368	-
22	true	4	0	0	-	144	22	144	-
23	true	1	0	0	-	173	22	173	-
24	true	1	0	0	-	201	46	201	-
25	true	3	0	0	-	400	59	400	-
26	true	1	0	0	-	418	73	418	-
28	true	1	0	0	-	108	14	108	-
29	true	2	0	0	-	93	14	93	-
30	true	2	0	0	-	83	12	83	-
31	true	4	0	0	-	129	27	129	-
32	true	2	0	0	-	226	46	226	-
33	true	1	0	0	-	109	11	109	-
34	true	2	0	0	-	120	17	120	-
35	true	3	0	0	-	171	38	171	-
36	true	2	0	0	-	249	65	249	-
37	true	1	0	0	-	95	6	95	-
38	true	2	0	0	-	113	7	113	-
39	true	2	0	0	-	167	20	167	-
40	true	2	0	0	-	120	15	120	-
41	true	2	0	0	-	150	23	150	-
42	true	1	0	0	-	509	135	509	-
43	true	2	0	0	-	139	2	139	-
44	true	2	0	0	-	185	15	185	-
45	true	3	0	0	-	240	21	240	-
46	true	1	0	0	-	440	57	440	-
47	true	4	0	0	-	135	8	135	-
48	true	3	0	0	-	177	17	177	-
49	true	2	0	0	-	171	9	171	-
50	true	2	0	0	-	213	37	213	-
51	true	3	0	0	-	327	61	327	-
52	true	2	0	0	-	92	17	92	-
53	true	1	0	0	-	122	21	122	-
54	true	2	0	0	-	153	33	153	-
55	true	3	0	0	-	163	33	163	-
56	true	3	0	0	-	332	117	332	-
57	true	1	0	0	-	89	4	89	-
58	true	1	0	0	-	124	8	124	-
59	true	2	0	0	-	134	5	134	-
60	true	1	0	0	-	169	5	169	-
64	true	1	0	0	-	85	7	85	-
65	true	3	0	0	-	218	9	218	-
66	true	1	0	0	-	240	4	240	-
67	true	1	0	0	-	166	5	166	-
68	true	1	0	0	-	166	5	166	-
69	true	1	0	0	-	44	4	44	-
72	true	2	0	0	-	130	12	130	-
73	true	3	0	0	-	169	16	169	-
74	true	2	0	0	-	190	17	190	-
75	true	3	0	0	-	150	10	150	-
81	true	2	0	0	-	158	5	158	-
82	true	3	0	0	-	185	8	185	-
83	true	2	0	0	-	137	10	137	-
89	true	1	0	0	-	112	8	112	-
90	true	1	0	0	-	180	16	180	-
91	true	1	0	0	-	121	23	121	-
92	true	1	0	0	-	189	32	189	-
93	true	1	0	0	-	31	5	31	-
94	true	1	0	0	-	202	28	202	-
95	true	3	0	0	-	79	7	79	-
96	true	1	0	0	-	95	2	95	-
97	true	2	0	0	-	206	25	206	-
98	true	2	0	0	-	209	39	209	-
99	true	1	0	0	-	93	8	93	-
101	true	1	0	0	-	404	56	404	-
102	true	2	0	0	-	143	10	143	-
103	true	1	0	0	-	138	18	138	-
104	true	1	0	0	-	130	10	130	-
105	true	1	0	0	-	46	7	46	-
106	true	1	0	0	-	216	37	216	-
107	true	2	0	0	-	164	18	164	-
108	true	1	0	0	-	180	35	180	-
109	true	1	0	0	-	240	50	240	-
110	true	1	0	0	-	341	50	341	-
111	true	1	0	0	-	222	34	222	-
112	true	1	0	0	-	107	6	107	-
113	true	1	0	0	-	196	32	196	-
114	true	1	0	0	-	172	24	172	-
115	true	1	0	0	-	229	27	229	-
