# source	page	distanceToCropEdgePt	pageBodySizePt	lineFontSizePt	MATH (no word of three letters or more) or WORD	line text
# Baseline 58a2ddd crops over every cached corpus source: every line outside all crops
# that shares a row (sameRow) with a line inside one, up to 24 pt from that crop's edge.
20190030725	2	3.530	10.000	9.963	MATH	S(f) :
20190030725	3	3.560	10.000	9.963	WORD	STAn
20190030725	3	1.210	10.000	6.974	MATH	f2
20190030725	3	15.135	10.000	8.966	WORD	reach n
20190030725	3	15.135	10.000	8.966	WORD	consecutively,
20190030725	3	3.978	10.000	9.963	MATH	⎫ ⎪⎪⎪⎪⎬ ⎪⎪⎪⎪⎭
20190030725	3	1.978	10.000	9.963	MATH	⎞ ⎟⎠
20190030725	3	17.337	10.000	8.966	WORD	if edge ni, ni+1
20190030725	3	17.337	10.000	8.966	WORD	is shared by the
20190030725	3	17.337	10.000	8.966	WORD	routes of f1, f2
20190030725	9	9.956	10.000	9.963	WORD	of flights, ordered by priority, and each with a route and
20190030725	9	9.956	10.000	9.963	WORD	an estimated time of departure, the algorithm schedules one
20190030725	9	9.956	10.000	9.963	WORD	individual flight’s individual parameters, but also the separa-
20190030725	9	9.956	10.000	9.963	WORD	tion constraints imposed by the already scheduled flights. The
20190030725	9	9.956	10.000	9.963	WORD	algorithm has a two-layer safety net: it first schedules the flight
20190030725	9	9.956	10.000	9.963	WORD	using a fast heuristic procedure, and then, if the schedule is
20190030725	9	9.956	10.000	9.963	WORD	infeasible, recomputes it using an optimization method. This
20190030725	9	9.956	10.000	9.963	WORD	algorithm design pinpoints the steps where a flight operator
20190030725	9	7.950	10.000	9.963	WORD	For n being the k-th node along the route of a given flight
20190030725	9	7.951	10.000	9.963	WORD	f (nis the node label, while k is the index of the node along
20190030725	9	7.955	10.000	6.974	WORD	k be the nominal travel time for f from
20190030725	9	7.953	10.000	9.963	WORD	available to flight f at node n; these are the time windows (11),
20190030725	9	2.981	10.000	9.963	MATH	⎫ ⎪⎪⎪⎪⎬ ⎪⎪⎪⎪⎭
20190030725	9	1.238	10.000	9.963	MATH	⎤ ⎥⎥⎥⎦.
20190030725	9	10.729	10.000	9.963	WORD	−→x min,
20190030725	9	10.729	10.000	9.963	MATH	1−1...
20190030725	9	2.981	10.000	9.963	MATH	−1 2−1...
20190030725	9	13.220	10.000	9.963	MATH	.
20190030725	9	13.220	10.000	9.963	MATH	.
20190030725	9	13.220	10.000	9.963	MATH	.
20190030725	10	17.888	9.000	7.970	WORD	[2] FAA-E-3025. Time-Based Flow Management (TBFM) system specifi-
20190030725	10	17.888	9.000	7.970	WORD	[3] A. Hagberg, P. Swart, and D. Schult. Exploring network structure,
20190030725	10	17.888	9.000	7.970	WORD	[4] L. Meyn. A closed-form solution to multi-point scheduling problems.
20190030725	10	17.888	9.000	7.970	WORD	[5] D. Mulfinger and A. Sadovsky. Design and evaluation of a stochastic
20190030725	10	17.888	9.000	7.970	WORD	[6] C. H. Papadimitriou and K. Steiglitz. Combinatorial Optimization;
20190030725	10	17.888	9.000	7.970	WORD	[7] J. L. Rios, I. S. Smith, P. Venkatesan, D. R. Smith, V. Baskaran,
20190030725	10	17.888	9.000	7.970	WORD	[8] A. S. Tanenbaum and M. Van Steen. Distributed systems: principles
20190030725	10	13.903	9.000	7.970	WORD	[10] K. Tumer and A. Agogino. Distributed agent-based air traffic flow
2311.07842v1	3	20.107	9.000	10.909	WORD	4 ALGORITHM FOR REPLAY CLOCK (REPCL)
2311.07842v1	3	20.107	9.000	9.056	WORD	In this section, we present our approach for RepCl. As discussed
2311.07842v1	3	20.107	9.000	8.957	WORD	earlier, we assume that the physical clocks are synchronized to be
2311.07842v1	3	19.775	9.000	9.029	WORD	within E. We discretize the process execution in terms of epochs,
2311.07842v1	3	19.775	9.000	9.056	WORD	where each epoch corresponds to an increment of the clock by 𝐼,
2311.07842v1	3	20.107	9.000	9.043	WORD	0 < 𝐼 ≤E such that E= 𝜖∗𝐼, where 𝜖 is an integer. The timeline
2311.07842v1	4	21.913	9.000	9.056	WORD	First, 𝑚𝑥.𝑗 needs to be increased if the clock of 𝑗 has advanced
2311.07842v1	4	21.908	9.000	9.056	WORD	beyond epoch 𝑚𝑥.𝑗. Hence, we first compute 𝑛𝑒𝑤𝑚𝑥.𝑗 which is
2311.07842v1	4	21.906	9.000	8.926	WORD	equal to 𝑚𝑎𝑥(𝑚𝑥.𝑗, epoch.𝑗). When 𝑗 sends a message, it does not
2311.07842v1	4	21.909	9.000	9.007	WORD	We consider two cases: The first case is for the scenario where
2311.07842v1	4	20.920	9.000	8.935	WORD	the newly created event 𝑓 is in a new epoch as the previous event,
2311.07842v1	4	21.910	9.000	8.966	WORD	𝑒. This will happen if 𝑚𝑥 remains unchanged and offset.𝑗.𝑗 is
2311.07842v1	4	21.914	9.000	8.917	WORD	unchanged. In this case, we increase counter.𝑗.𝑗. The second case
2311.07842v1	4	21.911	9.000	9.056	WORD	deals with the scenario where 𝑓 is in a new interval. Thus, the
2311.07842v1	4	21.910	9.000	8.890	WORD	ure 1. Assuming that 𝜖 = 5,𝐼= 1, and E= 5, the RepCl timestamps
2311.07842v1	4	21.578	9.000	8.908	WORD	will be as shown in Figure 3. Here, event 𝐴 has physical time of 50.
2311.07842v1	4	21.910	9.000	8.940	WORD	Since process P1 has not heard from anyone else so far, the offsets
2311.07842v1	4	21.910	9.000	8.877	WORD	for P2 and P3 will be 𝜖. The offset for process P1 will be 0. Regarding
2311.07842v1	4	21.910	9.000	8.877	WORD	event 𝐶, the situation is similar except that the offset for process P3
2311.07842v1	4	21.910	9.000	8.966	WORD	is 0. When event 𝐵 is created upon receiving message 𝑚1, process
2311.07842v1	4	21.910	9.000	8.953	WORD	information is overridden by the clock synchronization guarantee
2311.07842v1	4	21.910	9.000	8.908	WORD	that says that the clock of P3 is at least 47. Thus, the offsets are set
2311.07842v1	4	21.910	9.000	8.966	WORD	to [3,𝑒,𝜖] Here, the permissible ordering is 𝐶𝐴𝐵𝐷.
2311.07842v1	4	21.910	9.000	9.056	WORD	changed to [3,2,12]. Furthermore, 𝐵 and 𝐶 could be replayed in
2311.07842v1	4	21.910	9.000	8.886	WORD	any order. Thus, the permissible replays would be 𝐶𝐴𝐵𝐷 or 𝐴𝐵𝐶𝐷
2311.07842v1	4	21.910	9.000	8.966	WORD	or 𝐴𝐶𝐵𝐷.
2311.07842v1	5	19.945	9.000	9.056	WORD	Definition 2 Given timestamps 𝑅𝑒𝑝𝐶𝑙.𝑒 and 𝑅𝑒𝑝𝐶𝑙.𝑓, we say
2311.07842v1	5	20.376	9.000	9.056	WORD	that 𝑅𝑒𝑝𝐶𝑙.𝑒||𝑅𝑒𝑝𝐶𝑙.𝑓 iff ¬(𝑅𝑒𝑝𝐶𝑙.𝑒 < 𝑅𝑒𝑝𝐶𝑙.𝑓)∧¬(𝑅𝑒𝑝𝐶𝑙.𝑓 <
2311.07842v1	5	21.552	9.000	8.966	WORD	𝑘 based on the assumption of clock synchronization. Likewise,
2311.07842v1	5	21.578	9.000	9.056	WORD	when event 𝑒 is created, it will have some information about the
2311.07842v1	5	21.910	9.000	8.926	WORD	clock of each process. Let 𝑚𝑝𝑡.𝑒 and 𝑚𝑝𝑡.𝑓 be the maximum clock
2311.07842v1	5	21.641	9.000	9.056	WORD	(of any process) that 𝑒 and 𝑓 are aware of when they occurred.
2311.07842v1	5	21.910	9.000	9.056	WORD	If 𝑚𝑝𝑡.𝑓 > 𝑚𝑝𝑡.𝑒 +E1 then 𝑓 cannot occur before 𝑒 under the
2311.07842v1	8	23.678	9.000	9.043	WORD	of the 𝑅𝑒𝑝𝐶𝑙. However, with larger 𝐼, the guarantees provided by
2311.07842v1	8	20.303	9.000	9.047	WORD	from other processes, subsequently not storing their offsets. As 𝐼
2311.07842v1	8	20.303	9.000	8.980	WORD	increases, we see this property respected, and 𝜏 increasing consis-
2311.07842v1	8	23.921	9.000	8.931	WORD	increases as the value of 𝛼 increases. However, for a fixed value of
2311.07842v1	8	23.697	9.000	8.966	WORD	𝛼, the offset size remains the same. This is illustrated in Figure 11.
2311.07842v1	9	22.858	9.000	8.940	WORD	the Hybrid Vector Clock and provides an efficient implementation
2311.07842v1	9	22.858	9.000	9.038	WORD	ing distributed system traces using happens-before relationships.
2311.07842v1	9	22.858	9.000	9.056	WORD	However, since it uses traditional vector clocks, it uses a higher
Beginning_and_Intermediate_Algebra	9	14.320	12.000	11.955	WORD	Signs match, answer is positive
Beginning_and_Intermediate_Algebra	9	14.320	12.000	11.955	WORD	Signs do not match, answer is negative
Beginning_and_Intermediate_Algebra	12	14.320	12.000	11.955	WORD	Both numerator and denominator are divisible by 4
Beginning_and_Intermediate_Algebra	12	14.320	12.000	11.955	WORD	Both numerator and denominator are still divisible by 3
Beginning_and_Intermediate_Algebra	13	14.200	12.000	11.955	WORD	Reduce 25 and 55 by dividing by 5. Reduce 32 and 24 by dividing by 8
Beginning_and_Intermediate_Algebra	13	14.200	12.000	11.955	WORD	Multiply numerators across and denominators across
Beginning_and_Intermediate_Algebra	14	14.320	12.000	11.955	WORD	Reduce 21 and 28 by dividing by 7. Reduce 6 and 16 by dividing by 2
Beginning_and_Intermediate_Algebra	15	14.320	12.000	11.955	WORD	Multiply first fraction by 3 and the second by 2
Beginning_and_Intermediate_Algebra	15	14.320	12.000	11.955	WORD	Same denominator, add numerators, 15 + 8
Beginning_and_Intermediate_Algebra	16	0.579	12.000	11.955	MATH	23) (2)(−
Beginning_and_Intermediate_Algebra	16	0.579	12.000	11.955	MATH	27) (−
Beginning_and_Intermediate_Algebra	16	0.579	12.000	11.955	MATH	22) (− 2)(−
Beginning_and_Intermediate_Algebra	16	0.579	12.000	11.955	MATH	28) (−
Beginning_and_Intermediate_Algebra	16	0.579	12.000	11.955	MATH	30) (− 2)(−
Beginning_and_Intermediate_Algebra	16	0.579	12.000	11.955	MATH	32) (−
Beginning_and_Intermediate_Algebra	17	0.579	12.000	11.955	MATH	79) (− 1)− (−
Beginning_and_Intermediate_Algebra	20	14.200	12.000	11.955	WORD	Exponent in the numerator, divide in denominator
Beginning_and_Intermediate_Algebra	20	14.200	12.000	11.955	WORD	Multiply in the numerator, subtract in denominator
Beginning_and_Intermediate_Algebra	20	13.725	12.000	11.955	WORD	Evaluate absolute values first, exponents
Beginning_and_Intermediate_Algebra	20	13.725	12.000	11.955	WORD	Add inside absolute values
Beginning_and_Intermediate_Algebra	20	13.725	12.000	11.955	WORD	Evaluate absolute values
Beginning_and_Intermediate_Algebra	20	13.725	12.000	11.955	WORD	Multiply left to right
Beginning_and_Intermediate_Algebra	21	1.965	12.000	11.955	MATH	21)
Beginning_and_Intermediate_Algebra	21	0.520	12.000	11.955	MATH	− 5
Beginning_and_Intermediate_Algebra	21	2.565	12.000	11.955	MATH	24)
Beginning_and_Intermediate_Algebra	34	11.617	12.000	11.955	WORD	Start by focusing on the positive 8
Beginning_and_Intermediate_Algebra	34	11.616	12.000	11.955	WORD	Subtract 8 from both sides
Beginning_and_Intermediate_Algebra	34	11.616	12.000	11.955	WORD	Negative (subtraction) stays on the x
Beginning_and_Intermediate_Algebra	34	11.616	12.000	11.955	WORD	Remember, no number in front of variable means 1
Beginning_and_Intermediate_Algebra	40	11.581	12.000	11.955	WORD	Plug 2 in for each x. Multiply inside parenthesis
Beginning_and_Intermediate_Algebra	40	11.581	12.000	11.955	WORD	Finish parentesis on left, multiply on right
Beginning_and_Intermediate_Algebra	41	11.634	12.000	11.955	WORD	Distribute 3through parenthesis
Beginning_and_Intermediate_Algebra	41	11.634	12.000	11.955	WORD	Notice the variable on both sides
Beginning_and_Intermediate_Algebra	41	11.633	12.000	11.955	WORD	Subtract 6x from both sides
Beginning_and_Intermediate_Algebra	41	11.633	12.000	11.955	WORD	Variable is gone! True!
Beginning_and_Intermediate_Algebra	47	3.810	12.000	11.955	WORD	for n
