faa-phak-8083-25c | base TOTAL 0 (pages ) | cand TOTAL 0
wallace-algebra-2010 | base TOTAL 0 (pages ) | cand TOTAL 0
gpo-911-2004 | base TOTAL 0 (pages ) | cand TOTAL 0
fed-explained-2021 | base TOTAL 0 (pages ) | cand TOTAL 0
dga-2025-2030 | base TOTAL 0 (pages ) | cand TOTAL 0
gpo-our-flag-2003 | base TOTAL 0 (pages ) | cand TOTAL 0
cia-blue-book-14-1955 | base TOTAL 0 (pages ) | cand TOTAL 0
cdc-zombie-pandemic-2011 | base TOTAL 0 (pages ) | cand TOTAL 0
nbs-jres-geltman-1977 | base TOTAL 0 (pages ) | cand TOTAL 0
arxiv-replay-clocks-2023 | base TOTAL 0 (pages ) | cand TOTAL 0
usgs-mcs2025-copper | base TOTAL 0 (pages ) | cand TOTAL 0
scotus-loper-bright-2024 | base TOTAL 5 (pages 86,87,) | cand TOTAL 0
census-rrs2002-01 | base TOTAL 0 (pages ) | cand TOTAL 0
uscourts-pro-se-1-2016 | base TOTAL 0 (pages ) | cand TOTAL 0
ntrs-20200002975-gwl-2020 | base TOTAL 7 (pages 4,13,) | cand TOTAL 0
usda-ars-agresearch-2012-11 | base TOTAL 0 (pages ) | cand TOTAL 0
ntrs-20190030725-dasc-2019 | base TOTAL 146 (pages 3,9,) | cand TOTAL 0
ntrs-20180003024-earthdata-slides-2018 | base TOTAL 0 (pages ) | cand TOTAL 0
ntrs-20210020887-techport-thm-2021 | base TOTAL 0 (pages ) | cand TOTAL 0
