page	tags	groups	imageBacked	invisibleText	validates	applies	pageReason	rejectedGroups	groupReasons	blank	taggedLines	lines
1	4	3	false	false	true	all	-	0	-	-	4	4
4	13	13	true	false	true	all	-	0	-	-	13	26
5	1	1	false	false	true	all	-	0	-	inLineUntracked=1	1	32
8	3	2	true	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	6	12
9	1	1	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	3	19
10	4	4	false	false	true	all	-	0	-	noLineUntracked=1,unknownOrigin=2	12	21
11	3	3	false	false	true	all	-	0	-	unknownOrigin=1	10	18
12	6	6	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	23	31
13	1	1	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	6	18
14	3	2	true	false	true	all	-	0	-	inLineUnmarked=1,noLineUntracked=1,unknownOrigin=1	7	13
15	3	3	false	false	true	all	-	0	-	unknownOrigin=1	10	13
16	4	4	false	false	true	all	-	0	-	inLineUnmarked=1,noLineUnmarked=1,unknownOrigin=1	11	34
17	4	4	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	16	20
18	4	4	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	13	22
19	3	3	false	false	true	all	-	0	-	inLineUntracked=1,noLineUnmarked=1,unknownOrigin=1	23	41
20	3	3	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	6	30
21	8	8	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	17	32
22	1	1	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=4	3	39
24	3	2	true	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	4	11
25	4	4	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	17	28
26	5	5	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	25	41
27	4	4	false	false	true	partial	-	3	unknownOrigin=3	noLineUnmarked=1,unknownOrigin=2	14	45
28	5	5	false	false	true	partial	-	3	unknownOrigin=3	noLineUnmarked=1,unknownOrigin=1	4	40
29	2	2	false	false	true	partial	-	1	unknownOrigin=1	noLineUnmarked=1,unknownOrigin=1	3	20
30	7	7	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	25	33
31	7	7	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	23	30
32	9	9	false	false	true	partial	-	3	mcidShownOnlyFromUnknownOrigin=1,unknownOrigin=3	noLineUnmarked=1,unknownOrigin=1	15	47
33	8	8	false	false	true	all	-	0	-	noLineUnmarked=2,unknownOrigin=1	35	44
34	4	4	false	false	true	partial	-	3	unknownOrigin=3	noLineUnmarked=1,unknownOrigin=1	4	49
35	7	7	false	false	true	partial	-	2	unknownOrigin=2	noLineUnmarked=2,unknownOrigin=1	16	47
36	4	4	false	false	true	all	-	0	-	noLineTagged=1,noLineUnmarked=2,unknownOrigin=1	27	55
37	7	7	false	false	true	all	-	0	-	noLineUnmarked=2,unknownOrigin=2	34	46
38	7	7	false	false	true	all	-	0	-	noLineUnmarked=1,unknownOrigin=1	22	33
39	5	5	false	false	true	partial	-	2	mcidShownOnlyFromUnknownOrigin=1,unknownOrigin=2	noLineUnmarked=1,unknownOrigin=1	13	30
40	6	6	false	false	true	partial	-	2	mcidShownOnlyFromUnknownOrigin=1,unknownOrigin=2	noLineUnmarked=1,unknownOrigin=1	18	40
41	6	6	false	false	true	partial	-	2	unknownOrigin=2	noLineUnmarked=2,unknownOrigin=1	28	41
42	6	6	false	false	true	partial	-	2	unknownOrigin=2	noLineUnmarked=1,unknownOrigin=1	24	43
43	7	7	false	false	true	partial	-	1	unknownOrigin=1	noLineUnmarked=1,unknownOrigin=1	17	34
44	8	8	false	false	true	partial	-	4	noLineAtOrigin=1,unknownOrigin=3	noLineUnmarked=1,unknownOrigin=1	9	35
