page	tags	groups	imageBacked	invisibleText	validates	applies	pageReason	rejectedGroups	groupReasons	blank	taggedLines	lines
3	7	7	false	false	true	all	-	0	-	-	11	11
4	15	15	false	false	true	partial	-	1	unknownOrigin=1	-	29	30
5	3	3	false	false	true	all	-	0	-	-	13	26
6	4	4	false	false	true	all	-	0	-	-	8	8
7	4	4	false	false	true	partial	-	1	unknownOrigin=1	-	12	28
8	3	3	false	false	true	partial	-	1	unknownOrigin=1	-	4	25
9	2	2	false	false	true	all	-	0	-	-	6	23
10	3	3	false	false	true	all	-	0	-	-	16	28
11	6	6	false	false	true	partial	-	2	unknownOrigin=2	-	11	26
12	25	25	false	false	true	partial	-	4	unknownOrigin=4	-	28	39
13	6	6	false	false	true	partial	-	3	unknownOrigin=3	-	12	42
14	6	6	false	false	true	partial	-	1	unknownOrigin=1	-	29	34
15	13	13	false	false	true	partial	-	4	unknownOrigin=4	-	27	56
16	15	3	false	false	true	partial	-	1	noLineAtOrigin=1	-	2	20
17	9	9	false	false	true	all	-	0	-	-	37	38
18	11	11	false	false	true	partial	-	1	unknownOrigin=1	-	21	35
19	4	4	false	false	true	all	-	0	-	-	6	7
20	4	4	false	false	true	all	-	0	-	-	5	6
21	5	5	false	false	true	all	-	0	-	-	6	7
22	7	7	false	false	true	partial	-	1	unknownOrigin=1	-	37	43
23	6	6	false	false	true	all	-	0	-	-	43	44
24	12	12	false	false	true	partial	-	1	unknownOrigin=1	-	34	38
25	11	11	false	false	true	all	-	0	-	-	39	40
26	2	2	false	false	true	all	-	0	-	-	2	20
27	4	4	false	false	true	all	-	0	-	-	4	34
28	7	7	false	false	true	partial	-	1	unknownOrigin=1	-	28	40
29	1	1	false	false	true	all	-	0	-	-	2	8
30	11	7	false	false	true	all	-	0	-	-	30	36
31	1	1	false	false	true	all	-	0	-	-	1	9
32	9	9	false	false	true	all	-	0	-	-	31	32
33	8	8	false	false	true	partial	-	2	unknownOrigin=2	-	17	32
34	8	8	false	false	true	partial	-	3	unknownOrigin=3	-	11	29
35	8	8	false	false	true	partial	-	1	unknownOrigin=1	-	22	30
36	8	8	false	false	true	partial	-	1	unknownOrigin=1	-	23	30
37	8	8	false	false	true	partial	-	1	unknownOrigin=1	-	24	32
38	8	8	false	false	true	all	-	0	-	-	30	31
39	8	8	false	false	true	all	-	0	-	-	30	31
40	8	8	false	false	true	all	-	0	-	-	30	31
41	8	8	false	false	true	partial	-	1	unknownOrigin=1	-	23	31
42	8	8	false	false	true	all	-	0	-	-	31	32
43	8	8	false	false	true	all	-	0	-	-	29	30
44	8	8	false	false	true	partial	-	1	unknownOrigin=1	-	22	28
45	9	9	false	false	true	all	-	0	-	-	30	31
46	6	6	false	false	true	partial	-	1	unknownOrigin=1	-	16	25
47	5	5	false	false	true	all	-	0	-	-	26	32
49	3	3	false	false	true	partial	-	1	unknownOrigin=1	-	2	14
50	5	5	false	false	true	partial	-	1	unknownOrigin=1	-	16	33
51	6	6	false	false	true	partial	-	1	unknownOrigin=1	-	18	24
52	5	5	false	false	true	all	-	0	-	-	24	25
53	19	19	false	false	true	partial	-	8	unknownOrigin=8	-	25	42
54	24	24	false	false	true	partial	-	16	unknownOrigin=16	-	17	45
