baseline reader (d63bbbc): exit 1; failing ['aMarkedSectionShowingOnlySpacesCountsAsShown', 'aSpaceOnlyShowCostsItsGroupNothingWhereverItLies', 'invisibleTextCostsNothingOnlyInsideAnArtifact', 'onlyAFontThatDeclaresItsSpaceCodeMakesAShowBlank', 'theFontIsRestoredWithTheGraphicsState']; ✘ Test run with 7 tests in 0 suites failed after 0.009 seconds with 23 issues.
space-only shows are not ignored: exit 1; failing ['aMarkedSectionShowingOnlySpacesCountsAsShown', 'aSpaceOnlyShowCostsItsGroupNothingWhereverItLies', 'onlyAFontThatDeclaresItsSpaceCodeMakesAShowBlank', 'theFontIsRestoredWithTheGraphicsState']; ✘ Test run with 7 tests in 0 suites failed after 0.010 seconds with 17 issues.
blank identifiers do not count as shown: exit 1; failing ['aMarkedSectionShowingOnlySpacesCountsAsShown']; ✘ Test run with 7 tests in 0 suites failed after 0.010 seconds with 2 issues.
no codespace normalisation: exit 1; failing ['aMarkedSectionShowingOnlySpacesCountsAsShown', 'aSpaceOnlyShowCostsItsGroupNothingWhereverItLies', 'onlyAFontThatDeclaresItsSpaceCodeMakesAShowBlank', 'theFontIsRestoredWithTheGraphicsState']; ✘ Test run with 7 tests in 0 suites failed after 0.008 seconds with 13 issues.
font not restored by Q: exit 1; failing ['theFontIsRestoredWithTheGraphicsState']; ✘ Test run with 7 tests in 0 suites failed after 0.010 seconds with 1 issue.
render mode not restored by Q: exit 1; failing ['invisibleTextCostsNothingOnlyInsideAnArtifact']; ✘ Test run with 7 tests in 0 suites failed after 0.010 seconds with 2 issues.
invisible text refused everywhere: exit 1; failing ['invisibleTextCostsNothingOnlyInsideAnArtifact']; ✘ Test run with 7 tests in 0 suites failed after 0.010 seconds with 4 issues.
invisible text never refused: exit 1; failing ['invisibleTextCostsNothingOnlyInsideAnArtifact']; ✘ Test run with 7 tests in 0 suites failed after 0.017 seconds with 6 issues.
Tr 3 still refused when set: exit 1; failing ['invisibleTextCostsNothingOnlyInsideAnArtifact']; ✘ Test run with 7 tests in 0 suites failed after 0.010 seconds with 6 issues.
any Tr accepted: exit 1; failing ['invisibleTextCostsNothingOnlyInsideAnArtifact']; ✘ Test run with 7 tests in 0 suites failed after 0.009 seconds with 2 issues.
Type3 fonts treated as simple: exit 1; failing ['onlyAFontThatDeclaresItsSpaceCodeMakesAShowBlank']; ✘ Test run with 7 tests in 0 suites failed after 0.012 seconds with 2 issues.
no-map fonts assume code 32 is a space: exit 1; failing ['onlyAFontThatDeclaresItsSpaceCodeMakesAShowBlank', 'theFontIsRestoredWithTheGraphicsState']; ✘ Test run with 7 tests in 0 suites failed after 0.009 seconds with 3 issues.
map value other than U+0020 counts: exit 1; failing ['onlyAFontThatDeclaresItsSpaceCodeMakesAShowBlank']; ✘ Test run with 7 tests in 0 suites failed after 0.010 seconds with 2 issues.
