page	tags	groups	imageBacked	invisibleText	validates	applies	pageReason	rejectedGroups	groupReasons	taggedLines	lines
2	6	5	false	false	true	partial	Do@L215	0	-	0	6
3	20	12	false	false	true	partial	Do@L215	0	-	0	21
5	36	27	false	false	true	partial	Do@L215	0	-	0	36
6	219	73	false	false	true	partial	Do@L215	0	-	0	78
7	284	94	false	false	true	partial	-	1	mcidNotShownOnPage=1,unknownOrigin=1	96	97
8	288	98	false	false	true	all	-	0	-	98	99
9	296	98	false	false	true	partial	-	1	mcidNotShownOnPage=1,unknownOrigin=1	97	99
10	277	93	false	false	true	all	-	0	-	94	95
11	293	97	false	false	true	all	-	0	-	100	101
12	283	91	false	false	true	all	-	0	-	99	100
13	284	90	false	false	true	partial	-	17	mcidNotShownOnPage=17,unknownOrigin=11	77	99
14	283	92	false	false	true	all	-	0	-	98	99
15	164	55	false	false	true	all	-	0	-	58	59
16	20	6	true	false	true	partial	Do@L215	0	-	0	20
17	63	9	false	false	true	partial	-	1	mcidNotShownOnPage=1,unknownOrigin=1	42	56
18	74	13	false	false	true	partial	-	6	ambiguousOrigin=1,lineSharedWithUntaggedOrAmbiguousShow=2,mcidNotShownOnPage=3,noLineAtOrigin=1,unknownOrigin=3	45	67
19	85	15	false	false	true	partial	Do@L215	0	-	0	71
20	40	7	false	false	true	partial	Do@L215	0	-	0	36
21	79	14	false	false	true	partial	-	2	mcidNotShownOnPage=2,unknownOrigin=2	72	77
22	92	11	false	false	true	partial	-	3	mcidNotShownOnPage=3,unknownOrigin=3	69	86
23	45	11	false	false	true	partial	Do@L215	0	-	0	47
24	88	18	false	false	true	partial	-	4	mcidNotShownOnPage=1,noLineAtOrigin=3,unknownOrigin=1	73	84
25	51	10	false	false	true	partial	Do@L215	0	-	0	46
26	40	11	false	false	true	partial	Do@L215	0	-	0	39
27	54	18	false	false	true	partial	Do@L215	0	-	0	63
28	37	25	false	false	true	partial	Do@L215	0	-	0	49
29	86	31	false	false	true	partial	-	7	ambiguousOrigin=1,lineSharedWithUntaggedOrAmbiguousShow=1,noLineAtOrigin=2,unknownOrigin=4	79	100
30	107	26	false	false	true	partial	-	4	unknownOrigin=4	93	114
31	72	28	false	false	true	partial	-	5	noLineAtOrigin=1,unknownOrigin=4	68	82
32	66	33	false	false	true	partial	Do@L215	0	-	0	86
33	72	11	false	false	true	partial	-	1	mcidNotShownOnPage=1,unknownOrigin=1	51	63
34	97	14	false	false	true	all	-	0	-	96	97
35	100	20	false	false	true	partial	-	4	lineSharedByGroups=2,unknownOrigin=2	97	105
36	92	20	false	false	true	partial	-	2	noLineAtOrigin=1,unknownOrigin=1	88	100
37	53	10	false	false	true	partial	Do@L215	0	-	0	52
38	96	24	false	false	true	partial	-	1	unknownOrigin=1	103	107
39	81	18	false	false	true	partial	-	3	noLineAtOrigin=2,unknownOrigin=1	81	85
40	11	5	true	false	true	partial	Do@L215	0	-	0	11
41	58	8	false	false	true	partial	Do@L215	0	-	0	55
42	49	14	false	false	true	partial	Do@L215	0	-	0	47
43	74	13	false	false	true	partial	-	2	unknownOrigin=2	60	72
44	45	8	false	false	true	partial	Do@L215	0	-	0	43
45	98	22	false	false	true	partial	Do@L215	0	-	0	85
46	2	1	false	false	true	partial	Do@L215	0	-	0	2
47	99	31	false	false	true	partial	-	2	mcidNotShownOnPage=1,unknownOrigin=2	85	94
48	90	37	false	false	true	partial	-	3	unknownOrigin=3	89	102
49	45	14	false	false	true	partial	Do@L215	0	-	0	48
50	50	7	false	false	true	all	-	0	-	47	48
51	95	17	false	false	true	partial	-	1	unknownOrigin=1	96	100
52	92	13	false	false	true	partial	Do@L215	0	-	0	86
53	97	13	false	false	true	all	-	0	-	97	98
54	86	16	false	false	true	partial	Do@L215	0	-	0	83
55	107	17	false	false	true	partial	Do@L215	0	-	0	66
56	36	7	false	false	true	partial	Do@L215	0	-	0	35
57	30	7	false	false	true	partial	Do@L215	0	-	0	27
58	19	3	false	false	true	partial	Do@L215	0	-	0	18
59	95	17	false	false	true	all	-	0	-	95	96
60	100	16	false	false	true	partial	-	1	mcidNotShownOnPage=1,unknownOrigin=1	85	97
61	7	2	false	false	true	partial	Do@L215	0	-	0	4
62	79	16	false	false	true	partial	-	3	mcidNotShownOnPage=2,noLineAtOrigin=1,unknownOrigin=2	52	73
63	91	12	false	false	true	partial	-	1	mcidNotShownOnPage=1,unknownOrigin=1	69	87
64	62	26	false	false	true	partial	Do@L215	0	-	0	62
65	69	8	false	false	true	all	-	0	-	66	67
66	99	14	false	false	true	partial	-	1	mcidNotShownOnPage=1,unknownOrigin=1	87	97
67	5	1	true	false	true	partial	Do@L215	0	-	0	4
68	56	15	false	false	true	all	-	0	-	53	54
69	96	18	false	false	true	partial	-	2	noLineAtOrigin=1,unknownOrigin=1	93	96
70	93	19	false	false	true	partial	-	1	unknownOrigin=1	94	98
71	36	5	false	false	true	all	-	0	-	36	37
72	24	5	true	false	true	partial	Do@L215	0	-	0	24
73	94	24	false	false	true	partial	-	2	ambiguousOrigin=1,lineSharedWithUntaggedOrAmbiguousShow=1,mcidNotShownOnPage=1,unknownOrigin=1	84	89
74	72	12	false	false	true	partial	Do@L215	0	-	0	56
75	36	7	false	false	true	partial	Do@L215	0	-	0	29
76	34	5	false	false	true	partial	Do@L215	0	-	0	29
77	45	8	false	false	true	partial	Do@L215	0	-	0	34
78	55	10	false	false	true	partial	Do@L215	0	-	0	46
79	86	17	false	false	true	partial	Do@L215	0	-	0	77
80	76	12	false	false	true	partial	Do@L215	0	-	0	74
81	83	13	false	false	true	partial	-	1	noLineAtOrigin=1	81	82
82	68	10	false	false	true	partial	Do@L215	0	-	0	66
83	71	11	false	false	true	all	-	0	-	62	63
84	70	10	false	false	true	partial	-	5	mcidNotShownOnPage=5,unknownOrigin=1	18	56
85	2	1	false	false	true	partial	Do@L215	0	-	0	2
86	2	1	false	false	true	partial	Do@L215	0	-	0	2
87	4	2	false	false	true	partial	Do@L215	0	-	0	3
88	25	8	true	false	true	partial	Do@L215	0	-	0	23
89	64	14	false	false	true	partial	Do@L215	0	-	0	62
90	61	10	false	false	true	partial	Do@L215	0	-	0	55
91	94	20	false	false	true	partial	-	2	mcidNotShownOnPage=1,unknownOrigin=2	80	93
92	96	13	false	false	true	all	-	0	-	93	94
93	78	14	false	false	true	partial	Do@L215	0	-	0	70
