page	unsafeBefore	unsafeAfterJoin	joinCreated	joinCreatedSingle	preexistingSingle	pageUnsafeNowSafeIfJoinExempt	pageUnsafeNowSafeIfSingleExempt
17	2	2	0	0	0	false	false
18	1	1	0	0	0	false	false
21	1	1	0	0	0	false	false
22	1	1	0	0	0	false	false
24	1	1	0	0	0	false	false
29	0	9	9	9	0	true	true
30	4	15	11	11	4	false	true
31	1	13	12	12	0	false	false
33	3	3	0	0	0	false	false
35	0	6	6	6	0	true	true
36	0	6	6	6	0	true	true
38	0	11	11	11	0	true	true
39	0	5	5	5	0	true	true
43	3	3	0	0	2	false	false
47	15	17	2	2	15	false	true
48	12	23	11	11	12	false	true
50	1	1	0	0	0	false	false
51	0	4	4	4	0	true	true
62	6	6	0	0	4	false	false
63	1	1	0	0	0	false	false
65	1	1	0	0	0	false	false
68	4	4	0	0	2	false	false
69	3	3	0	0	3	false	true
70	2	6	4	4	2	false	true
73	7	7	0	0	7	false	true
81	1	1	0	0	0	false	false
83	1	1	0	0	0	false	false
84	1	1	0	0	0	false	false
91	4	4	0	0	4	false	true
92	1	1	0	0	0	false	false
104	2	2	0	0	0	false	false
105	1	1	0	0	0	false	false
110	2	2	0	0	0	false	false
124	9	9	0	0	8	false	false
133	3	3	0	0	3	false	true
141	0	4	4	4	0	true	true
145	1	1	0	0	0	false	false
148	0	3	3	3	0	true	true
158	1	1	0	0	0	false	false
167	0	2	2	2	0	true	true
172	0	9	9	9	0	true	true
180	1	1	0	0	0	false	false
189	3	3	0	0	3	false	true
190	0	17	17	17	0	true	true
191	1	5	4	4	0	false	false
194	2	2	0	0	0	false	false
197	1	1	0	0	0	false	false
198	1	1	0	0	0	false	false
199	3	3	0	0	0	false	false
215	1	1	0	0	0	false	false
224	6	6	0	0	5	false	false
234	1	1	0	0	0	false	false
237	1	3	2	2	0	false	false
238	0	1	1	1	0	true	true
239	0	4	4	4	0	true	true
240	3	3	0	0	3	false	true
241	0	7	7	7	0	true	true
242	2	2	0	0	2	false	true
243	1	5	4	4	0	false	false
248	2	5	3	3	2	false	true
249	19	19	0	0	19	false	true
269	2	2	0	0	0	false	false
272	2	4	2	2	2	false	true
273	0	5	5	5	0	true	true
299	1	1	0	0	0	false	false
301	0	8	8	8	0	true	true
315	1	9	8	8	1	false	true
316	0	6	6	6	0	true	true
319	4	10	6	6	4	false	true
320	2	2	0	0	2	false	true
325	1	1	0	0	0	false	false
326	3	5	2	2	2	false	false
327	1	1	0	0	0	false	false
328	0	18	18	18	0	true	true
329	2	2	0	0	0	false	false
330	2	2	0	0	0	false	false
331	2	6	4	4	2	false	true
332	2	2	0	0	0	false	false
333	1	10	9	9	0	false	false
334	5	5	0	0	5	false	true
336	6	7	1	1	6	false	true
342	2	2	0	0	0	false	false
346	2	2	0	0	0	false	false
354	2	2	0	0	0	false	false
362	7	9	2	2	7	false	true
366	12	13	1	1	11	false	false
369	8	11	3	3	8	false	true
370	9	9	0	0	8	false	false
372	17	18	1	1	15	false	false
378	7	7	0	0	6	false	false
379	11	11	0	0	9	false	false
380	2	2	0	0	0	false	false
381	8	8	0	0	7	false	false
382	4	4	0	0	4	false	true
389	1	4	3	3	0	false	false
399	0	2	2	2	0	true	true
410	0	5	5	5	0	true	true
419	1	1	0	0	0	false	false
424	14	14	0	0	14	false	true
425	0	4	4	4	0	true	true
431	8	8	0	0	8	false	true
432	2	2	0	0	2	false	true
434	1	1	0	0	1	false	true
435	0	7	7	7	0	true	true
436	0	10	10	10	0	true	true
437	1	1	0	0	0	false	false
438	2	2	0	0	2	false	true
439	1	1	0	0	0	false	false
440	11	12	1	1	11	false	true
449	1	1	0	0	0	false	false
450	3	3	0	0	0	false	false
