# PDFKit selectionsByLine lines opening with a minus form and whitespace (tools/minus-survey.swift)
source	dash	next	lines
Beginning_and_Intermediate_Algebra.pdf	U+2212	digit	1455
Beginning_and_Intermediate_Algebra.pdf	U+2212	other	12
Beginning_and_Intermediate_Algebra.pdf	U+2212	variable	138
Beginning_and_Intermediate_Algebra.pdf	U+2212	word	13
faa-h-8083-25c.pdf	-	-	0
the-fed-explained.pdf	-	-	0
GPO-911REPORT.pdf	-	-	0
mcs2025-copper.pdf	-	-	0
22-451_7m58.pdf	-	-	0
DGA.pdf	hyphen	word	18
CDOC-108hdoc97.pdf	-	-	0
cdc_6023_DS1.pdf	hyphen	variable	1
jresv82n3p173_A1b.pdf	hyphen	other	1
jresv82n3p173_A1b.pdf	hyphen	variable	1
2311.07842v1.pdf	-	-	0
rrs2002-01.pdf	-	-	0
CIA-UAP-015-Project_Blue_Book_Special_Report_No_14.pdf	hyphen	digit	10
CIA-UAP-015-Project_Blue_Book_Special_Report_No_14.pdf	hyphen	other	87
CIA-UAP-015-Project_Blue_Book_Special_Report_No_14.pdf	hyphen	variable	16
CIA-UAP-015-Project_Blue_Book_Special_Report_No_14.pdf	hyphen	word	35
